District,Result,Male,Female,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races,Born in United States,Foreign born,Employed,Unemployed,Public transportation (excluding taxicab),"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median (dollars),With private health insurance,With public coverage,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
Alaska1,0.0,0.5257305580963572,0.4742694419036428,35.9,0.5964328508157904,0.030265150637351194,0.1298666953841624,0.06295674790718978,0.020071348436373253,0.14218840949149586,0.9003493810516329,0.07507262300244144,0.4705684292029668,0.0224705316235518,0.006056574375360389,0.02215154931343829,0.03425242951377008,0.020808824631977568,0.006484610466709288,0.04960583873944734,0.04074794535860291,0.008200844348901216,0.01986141990749513,0.11544842233257858,0.03797116345389683,0.021480868558840648,0.053133728562412164,336900,0.6346548379665287,0.3554512577308907,0.0149267363065938,0.029606738433142536,0.19419070507359085,0.15823431022801782,0.06593664247944676,0.1283672058921758,0.07562607094221103
Alabama1,0.0,0.4852332970783996,0.5147667029216004,40.9,0.6539090343190571,0.25746475404789754,0.006152393851710481,0.0164597399221545,0.0004966241868291983,0.05174605129047043,0.9602454390609289,0.030812589354730587,0.4356324433773181,0.023458994301818904,0.0005321950652246779,0.005373938859132481,0.03754916647855144,0.053300225054211385,0.009066469658724784,0.05510339496672071,0.025047370833247828,0.002863455710836121,0.026136386956432514,0.09648600764773886,0.040367474536039456,0.02215518479755382,0.018394248462585593,216300,0.6461545828288425,0.3839411165151484,0.01629283041583725,0.05177067728320576,0.23101506973944333,0.14399638818773214,0.0667501214198253,0.11908856464665121,0.06913610649373747
Alabama2,0.0,0.4847295095796674,0.5152704904203326,39.1,0.6051688992025933,0.3099832110348032,0.0022168625379272956,0.016640989968109265,0.00016871941960519654,0.05136538264734599,0.9496040625423527,0.03498300359289387,0.43413304494298116,0.018932531593402795,0.0005670078855584474,0.007069620270670204,0.02708361568482106,0.05471211211820316,0.010804957585044269,0.05127687409935638,0.03154914852010942,0.0031185433705714608,0.02525121215222364,0.09266983269118538,0.03631754654304973,0.014803054651262491,0.039773528752831584,167400,0.6373320757743807,0.39539810868296515,0.023564017956171673,0.05597059303493045,0.21861334764221527,0.14784384879420934,0.06494038119525262,0.10685885929076994,0.07223818756620855
Alabama3,0.0,0.4856353468922679,0.5143646531077322,39.4,0.6771603674961696,0.2379446432621093,0.0012459137899563585,0.018439800653793605,0.000616734240089385,0.04947563761470427,0.9599302509527576,0.03105243070728078,0.43060910111675915,0.02234624511175888,0.0016261871442715622,0.004610295866497779,0.02918286861624749,0.06946003949311635,0.008032756055334612,0.04348114673849915,0.02259376849511314,0.005545076912014425,0.024366533732320745,0.10258945412105691,0.037974788568015,0.022537073195015238,0.022939471544490598,180100,0.6325646741264775,0.40214391203101923,0.024024979119535817,0.059000448031151995,0.22491440392497414,0.14851679563695094,0.05985779159360809,0.1035297664153636,0.059582611966303635
Alabama4,0.0,0.4876616085331779,0.512338391466822,40.8,0.8135999241348695,0.06348756952585667,0.011816818694707446,0.00772807298445452,0.0032132730993517104,0.06383665907557239,0.9541098422637495,0.03842596346654169,0.4333300806616759,0.01908310392835693,0.0005208855879616332,0.008343789985527901,0.030560453651490432,0.08120867446299994,0.007787170821611117,0.05123232734154564,0.02390576231399643,0.0036407016425075624,0.01806332264532914,0.09491250084180058,0.036052429402136044,0.023055028332602628,0.018775245427820237,160700,0.621725739307071,0.4030953522986997,0.03636715974420257,0.06874452829618187,0.22298163706506396,0.15135780716788047,0.07506249939871387,0.0808403437570007,0.050391213938293614
Alabama5,0.0,0.49402210328320134,0.5059778967167986,40.2,0.7080356494151268,0.17722721389379983,0.005924078155314987,0.01734975875829815,0.0007265505800295464,0.06728531103092146,0.9402183419039393,0.047772046100979765,0.48724634639240727,0.016816954999609817,0.0007467325405859227,0.004301448526582333,0.03227633678579405,0.0784351715063008,0.006982958352506196,0.057573751611193186,0.021497824384652024,0.005465274918666699,0.02176557172803328,0.08603704331586921,0.034375260683657184,0.023030307922899527,0.036636985730008426,264200,0.7416372682774562,0.32106539224313074,0.022681832737292764,0.04356612552103095,0.17282081917232434,0.13433112946324058,0.06158727083383788,0.1539493405880754,0.10661322483511339
Alabama6,0.0,0.484305141120657,0.515694858879343,39.8,0.7174193148645965,0.19825611114475095,0.0028571951609337354,0.019428645458552364,0.0016123649380330837,0.03807011886438814,0.9460822348363767,0.047268343995595215,0.5056841144736861,0.013863522109114157,0.0010857059975751158,0.005144077832868869,0.03585223696272691,0.04419006473398795,0.01095704068369906,0.05873655365091525,0.030126581208977987,0.009581249815176508,0.049320060777005,0.12235808020142593,0.035980381250378446,0.026980709356081996,0.020342553619935307,281300,0.7320995807851162,0.31004158352543243,0.01662073656209999,0.04365073218266335,0.17184571427766754,0.12645728922728994,0.04519832088737807,0.1701066132309681,0.11335981648611465
Alabama7,0.0,0.47331386734923286,0.5266861326507671,36.5,0.37645174488668814,0.5570566985188258,0.0033081001674298057,0.012817666288238999,3.211747735368743e-05,0.03504714985316727,0.9616545248638149,0.03341334774430578,0.4164324185437936,0.027946394533884637,0.004185046940391358,0.004509014538045945,0.02011671211987918,0.0571383886242688,0.007381434143112686,0.04894284625084308,0.02821171282506727,0.004672394748932094,0.021756099876976097,0.10685903639189466,0.03836223208089136,0.022448720258168662,0.022447323846109805,146200,0.5969089022665164,0.4294176542790953,0.023166476056420634,0.05150805520296151,0.2162288216656124,0.1351922370660824,0.055877428535121856,0.10625578638246888,0.06872162665247912
Arkansas1,0.0,0.4987133395392632,0.5012866604607368,41.1,0.7484913170481173,0.15592265057404853,0.0036874458318621,0.006585775580735938,0.0028889673546688924,0.06615467745214479,0.9723154003359762,0.022711830856311323,0.4110050931424475,0.023123776201328924,0.0004119453450176013,0.018104195422591726,0.0255740485132518,0.0718764377962529,0.007757412341240544,0.049377267036882486,0.025563348634160436,0.005502412822735103,0.020702928556907307,0.09440770819289743,0.029468804502509122,0.017779186595191475,0.020316395424731702,152800,0.5306391037781273,0.49768615114649206,0.02772338672573,0.0584775142040895,0.2677163248055297,0.15118126665168682,0.058715586513872396,0.07732535122353118,0.0485159267700275
Arkansas2,0.0,0.4794059416339756,0.5205940583660243,38.6,0.6862327288768453,0.20328066001817047,0.00210063071437199,0.0171516497828473,0.00026651752188594627,0.06456025921783015,0.9575475661567385,0.03561094218539116,0.45286841124047494,0.021713957115623968,0.0017317074451604095,0.003676103750150983,0.025539730804173953,0.041272141960623676,0.007614786339598464,0.059053980957782574,0.030379058812408426,0.009132492030732227,0.02998125187087423,0.11915827727275115,0.032835483854027174,0.02292050688219138,0.027211045116296167,196000,0.643168486338023,0.41217262983210706,0.019881156817334406,0.030711221044118497,0.1992737069305059,0.14884937952620275,0.061002315945362595,0.13010256329462921,0.08671403588927576
Arkansas3,0.0,0.49890559864645867,0.5010944013535413,35.6,0.6369568762549306,0.027307798151111475,0.017521888027070828,0.03267660758513143,0.01451260281512134,0.21923445414980686,0.8783940456412503,0.10959302029292754,0.4837941964877233,0.018792107060226472,0.0017709172077094778,0.007053091843078898,0.038329528197078876,0.0586262778632801,0.008640547124234302,0.07676989797478417,0.02936664866021832,0.0042998889036111425,0.027659433510340118,0.09365476542354224,0.043499587210665255,0.02620702659178702,0.014033563340230143,259100,0.6381379124071224,0.35691880790517055,0.036465605984935735,0.03699051094146545,0.1953410862984518,0.12671613343797458,0.04759053336458981,0.13396924974264368,0.07589080957671257
