District,Result,Male,Female,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races,Born in United States,Foreign born,Employed,Unemployed,Public transportation (excluding taxicab),"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median (dollars),With private health insurance,With public coverage,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree
Alaska1,0.16,0.5257305580963572,0.4742694419036428,35.9,0.5964328508157904,0.030265150637351194,0.1298666953841624,0.062956748,0.020071348436373253,0.14218840949149586,0.9003493810516329,0.075072623,0.4705684292029668,0.022470532,0.006056574,0.022151549,0.03425243,0.020808824631977568,0.00648461,0.049605839,0.040747945,0.008200844,0.01986142,0.11544842233257858,0.037971163,0.021480868558840648,0.053133728562412164,336900,0.6346548379665287,0.3554512577308907,0.014926736,0.029606738433142536,0.19419070507359085,0.15823431022801782,0.065936642,0.1283672058921758,0.075626071
Alabama1,0.31,0.4852332970783996,0.5147667029216004,40.9,0.6539090343190571,0.25746475404789754,0.006152394,0.01645974,0.000496624,0.051746051,0.9602454390609289,0.030812589354730587,0.4356324433773181,0.023458994301818904,0.000532195,0.005373939,0.037549166,0.053300225054211385,0.00906647,0.055103395,0.025047370833247828,0.002863456,0.026136386956432514,0.096486008,0.040367474536039456,0.022155185,0.018394248462585593,216300,0.6461545828288425,0.3839411165151484,0.01629283,0.051770677,0.23101506973944333,0.14399638818773214,0.066750121,0.11908856464665121,0.069136106
Alabama2,0.29,0.4847295095796674,0.5152704904203326,39.1,0.6051688992025933,0.3099832110348032,0.002216863,0.016640989968109265,0.000168719,0.051365383,0.9496040625423527,0.034983004,0.43413304494298116,0.018932531593402795,0.000567008,0.00706962,0.027083616,0.054712112,0.010804957585044269,0.051276874,0.031549149,0.003118543,0.025251212,0.092669833,0.036317547,0.014803054651262491,0.039773528752831584,167400,0.6373320757743807,0.39539810868296515,0.023564017956171673,0.055970593,0.21861334764221527,0.14784384879420934,0.064940381,0.10685885929076994,0.072238188
Alabama3,0.16,0.4856353468922679,0.5143646531077322,39.4,0.6771603674961696,0.2379446432621093,0.001245914,0.018439800653793605,0.000616734,0.049475638,0.9599302509527576,0.031052431,0.43060910111675915,0.022346245,0.001626187,0.004610296,0.029182869,0.069460039,0.008032756,0.043481147,0.022593768,0.005545077,0.024366533732320745,0.10258945412105691,0.037974789,0.022537073195015238,0.022939471544490598,180100,0.6325646741264775,0.40214391203101923,0.024024979119535817,0.059000448031151995,0.22491440392497414,0.14851679563695094,0.059857792,0.1035297664153636,0.059582611966303635
Alabama4,0.33,0.4876616085331779,0.512338391,40.8,0.8135999241348695,0.06348757,0.011816818694707446,0.007728073,0.003213273,0.063836659,0.9541098422637495,0.038425963,0.4333300806616759,0.019083104,0.000520886,0.00834379,0.030560453651490432,0.081208674,0.007787171,0.051232327,0.023905762,0.003640702,0.018063323,0.094912501,0.036052429402136044,0.023055028332602628,0.018775245427820237,160700,0.621725739,0.4030953522986997,0.03636716,0.068744528,0.22298163706506396,0.15135780716788047,0.075062499,0.080840344,0.050391213938293614
Alabama5,0.15,0.49402210328320134,0.5059778967167986,40.2,0.7080356494151268,0.17722721389379983,0.005924078,0.017349759,0.000726551,0.067285311,0.9402183419039393,0.047772046100979765,0.48724634639240727,0.016816954999609817,0.000746733,0.004301449,0.032276337,0.078435172,0.006982958,0.057573751611193186,0.021497824384652024,0.005465275,0.021765572,0.086037043,0.034375260683657184,0.023030307922899527,0.036636985730008426,264200,0.7416372682774562,0.32106539224313074,0.022681832737292764,0.043566126,0.17282081917232434,0.13433112946324058,0.061587271,0.1539493405880754,0.10661322483511339
Alabama6,0.64,0.484305141,0.515694859,39.8,0.7174193148645965,0.19825611114475095,0.002857195,0.019428645458552364,0.001612365,0.038070119,0.9460822348363767,0.047268343995595215,0.5056841144736861,0.013863522109114157,0.001085706,0.005144078,0.035852237,0.044190065,0.010957041,0.058736554,0.030126581208977987,0.00958125,0.049320061,0.12235808020142593,0.035980381250378446,0.026980709356081996,0.020342553619935307,281300,0.7320995807851162,0.31004158352543243,0.016620737,0.043650732,0.17184571427766754,0.12645728922728994,0.045198321,0.1701066132309681,0.11335981648611465
Alabama7,0.55,0.47331386734923286,0.5266861326507671,36.5,0.37645174488668814,0.5570566985188258,0.0033081,0.012817666288238999,3.211747735368743e-05,0.03504715,0.9616545248638149,0.033413348,0.4164324185437936,0.027946394533884637,0.004185047,0.004509015,0.020116712,0.057138389,0.007381434,0.048942846,0.028211713,0.004672395,0.021756099876976097,0.10685903639189466,0.038362232,0.022448720258168662,0.022447323846109805,146200,0.5969089022665164,0.4294176542790953,0.023166476056420634,0.051508055,0.2162288216656124,0.1351922370660824,0.055877428535121856,0.10625578638246888,0.068721627
Arkansas1,0.5,0.4987133395392632,0.5012866604607368,41.1,0.7484913170481173,0.15592265057404853,0.003687446,0.006585776,0.002888967,0.066154677,0.9723154003359762,0.022711830856311323,0.4110050931424475,0.023123776201328924,0.000411945,0.018104195422591726,0.025574049,0.071876438,0.007757412,0.049377267036882486,0.025563348634160436,0.005502413,0.020702928556907307,0.094407708,0.029468804502509122,0.017779186595191475,0.020316395424731702,152800,0.5306391037781273,0.49768615114649206,0.027723387,0.058477514,0.2677163248055297,0.15118126665168682,0.058715586513872396,0.077325351,0.048515927
Arkansas2,0.46,0.4794059416339756,0.5205940583660243,38.6,0.6862327288768453,0.20328066001817047,0.002100631,0.01715165,0.000266518,0.064560259,0.9575475661567385,0.035610942,0.45286841124047494,0.021713957115623968,0.001731707,0.003676104,0.025539730804173953,0.041272141960623676,0.007614786,0.059053980957782574,0.030379058812408426,0.009132492,0.029981252,0.11915827727275115,0.032835483854027174,0.022920507,0.027211045116296167,196000,0.643168486,0.41217262983210706,0.019881156817334406,0.030711221044118497,0.1992737069305059,0.14884937952620275,0.061002315945362595,0.13010256329462921,0.086714036
Arkansas3,0.77,0.49890559864645867,0.5010944013535413,35.6,0.6369568762549306,0.027307798151111475,0.017521888027070828,0.032676608,0.014512603,0.21923445414980686,0.8783940456412503,0.10959302029292754,0.4837941964877233,0.018792107060226472,0.001770917,0.007053092,0.038329528197078876,0.058626278,0.008640547,0.076769898,0.029366649,0.004299889,0.027659433510340118,0.093654765,0.043499587210665255,0.026207027,0.014033563340230143,259100,0.6381379124071224,0.35691880790517055,0.036465605984935735,0.036990511,0.1953410862984518,0.12671613343797458,0.047590533,0.13396924974264368,0.07589081
Arkansas4,0.56,0.4989040239025267,0.5010959760974734,41,0.6941661065898308,0.1922902373616721,0.005509825,0.007033678,0.000632166,0.075625678,0.9593843369244794,0.034533561356694636,0.4040432002235871,0.018340797327601695,0.000857084,0.012640656920220658,0.028685693752204262,0.067352955,0.006559886,0.053847229,0.023745483340764057,0.004933556,0.017177612009821864,0.091644097,0.035407947,0.017382567,0.018211702,136600,0.540817291,0.5055650565289432,0.024284487978865694,0.059289179315530655,0.26670748018658874,0.14933356401844594,0.053123232,0.082378541,0.049185171383511785
Arizona1,0.43,0.4934854072120845,0.5065145927879154,43.9,0.7129563842508969,0.036116712,0.017538614723379982,0.040247124,0.002169029,0.13988111618691176,0.8701321931962033,0.117751765,0.54088007,0.01746106,0.003469946,0.003062159,0.029447010142150214,0.032081367363991614,0.011506862337948254,0.060131142,0.024397200026018345,0.010217203128205385,0.073013975,0.10968607868547325,0.049935204319044926,0.027464362,0.016541662,656400,0.7188880660865911,0.3092255039803061,0.023706713232829146,0.026463657,0.11050540631144957,0.13740937360839392,0.05649608,0.241565304,0.15266888156150085
Arizona2,0.49,0.5055904936014626,0.4944095063985375,41.9,0.5916270566727605,0.021768433881779403,0.19075441803778184,0.012526508226691041,0.002745887,0.12226081657525899,0.9289116392443632,0.06087142,0.3968897014015844,0.022248628884826326,0.002303473,0.010870201,0.035673369896404634,0.024844606946983545,0.005271176,0.050589884,0.020710542352224255,0.004925046,0.018831200487507617,0.095644119,0.045625838,0.018099939061547835,0.028487508,353500,0.5608543570993296,0.4615295551492992,0.024157221206581352,0.042214503,0.20054722730042657,0.1829872029250457,0.071023766,0.1092260816575259,0.070241316
Arizona3,0.65,0.5051808849116681,0.49481911508833193,31,0.2702490393239523,0.095443719,0.032147472,0.025820002418903854,0.002817664,0.3652664566291737,0.7215254900974627,0.2638700785185771,0.4786304214281352,0.024775802339630865,0.009214587,0.00329426,0.050304818,0.034044276,0.009816918,0.064290154,0.040461556,0.006734612,0.032461210721252465,0.087987029,0.046878836,0.019239865,0.01430147,357000,0.44500406543494164,0.4002890709852483,0.084978966,0.076421795,0.1703387303628715,0.1168402409803027,0.039822103,0.073909487,0.048230787
Arizona4,0,0.513185878,0.48681412244806105,34.6,0.6137106120902739,0.054527633,0.022938538419895155,0.058937303162035076,0.003220672,0.1765843619855645,0.8529905617797715,0.13356913255642117,0.546389059,0.020731828,0.007946659,0.002322985,0.038401766368729474,0.05097064,0.009089397,0.06500482,0.034029604,0.007534073,0.051028152,0.11053932508411131,0.054421360458995816,0.026536789554819567,0.020994382577363024,432700,0.6966291713395171,0.31024476359440034,0.027283195,0.029287363737180137,0.1452065618697903,0.14951746177014452,0.063577022,0.16132617683941522,0.096756448
Arizona5,0,0.49671970665249715,0.5032802933475029,38.3,0.6943415238943221,0.047861646,0.017143452098861173,0.061724804809979945,0.00056367,0.1321799051216138,0.8843244821660228,0.1033166745652205,0.4983365166898836,0.014416057520620012,0.000963384,0.002725001,0.034449662,0.053908827,0.011090287650970086,0.056649385588250785,0.029096597,0.006245841,0.0538083,0.1048652698193864,0.043059086,0.023377325884757705,0.018432352476555655,523100,0.7708856911713317,0.2701496895628988,0.017334932192111976,0.019404113949803493,0.1428417560639352,0.15560270752851857,0.061879185635163404,0.17146922675551343,0.098024643
Arizona6,0.26,0.4964162080736818,0.5035837919263182,44.1,0.6726942501230011,0.03344746,0.015030804041773595,0.030668709,0.001605023,0.17278088846672898,0.8864683555030526,0.092560106,0.42335036166765533,0.019917966,0.003846237,0.014139124737713482,0.019409518581711343,0.03818664,0.006518745,0.055046336,0.018849215132493425,0.005549913,0.028306074928886996,0.1092490542507807,0.034461824110249506,0.016850842,0.028403464015997106,339600,0.6726853965696276,0.43213182182097354,0.016057816,0.030486579,0.14369949522097836,0.1743327898937953,0.06888444,0.16707287612740515,0.12403448838477037
Arizona7,0.4,0.5012359824864655,0.49876401751353444,34,0.3557028783977251,0.041154843149835425,0.036500434,0.022288168549980922,0.001799689,0.3383341041611206,0.7924175081366291,0.18895381289862737,0.43917310011396804,0.024798164,0.002971265,0.012537708200176412,0.040984320504060034,0.029981316115862165,0.006527705,0.049190262788891735,0.03375735,0.004785675,0.022685646,0.098038254,0.048678694851565556,0.021737343600677674,0.027433291,254800,0.4948297288444576,0.44981175035975374,0.055790348,0.066812981,0.16911184690746756,0.1396838093041572,0.060091444,0.087739422,0.054954909641399464
Arizona8,0.36,0.48769439309919904,0.512305607,42.6,0.6741133703019101,0.037774492,0.016377079482439928,0.050303142329020334,0.001263093,0.1475723967960567,0.8610449784349969,0.1222365988909427,0.4625619223659889,0.019645102,0.002735675,0.002150339,0.038987061,0.026633395,0.011537892791127541,0.057974122,0.026293284,0.005449168,0.053685767,0.10332963647566236,0.042082563,0.020930376,0.018481823783117683,427700,0.6802563154651879,0.37480961182994454,0.022674060382008625,0.031955637707948244,0.18187800369685767,0.18129266789895257,0.075668515,0.144664202,0.081748614
Arizona9,0.29,0.49892361229372173,0.5010763877062783,41.5,0.6260230968255664,0.047060399,0.019882343131025687,0.024043436031564645,0.002291361,0.15130734421739625,0.892505687,0.092415489,0.42565290871316175,0.024077495,0.001392903,0.007652747,0.037465104,0.025504458,0.007301585,0.055756061,0.027902694081570575,0.006521747,0.040638481,0.084559562,0.041036621,0.020127804157334644,0.027666628692632294,393400,0.6287067257495663,0.39208699420641513,0.022137296099988372,0.050539133,0.20347309735407107,0.1819782279593028,0.083719827,0.1107181907760679,0.053588017743661176
California1,0.38,0.5036773575229941,0.4963226424770058,38.7,0.6556769989493264,0.017568791435362482,0.017178579,0.056980256037418214,0.00543661,0.16209639040235393,0.8876293402903656,0.10402986707726868,0.4246303197765242,0.030184784084602293,0.001849555,0.026864022801066756,0.031157678815546805,0.027183047902541786,0.008633452,0.046029258029347674,0.023416706105375835,0.006315906,0.018111925079196005,0.1029726020715539,0.045530946,0.02219861,0.029607375016643355,370900,0.5592404566013808,0.4976462011624642,0.03704646,0.043073662,0.17547303381006932,0.1830254916875505,0.070830164,0.11061602165152176,0.053490754
California2,0.74,0.49252619044433443,0.5074738095556656,45.5,0.6897271912337272,0.016579923,0.022992735,0.043502227692966376,0.001794196,0.13397332120255281,0.8556575373623581,0.13248016483589997,0.4781391739473649,0.029956784094406014,0.010377169157490535,0.015472096974886608,0.037712901887852715,0.031536907,0.009627915,0.044575267,0.018994929155349807,0.011205362518564108,0.032600580671920364,0.1059177693635354,0.047184276,0.023719243788549792,0.025849266132377143,806600,0.6692257261743889,0.4189079621626684,0.030588298256646284,0.031441913,0.13481489410096198,0.15713999009914237,0.061382641,0.1905794677620048,0.135395566
California3,0.46,0.4981715180664353,0.5018284819335648,43.7,0.7238824292577785,0.019608045837393038,0.008392926,0.076346551,0.000821848,0.137130976,0.8679642211959177,0.11766119715816434,0.46428968322681186,0.019251394944344368,0.002438407,0.004595111,0.034526649,0.032284659,0.007365616,0.046855657,0.020114593482592594,0.009260001,0.032565069,0.10118676876875325,0.04356439,0.025054725236668882,0.043875813,643400,0.7432746754606094,0.37836395448307586,0.013477785559773914,0.021418436783629206,0.1430661122209788,0.17495147738755806,0.079045985,0.19254367035119777,0.10684149452230748
California4,0.68,0.49860233166885126,0.5013976683311487,39.3,0.5479421800489543,0.030273012520860478,0.009945073,0.082095862,0.003949279,0.17027769101793902,0.8083462819670074,0.17943996560389858,0.47388993508912014,0.029495441,0.005326691,0.019997307903915695,0.035765672638502465,0.038967437398964716,0.009170116,0.052910142798708315,0.020709537207773625,0.007739123,0.020313563851683803,0.10916972358968796,0.047196626,0.022507752844669975,0.032488111,650200,0.6814884416292147,0.3966633690667705,0.041274014869256914,0.04212869,0.1358005653401777,0.15778688792385812,0.067114217,0.13879062157362165,0.099590566
California5,0.39,0.49501125372823884,0.5049887462717612,41.4,0.6123414816403095,0.019496618745771025,0.011868735178525344,0.061860197,0.008907971,0.18748338903490133,0.8661737195594034,0.1225327500824931,0.44894864627856607,0.025423282699045906,0.003651523,0.012121671226791192,0.034082169549324456,0.03868766,0.007762697,0.045647895,0.025669799050655258,0.005773875,0.027862767428513468,0.10743490748575148,0.040680334,0.022155657,0.032266679,494000,0.6820414121791917,0.4204439091844032,0.031705598,0.035734599468705906,0.16101497972017825,0.19037482040898604,0.075139981,0.13660215727486444,0.075047538
California6,0.56,0.4937099412927854,0.5062900587072146,36.6,0.5024233559513223,0.087042146,0.015420143921343266,0.11944111478373798,0.008800082,0.14175332303101496,0.7745912295181422,0.21001796016762822,0.4814804938179423,0.025661573,0.004306707,0.003150696,0.035881668,0.026696249164992206,0.011229438141422653,0.060287229,0.033773649,0.005409384,0.033452312,0.093596874,0.043781742,0.027920261,0.046887104,492100,0.6264965139674636,0.44097878246863637,0.032186967,0.038697695,0.16891890990982583,0.16836957144933354,0.068087302,0.13802262154446776,0.070133988
California7,0.68,0.49639739994233745,0.5036026000576626,37.3,0.3378580976594239,0.10590517128404058,0.009168348,0.24062459046470788,0.015279270306397924,0.1465009304641837,0.7493735748171835,0.23417424579980606,0.4794079102560742,0.027273084685345846,0.003970854,0.005278746,0.031133856,0.029603176683353865,0.009004534,0.04399523,0.030267606741278538,0.008764711,0.025093702,0.11029801064136503,0.040893245616334235,0.027451314444473567,0.058258852514874324,550500,0.64857023,0.4283162529814169,0.053611774,0.034504495,0.13978062013472073,0.1599087882997405,0.062212670039053286,0.15046392157890598,0.082973816
California8,0.76,0.48915447834704867,0.5108455216529513,38.7,0.2693263333195222,0.15186002467291018,0.010512049762827307,0.1833761255511642,0.011231119409667877,0.1632902916241752,0.6895944741235169,0.2902622198401741,0.4787814308951348,0.031433234,0.018260092035568554,0.004685982,0.038523689,0.032366153471916854,0.008932235,0.058479876,0.036927835,0.007571616,0.022601241130249174,0.10951911883227367,0.043082697,0.021537338827488775,0.024962943855095437,636700,0.6505789312593476,0.4135505868169674,0.057184749,0.053036064,0.16183076735958427,0.14999552252171577,0.064411532,0.1392963542634281,0.069171025
California9,0.55,0.5015024186861374,0.4984975813138625,35.4,0.3312586265605789,0.076690936,0.017108857771897492,0.17703586829662632,0.004812679,0.19818929955577275,0.735865437,0.24457322731490747,0.4523891836251959,0.03203167,0.003406435,0.017080265028735706,0.03869118,0.046572379929973776,0.012935616940420521,0.053660781,0.044144596101509434,0.006442465,0.022645452584134147,0.088598514,0.035851401,0.017992633,0.019622419829847186,535700,0.6142695983759322,0.41123122951394936,0.075904635,0.045760086,0.17737638187428031,0.1379729824570524,0.058709999402151734,0.10090379061794116,0.048411413
California10,0.79,0.49633850707632243,0.5036614929236776,41.4,0.4871761548091409,0.049327378047486686,0.004673343,0.23421619385091982,0.002225275,0.1458669290670288,0.7291529631437119,0.25498498801162767,0.5036309915338751,0.020984956184090475,0.019743682233868742,0.002275669,0.035718454,0.029553194423815484,0.011155552,0.047068949,0.024504551,0.016461467461647818,0.046054446,0.11106086486027711,0.034108511,0.018566063358017356,0.022990091,1033500,0.8129270194572344,0.2780519955865815,0.024053661,0.020774098750238706,0.10031774491289865,0.11174515690975832,0.05578439,0.22396374843514608,0.16654156676356383
California11,0.84,0.5160356423184512,0.48396435768154883,39.7,0.4233418074532577,0.048080002,0.009474576,0.3247784400250539,0.004618254,0.12384827074104619,0.6641782796119476,0.3091905940102993,0.5937977377784202,0.021077602,0.096988995,0.001404323,0.016068235087391133,0.028130394,0.008400432,0.045493837,0.025989190537327223,0.037675824,0.053053942449672514,0.12189270460464971,0.045666721,0.022474839799455276,0.018101740453861394,1465400,0.7666060157749002,0.29714260611780446,0.047017194811231185,0.028097801,0.074929359,0.083266022,0.040307336,0.29512610567425934,0.23033876640620793
California12,0.91,0.4967655312199208,0.5032344687800792,38.3,0.3586357261840599,0.1536986982026807,0.010486059541377442,0.213789901,0.002020101,0.11973304262710817,0.7111907868210161,0.27037986850340145,0.5312131328256835,0.021997102893441055,0.056543809,0.001645404,0.030792957343024747,0.038148404079842844,0.010167024845336051,0.039588812,0.028691401,0.022435606,0.030370745,0.1300141054063484,0.04092197,0.030142669600880807,0.022962352548272665,993900,0.70843487,0.3466278032628425,0.053372468256047745,0.034953984336075224,0.10068735007066279,0.093329188,0.038956173,0.20920258974717518,0.18974283088310162
California13,0.5,0.5086124915638996,0.49138750843610035,32.2,0.2794662760496554,0.029785825,0.018206638444076325,0.067031208,0.002144815,0.24801240362394422,0.7160677035400945,0.271591304,0.40501334437695563,0.042604863,0.001675716,0.051108708,0.031090864470212896,0.047704869,0.011400239278483342,0.041743358488250816,0.029710411681698263,0.005093615,0.011745352,0.077292574,0.031790038,0.022227846289138393,0.014841145673558705,394200,0.47511350389594453,0.51594423,0.1104720125979099,0.065437297,0.1838328527312514,0.11329810622328568,0.040002454,0.064441581,0.023725893
California14,0.69,0.49272387550803304,0.5072761244919669,40.6,0.272395734,0.053385069,0.009563296,0.3989198330651101,0.010625733067837756,0.1195002864078994,0.5913886691579607,0.392387005,0.515003682,0.023800496440358965,0.017659092768882462,0.002700417,0.027493794,0.057667549,0.011491776001745724,0.052254439,0.030671558331742177,0.020579089,0.029900985,0.10434930852950002,0.032055863178854914,0.017888219088404572,0.016018385,1104400,0.7700799214424048,0.2897275033414255,0.053271869,0.026629115408744988,0.12019039306074575,0.11700717383595646,0.047418237,0.21121491503232317,0.15285316821690625
California15,0.56,0.49951894601906977,0.5004810539809302,41.3,0.3072349962600138,0.025821198074671814,0.012151479,0.3851560088647404,0.014149382554702512,0.14297591671370616,0.5852105097781869,0.39626891195599884,0.5266220278232725,0.020293248282247996,0.034163175,0.001986781,0.031023810781726623,0.03887083,0.009853265,0.049255201,0.036430802,0.025506983624700035,0.034182639234540235,0.10269529262263401,0.038820778,0.023549399794787377,0.023162888,1431200,0.7669460301923938,0.30429583985629555,0.05993154,0.034207665164184005,0.11934865847113815,0.11436710814260331,0.050253457,0.20520845209063834,0.15661921935783465
California16,0.58,0.4957525418796515,0.5042474581203485,40.6,0.44795690941158395,0.023075113444595386,0.009875153,0.29469485885547764,0.003069157,0.13109123026023245,0.6420943701292255,0.34153996363789657,0.5079258234846971,0.018680112757876528,0.010162079248715972,0.004282134,0.023889657,0.060771219272730735,0.006629217,0.037702905,0.014941914463387006,0.037191605,0.026618854716126742,0.10789645095535512,0.03732215,0.019708151284844183,0.011806124988271386,1915300,0.7829968410932564,0.2885239080150289,0.037422778,0.020980961,0.076767009,0.087807545,0.039487014,0.20780656557621152,0.24078946831642373
California17,0.71,0.5257490219583513,0.4742509780416488,37.4,0.21535680633290405,0.018031335131472016,0.004275304,0.5795419876182222,0.003546329,0.091421583,0.48080635450331144,0.5064082314793066,0.5553116638722619,0.022432185062489368,0.010586339005839902,0.000639878,0.017431956,0.10135994362592235,0.007276252,0.044263641,0.019259793,0.053995459,0.023612045,0.085414287,0.030479261,0.014370259974134882,0.01261667,1444700,0.8197946450026055,0.2291938344902439,0.032887579,0.026020363,0.089946083,0.07302171,0.048256804442968496,0.21925412343439088,0.24475880372479297
California18,0.66,0.5177436346956387,0.48225636530436133,34.5,0.21716080066858495,0.02146223,0.019421903,0.11937480774099411,0.004419575,0.22509208015397053,0.6421409962895713,0.3425980623014458,0.47601696507079216,0.022993496541379582,0.009684409,0.042729819,0.043654023623697746,0.049236000141557074,0.011419844668334499,0.047880319,0.022489880030380327,0.010938006168621697,0.012003767595952557,0.087573467,0.044026972066978275,0.021576564682054645,0.017045377208766737,797400,0.5771976055076591,0.4071167818632722,0.1173276746800674,0.06890835,0.1436450401940421,0.10765007091464925,0.046063216,0.1085103023604642,0.05013026
California19,0.69,0.4981424754833587,0.5018575245166412,41.4,0.5145208793802708,0.017513036200939892,0.007383157,0.19711889229844853,0.004049001,0.14810572734490676,0.7504801399111607,0.23210338833930602,0.4991228728997232,0.019591854252054678,0.009731551,0.010787054,0.028486513164953542,0.054538797450698485,0.006771582,0.047213311,0.019550278,0.0157333,0.025493015171348256,0.11333716014677797,0.053362588785648375,0.021242838136520677,0.021595566618742085,1077500,0.7453595416407374,0.34009329198944227,0.030325261,0.030137497,0.1012706272397588,0.13638253470955558,0.06597632,0.19662131713911718,0.14385286796420677
California20,0.33,0.5012535845964768,0.49874641540352316,35.3,0.5418788012479123,0.033341947,0.014497211105158668,0.07539533,0.001956323,0.19761257996407525,0.8615472851605585,0.12797781489301358,0.4424302776289667,0.021692244666435573,0.001598336,0.025904894,0.034117165,0.025059086755112973,0.009950525,0.046647969,0.027084738,0.004971481,0.016564459710711247,0.11567768568997573,0.035452053067784324,0.020203573566949233,0.036924337,389900,0.6738877509217533,0.3908599880250843,0.036998708,0.036044496265717076,0.1631815460246431,0.16218825828002395,0.065719598,0.11863485960986986,0.066404059
