Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","733,583",(*****)
People,"Sex and Age",Male,"385,667","(+/-2,351)"
People,"Sex and Age",Female,"347,916","(+/-2,351)"
People,"Sex and Age","Under 5 years","46,497","(+/-1,674)"
People,"Sex and Age","5 to 9 years","49,637","(+/-2,701)"
People,"Sex and Age","10 to 14 years","51,178","(+/-2,543)"
People,"Sex and Age","15 to 19 years","44,794","(+/-1,801)"
People,"Sex and Age","20 to 24 years","52,259","(+/-1,701)"
People,"Sex and Age","25 to 34 years","113,900","(+/-2,769)"
People,"Sex and Age","35 to 44 years","104,911","(+/-2,321)"
People,"Sex and Age","45 to 54 years","81,813","(+/-2,107)"
People,"Sex and Age","55 to 59 years","43,503","(+/-2,650)"
People,"Sex and Age","60 to 64 years","43,617","(+/-2,428)"
People,"Sex and Age","65 to 74 years","68,896","(+/-1,490)"
People,"Sex and Age","75 to 84 years","26,870","(+/-1,051)"
People,"Sex and Age","85 years and over","5,708","(+/-1,088)"
People,"Sex and Age","Median age (years)",35.9,(+/-0.3)
People,"Sex and Age","18 years and over","557,838","(+/-1,149)"
People,"Sex and Age","65 years and over","101,474","(+/-1,321)"
People,Race,"Total population","733,583",(*****)
People,Race,"One race","629,276","(+/-7,547)"
People,Race,White,"437,533","(+/-3,054)"
People,Race,"Black or African American","22,202","(+/-3,776)"
People,Race,"American Indian and Alaska Native","95,268","(+/-4,155)"
People,Race,Asian,"46,184","(+/-2,926)"
People,Race,"Native Hawaiian and Other Pacific Islander","14,724","(+/-1,961)"
People,Race,"Some other race","13,365","(+/-2,724)"
People,Race,"Two or more races","104,307","(+/-7,547)"
People,"Hispanic or Latino and Race","Total population","733,583",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","56,491",(*****)
People,"Hispanic or Latino and Race",Mexican,"27,343","(+/-2,990)"
People,"Hispanic or Latino and Race","Puerto Rican","10,401","(+/-2,765)"
People,"Hispanic or Latino and Race",Cuban,"2,304","(+/-1,084)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","16,443","(+/-2,310)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","677,092",(*****)
People,"Place of Birth","Total population","733,583",(*****)
People,"Place of Birth",Native,"678,511","(+/-4,485)"
People,"Place of Birth","Born in United States","660,481","(+/-4,946)"
People,"Place of Birth","State of residence","307,639","(+/-7,029)"
People,"Place of Birth","Different state","352,842","(+/-7,346)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","18,030","(+/-3,294)"
People,"Place of Birth","Foreign born","55,072","(+/-4,485)"
People,Ancestry,"Total population","733,583",(*****)
People,Ancestry,American,"25,872","(+/-4,371)"
People,Ancestry,Arab,"1,286",(+/-715)
People,Ancestry,Czech,"3,415","(+/-1,108)"
People,Ancestry,Danish,"6,240","(+/-1,732)"
People,Ancestry,Dutch,"9,121","(+/-2,223)"
People,Ancestry,English,"70,661","(+/-5,684)"
People,Ancestry,"French (except Basque)","13,920","(+/-2,830)"
People,Ancestry,"French Canadian","4,625","(+/-1,350)"
People,Ancestry,German,"96,340","(+/-6,653)"
People,Ancestry,Greek,"1,345",(+/-731)
People,Ancestry,Hungarian,"2,358","(+/-1,138)"
People,Ancestry,Irish,"68,792","(+/-6,147)"
People,Ancestry,Italian,"18,626","(+/-2,528)"
People,Ancestry,Lithuanian,"1,299",(+/-785)
People,Ancestry,Norwegian,"23,505","(+/-3,170)"
People,Ancestry,Polish,"11,212","(+/-2,176)"
People,Ancestry,Portuguese,"1,214",(+/-699)
People,Ancestry,Russian,"6,494","(+/-1,699)"
People,Ancestry,Scotch-Irish,"6,640","(+/-1,457)"
People,Ancestry,Scottish,"16,557","(+/-2,643)"
People,Ancestry,Slovak,826,(+/-474)
People,Ancestry,"Subsaharan African","4,118","(+/-1,764)"
People,Ancestry,Swedish,"15,708","(+/-2,472)"
People,Ancestry,Swiss,"2,143",(+/-768)
People,Ancestry,Ukrainian,"3,754","(+/-1,488)"
People,Ancestry,Welsh,"5,839","(+/-1,524)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,379","(+/-1,094)"
People,"Veteran Status","Civilian population 18 years and over","533,430","(+/-2,544)"
People,"Veteran Status","Civilian veterans","53,692","(+/-3,292)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","701,511","(+/-2,509)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","92,855","(+/-4,699)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","175,348","(+/-1,147)"
