Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","747,672","(+/-4,543)","761,676","(+/-7,136)","784,904","(+/-3,699)","751,385","(+/-9,248)"
People,"Sex and Age",Male,"372,874","(+/-4,015)","365,152","(+/-4,402)","391,593","(+/-2,573)","374,869","(+/-6,011)"
People,"Sex and Age",Female,"374,798","(+/-4,202)","396,524","(+/-4,869)","393,311","(+/-2,629)","376,516","(+/-4,907)"
People,"Sex and Age","Under 5 years","42,379","(+/-2,145)","44,557","(+/-2,552)","47,487","(+/-1,306)","43,342","(+/-2,509)"
People,"Sex and Age","5 to 9 years","47,353","(+/-3,086)","47,613","(+/-3,879)","56,349","(+/-3,445)","45,138","(+/-3,996)"
People,"Sex and Age","10 to 14 years","49,001","(+/-2,982)","49,696","(+/-3,527)","53,186","(+/-3,416)","48,506","(+/-3,746)"
People,"Sex and Age","15 to 19 years","48,529","(+/-2,494)","46,763","(+/-2,179)","55,249","(+/-2,008)","52,959","(+/-3,515)"
People,"Sex and Age","20 to 24 years","44,774","(+/-2,920)","57,747","(+/-3,013)","60,119","(+/-2,231)","47,266","(+/-2,225)"
People,"Sex and Age","25 to 34 years","86,845","(+/-3,190)","100,670","(+/-3,580)","113,230","(+/-2,449)","85,132","(+/-4,225)"
People,"Sex and Age","35 to 44 years","92,038","(+/-2,855)","97,397","(+/-3,204)","109,399","(+/-2,602)","88,806","(+/-3,905)"
People,"Sex and Age","45 to 54 years","93,441","(+/-3,228)","90,506","(+/-2,617)","89,140","(+/-2,451)","90,316","(+/-2,957)"
People,"Sex and Age","55 to 59 years","47,100","(+/-3,489)","45,639","(+/-2,940)","42,156","(+/-3,013)","46,986","(+/-2,649)"
People,"Sex and Age","60 to 64 years","51,391","(+/-3,584)","49,986","(+/-3,009)","44,809","(+/-2,975)","53,795","(+/-2,847)"
People,"Sex and Age","65 to 74 years","83,999","(+/-1,971)","76,061","(+/-1,776)","67,387","(+/-1,851)","87,712","(+/-2,738)"
People,"Sex and Age","75 to 84 years","46,703","(+/-2,176)","41,841","(+/-1,956)","34,448","(+/-2,007)","46,516","(+/-1,895)"
People,"Sex and Age","85 years and over","14,119","(+/-1,729)","13,200","(+/-1,646)","11,945","(+/-1,790)","14,911","(+/-1,608)"
People,"Sex and Age","Median age (years)",41.1,(+/-0.4),38.6,(+/-0.5),35.6,(+/-0.3),41.0,(+/-0.5)
People,"Sex and Age","18 years and over","578,222","(+/-3,752)","591,874","(+/-4,580)","595,820","(+/-3,201)","583,889","(+/-6,037)"
People,"Sex and Age","65 years and over","144,821","(+/-2,054)","131,102","(+/-1,965)","113,780","(+/-1,879)","149,139","(+/-3,114)"
People,Race,"Total population","747,672","(+/-4,543)","761,676","(+/-7,136)","784,904","(+/-3,699)","751,385","(+/-9,248)"
People,Race,"One race","698,210","(+/-6,930)","712,502","(+/-8,583)","612,826","(+/-15,003)","694,561","(+/-8,964)"
People,Race,White,"559,626","(+/-4,407)","522,687","(+/-5,732)","499,950","(+/-12,408)","521,586","(+/-6,125)"
People,Race,"Black or African American","116,579","(+/-5,584)","154,834","(+/-6,832)","21,434","(+/-2,427)","144,484","(+/-6,150)"
People,Race,"American Indian and Alaska Native","2,757",(+/-873),"1,600",(+/-604),"13,753","(+/-3,872)","4,140","(+/-1,264)"
People,Race,Asian,"4,924","(+/-1,209)","13,064","(+/-1,119)","25,648","(+/-1,532)","5,285","(+/-1,491)"
People,Race,"Native Hawaiian and Other Pacific Islander","2,160",(+/-950),203,(+/-230),"11,391","(+/-2,044)",475,(+/-322)
People,Race,"Some other race","12,164","(+/-2,900)","20,114","(+/-4,597)","40,650","(+/-6,438)","18,591","(+/-3,003)"
People,Race,"Two or more races","49,462","(+/-5,324)","49,174","(+/-6,011)","172,078","(+/-15,351)","56,824","(+/-5,315)"
People,"Hispanic or Latino and Race","Total population","747,672","(+/-4,543)","761,676","(+/-7,136)","784,904","(+/-3,699)","751,385","(+/-9,248)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","29,466","(+/-1,956)","38,632","(+/-2,930)","129,914",(+/-178),"57,404","(+/-3,076)"
People,"Hispanic or Latino and Race",Mexican,"20,985","(+/-2,713)","23,284","(+/-3,345)","83,012","(+/-6,609)","43,060","(+/-3,461)"
People,"Hispanic or Latino and Race","Puerto Rican",930,(+/-464),"2,580","(+/-1,660)","4,049","(+/-1,739)","1,463",(+/-852)
People,"Hispanic or Latino and Race",Cuban,626,(+/-637),422,(+/-320),391,(+/-374),723,(+/-536)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,925","(+/-1,930)","12,346","(+/-2,904)","42,462","(+/-6,423)","12,158","(+/-2,724)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","718,206","(+/-5,119)","723,044","(+/-6,300)","654,990","(+/-3,666)","693,981","(+/-8,627)"
People,"Place of Birth","Total population","747,672","(+/-4,543)","761,676","(+/-7,136)","784,904","(+/-3,699)","751,385","(+/-9,248)"
People,"Place of Birth",Native,"730,691","(+/-5,367)","734,552","(+/-6,832)","698,884","(+/-7,230)","725,437","(+/-9,403)"
People,"Place of Birth","Born in United States","726,973","(+/-5,403)","729,341","(+/-7,046)","689,455","(+/-7,628)","720,867","(+/-9,583)"
People,"Place of Birth","State of residence","490,377","(+/-8,761)","493,824","(+/-10,500)","365,167","(+/-10,224)","480,194","(+/-9,894)"
People,"Place of Birth","Different state","236,596","(+/-8,030)","235,517","(+/-10,725)","324,288","(+/-10,700)","240,673","(+/-8,569)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","3,718","(+/-1,147)","5,211","(+/-1,444)","9,429","(+/-2,425)","4,570","(+/-1,333)"
People,"Place of Birth","Foreign born","16,981","(+/-2,601)","27,124","(+/-2,906)","86,020","(+/-6,823)","25,948","(+/-2,778)"
People,Ancestry,"Total population","747,672","(+/-4,543)","761,676","(+/-7,136)","784,904","(+/-3,699)","751,385","(+/-9,248)"
People,Ancestry,American,"72,951","(+/-6,003)","58,437","(+/-7,228)","46,303","(+/-5,062)","70,133","(+/-6,747)"
People,Ancestry,Arab,783,(+/-776),"2,138",(+/-966),"1,469",(+/-831),138,(+/-148)
People,Ancestry,Czech,"1,316",(+/-657),"1,077",(+/-729),"1,069",(+/-508),"1,259",(+/-877)
People,Ancestry,Danish,798,(+/-588),563,(+/-455),"1,715",(+/-728),"1,064",(+/-535)
People,Ancestry,Dutch,"6,671","(+/-1,650)","3,326","(+/-1,005)","6,886","(+/-1,752)","3,834",(+/-949)
People,Ancestry,English,"109,264","(+/-8,852)","93,388","(+/-6,120)","100,027","(+/-6,553)","78,791","(+/-6,035)"
People,Ancestry,"French (except Basque)","9,809","(+/-1,949)","9,395","(+/-2,105)","16,200","(+/-3,729)","8,599","(+/-1,625)"
People,Ancestry,"French Canadian","1,112",(+/-544),724,(+/-375),"1,719",(+/-821),557,(+/-314)
People,Ancestry,German,"72,658","(+/-6,118)","63,879","(+/-5,678)","84,762","(+/-7,057)","58,251","(+/-5,290)"
People,Ancestry,Greek,679,(+/-770),439,(+/-324),"1,771","(+/-1,135)",588,(+/-417)
People,Ancestry,Hungarian,195,(+/-191),402,(+/-280),"1,775","(+/-1,684)",356,(+/-273)
People,Ancestry,Irish,"67,209","(+/-5,821)","57,066","(+/-4,992)","72,879","(+/-6,676)","61,697","(+/-4,942)"
People,Ancestry,Italian,"11,920","(+/-3,324)","8,060","(+/-1,918)","15,194","(+/-2,809)","8,522","(+/-2,028)"
People,Ancestry,Lithuanian,260,(+/-208),942,(+/-819),320,(+/-253),39,(+/-67)
People,Ancestry,Norwegian,"3,084","(+/-1,186)","2,784","(+/-1,026)","3,604","(+/-1,123)","1,994",(+/-916)
People,Ancestry,Polish,"4,812","(+/-1,107)","5,847","(+/-1,556)","6,135","(+/-1,438)","2,179",(+/-810)
People,Ancestry,Portuguese,"1,074",(+/-651),351,(+/-415),995,"(+/-1,005)",256,(+/-241)
People,Ancestry,Russian,414,(+/-338),954,(+/-786),"1,819","(+/-1,303)",400,(+/-362)
People,Ancestry,Scotch-Irish,"7,046","(+/-1,985)","7,887","(+/-2,283)","8,675","(+/-1,988)","7,018","(+/-1,706)"
People,Ancestry,Scottish,"12,460","(+/-2,342)","13,974","(+/-2,257)","18,094","(+/-3,522)","10,602","(+/-1,819)"
People,Ancestry,Slovak,6,(+/-15),283,(+/-272),184,(+/-156),331,(+/-301)
People,Ancestry,"Subsaharan African","6,976","(+/-2,283)","8,487","(+/-5,747)","1,498","(+/-1,025)","22,305","(+/-3,447)"
People,Ancestry,Swedish,"2,679",(+/-636),"2,160",(+/-695),"5,359","(+/-1,714)","2,763","(+/-1,015)"
People,Ancestry,Swiss,283,(+/-193),"2,295","(+/-1,046)","2,211","(+/-1,014)",907,(+/-667)
People,Ancestry,Ukrainian,409,(+/-356),371,(+/-424),559,(+/-508),78,(+/-101)
People,Ancestry,Welsh,"3,232","(+/-1,662)","3,384","(+/-1,054)","4,104","(+/-1,166)","2,941","(+/-1,317)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,393","(+/-1,299)","1,587","(+/-1,065)","2,277","(+/-1,268)","1,179",(+/-557)
People,"Veteran Status","Civilian population 18 years and over","576,444","(+/-3,804)","589,485","(+/-4,456)","594,158","(+/-3,322)","583,447","(+/-6,010)"
People,"Veteran Status","Civilian veterans","46,725","(+/-2,946)","45,203","(+/-3,471)","42,495","(+/-3,557)","44,254","(+/-3,254)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","726,158","(+/-4,692)","752,116","(+/-6,961)","778,027","(+/-3,786)","734,898","(+/-9,260)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","154,943","(+/-6,910)","130,087","(+/-7,483)","101,296","(+/-5,481)","154,023","(+/-6,386)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","169,018","(+/-2,151)","169,474","(+/-4,003)","188,882","(+/-1,327)","167,144","(+/-4,754)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","12,240","(+/-2,405)","11,324","(+/-2,606)","7,507","(+/-1,457)","13,746","(+/-2,318)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","417,114","(+/-3,779)","454,815","(+/-4,022)","478,314","(+/-3,328)","423,306","(+/-5,419)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","80,929","(+/-5,499)","70,359","(+/-5,104)","57,047","(+/-4,266)","77,640","(+/-4,547)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,026","(+/-2,056)","127,827","(+/-1,962)","110,831","(+/-1,883)","144,448","(+/-3,135)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","61,774","(+/-3,170)","48,404","(+/-3,323)","36,742","(+/-2,480)","62,637","(+/-2,495)"
People,"Residence 1 Year Ago","Population 1 year and over","739,222","(+/-4,535)","750,968","(+/-6,979)","774,897","(+/-4,814)","742,785","(+/-9,397)"
People,"Residence 1 Year Ago","Same house","641,169","(+/-7,774)","658,759","(+/-11,802)","659,126","(+/-10,210)","659,066","(+/-11,498)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","98,053","(+/-7,270)","92,209","(+/-8,602)","115,771","(+/-9,226)","83,719","(+/-8,056)"
People,"Residence 1 Year Ago","Different house in the U.S.","97,245","(+/-7,345)","91,249","(+/-8,578)","109,643","(+/-8,772)","82,878","(+/-8,023)"
People,"Residence 1 Year Ago","Same county","49,752","(+/-5,593)","43,133","(+/-5,908)","52,788","(+/-6,630)","38,721","(+/-5,788)"
People,"Residence 1 Year Ago","Different county","47,493","(+/-5,168)","48,116","(+/-6,804)","56,855","(+/-6,033)","44,157","(+/-4,905)"
People,"Residence 1 Year Ago","Same state","31,039","(+/-3,823)","26,827","(+/-4,262)","25,158","(+/-4,633)","27,222","(+/-3,458)"
People,"Residence 1 Year Ago","Different state","16,454","(+/-3,080)","21,289","(+/-4,752)","31,697","(+/-5,117)","16,935","(+/-3,545)"
People,"Residence 1 Year Ago",Abroad,808,(+/-613),960,(+/-645),"6,128","(+/-3,138)",841,(+/-505)
Workers,"Employment Status","Population 16 years and over","597,096","(+/-3,963)","609,607","(+/-5,203)","617,950","(+/-3,497)","605,947","(+/-6,840)"
Workers,"Employment Status","In labor force","326,364","(+/-6,361)","363,867","(+/-8,253)","396,144","(+/-6,465)","317,815","(+/-7,628)"
Workers,"Employment Status","Civilian labor force","324,586","(+/-6,536)","361,478","(+/-8,181)","394,482","(+/-6,400)","317,373","(+/-7,591)"
Workers,"Employment Status",Employed,"307,297","(+/-6,471)","344,939","(+/-8,075)","379,732","(+/-6,304)","303,592","(+/-8,003)"
Workers,"Employment Status",Unemployed,"17,289","(+/-2,291)","16,539","(+/-3,023)","14,750","(+/-2,182)","13,781","(+/-2,329)"
Workers,"Employment Status","Armed Forces","1,778",(+/-804),"2,389",(+/-956),"1,662","(+/-1,011)",442,(+/-310)
Workers,"Employment Status","Not in labor force","270,732","(+/-6,093)","245,740","(+/-7,366)","221,806","(+/-5,240)","288,132","(+/-7,074)"
Workers,"Employment Status","Civilian labor force","324,586","(+/-6,536)","361,478","(+/-8,181)","394,482","(+/-6,400)","317,373","(+/-7,591)"
Workers,"Employment Status","Unemployment Rate",5.3,(+/-0.7),4.6,(+/-0.8),3.7,(+/-0.5),4.3,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over","303,864","(+/-6,116)","341,825","(+/-8,122)","376,580","(+/-6,411)","297,599","(+/-7,916)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","247,365","(+/-6,546)","273,555","(+/-7,953)","286,224","(+/-6,459)","246,090","(+/-7,338)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,720","(+/-3,311)","24,158","(+/-3,604)","30,478","(+/-4,001)","26,017","(+/-2,950)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",308,(+/-221),"1,319",(+/-705),"1,390",(+/-591),644,(+/-400)
Workers,"Commuting to Work",Walked,"4,547","(+/-1,105)","4,558","(+/-1,351)","7,388","(+/-1,534)","3,916","(+/-1,046)"
Workers,"Commuting to Work","Other means","4,057","(+/-1,181)","3,955","(+/-1,303)","4,452","(+/-1,278)","4,933","(+/-1,212)"
Workers,"Commuting to Work","Worked from home","18,867","(+/-2,459)","34,280","(+/-3,967)","46,648","(+/-3,346)","15,999","(+/-2,124)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.2,(+/-0.8),22.8,(+/-0.6),21.3,(+/-0.5),23.3,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","307,297","(+/-6,471)","344,939","(+/-8,075)","379,732","(+/-6,304)","303,592","(+/-8,003)"
Workers,Occupation,"Management, business, science, and arts occupations","95,065","(+/-4,931)","147,296","(+/-6,236)","148,971","(+/-5,937)","95,114","(+/-5,411)"
Workers,Occupation,"Service occupations","51,114","(+/-3,746)","52,691","(+/-4,895)","56,119","(+/-5,062)","51,080","(+/-4,111)"
Workers,Occupation,"Sales and office occupations","61,336","(+/-3,883)","73,315","(+/-6,343)","82,607","(+/-5,088)","60,708","(+/-4,456)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","37,934","(+/-3,363)","25,460","(+/-3,128)","37,088","(+/-3,411)","33,393","(+/-2,965)"
Workers,Occupation,"Production, transportation, and material moving occupations","61,848","(+/-4,737)","46,177","(+/-4,299)","54,947","(+/-4,650)","63,297","(+/-4,320)"
Workers,Industry,"Civilian employed population 16 years and over","307,297","(+/-6,471)","344,939","(+/-8,075)","379,732","(+/-6,304)","303,592","(+/-8,003)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","13,536","(+/-1,980)","2,800",(+/-876),"5,536","(+/-1,583)","9,498","(+/-1,337)"
Workers,Industry,Construction,"19,121","(+/-2,477)","19,453","(+/-2,936)","30,085","(+/-4,026)","21,554","(+/-2,790)"
Workers,Industry,Manufacturing,"53,740","(+/-5,004)","31,436","(+/-3,287)","46,016","(+/-3,393)","50,608","(+/-3,861)"
Workers,Industry,"Wholesale trade","5,800","(+/-1,571)","5,800","(+/-1,422)","6,782","(+/-1,689)","4,929","(+/-1,158)"
Workers,Industry,"Retail trade","36,918","(+/-4,073)","44,980","(+/-5,074)","60,257","(+/-4,221)","40,460","(+/-3,478)"
Workers,Industry,"Transportation and warehousing, and utilities","19,113","(+/-2,327)","23,139","(+/-3,888)","23,050","(+/-2,992)","17,842","(+/-2,348)"
Workers,Industry,Information,"4,114","(+/-1,084)","6,956","(+/-1,591)","3,375",(+/-891),"3,707","(+/-1,201)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","15,479","(+/-1,883)","22,836","(+/-3,045)","21,710","(+/-2,761)","12,907","(+/-2,025)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","18,374","(+/-2,333)","33,585","(+/-3,049)","43,683","(+/-3,634)","19,877","(+/-2,461)"
Workers,Industry,"Educational services, and health care and social assistance","70,586","(+/-4,561)","90,760","(+/-5,229)","73,510","(+/-3,781)","68,860","(+/-3,241)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","22,033","(+/-2,605)","25,010","(+/-3,041)","34,143","(+/-3,843)","26,605","(+/-3,572)"
Workers,Industry,"Other services, except public administration","13,293","(+/-1,836)","17,458","(+/-2,818)","20,570","(+/-2,703)","13,061","(+/-1,992)"
Workers,Industry,"Public administration","15,190","(+/-2,168)","20,726","(+/-2,945)","11,015","(+/-1,611)","13,684","(+/-2,172)"
Workers,"Class of Worker","Civilian employed population 16 years and over","307,297","(+/-6,471)","344,939","(+/-8,075)","379,732","(+/-6,304)","303,592","(+/-8,003)"
Workers,"Class of Worker","Private wage and salary workers","235,575","(+/-5,829)","266,467","(+/-8,536)","307,334","(+/-7,016)","234,854","(+/-7,427)"
Workers,"Class of Worker","Government workers","49,673","(+/-4,225)","60,252","(+/-5,328)","43,346","(+/-3,375)","48,817","(+/-3,841)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","21,641","(+/-2,666)","17,946","(+/-2,623)","28,192","(+/-2,906)","18,288","(+/-2,280)"
Workers,"Class of Worker","Unpaid family workers",408,(+/-328),274,(+/-241),860,(+/-651),"1,633",(+/-657)
Housing,"Housing Occupancy","Total housing units","349,647","(+/-2,015)","356,072","(+/-2,474)","328,369","(+/-1,299)","361,647","(+/-3,073)"
Housing,"Housing Occupancy","Occupied housing units","298,830","(+/-4,416)","317,475","(+/-4,399)","300,610","(+/-3,864)","299,292","(+/-5,306)"
Housing,"Housing Occupancy","Vacant housing units","50,817","(+/-3,857)","38,597","(+/-3,861)","27,759","(+/-3,620)","62,355","(+/-4,565)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.0,(+/-0.4),1.0,(+/-0.6),0.9,(+/-0.4),1.1,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",4.5,(+/-1.3),8.5,(+/-1.7),4.0,(+/-1.3),10.1,(+/-2.0)
Housing,"Housing Tenure","Occupied housing units","298,830","(+/-4,416)","317,475","(+/-4,399)","300,610","(+/-3,864)","299,292","(+/-5,306)"
Housing,"Housing Tenure",Owner-occupied,"200,877","(+/-5,900)","201,376","(+/-4,515)","192,041","(+/-5,459)","214,264","(+/-5,193)"
