Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
People,"Sex and Age","Total population","758,561","(+/-3,027)","747,410","(+/-8,406)","773,866","(+/-7,788)","765,203","(+/-8,658)","778,853","(+/-16,438)","749,993","(+/-16,881)","763,060","(+/-16,321)","748,189","(+/-9,634)","769,426","(+/-4,438)","754,064","(+/-9,835)","705,678","(+/-8,939)","736,597","(+/-5,846)","782,352","(+/-13,839)","733,220","(+/-7,509)","719,254","(+/-11,158)","735,381","(+/-14,877)","740,766","(+/-14,316)","734,686","(+/-13,687)","745,616","(+/-13,091)","793,325","(+/-17,692)","748,904","(+/-17,492)","775,019","(+/-14,578)","756,057","(+/-13,183)","750,711","(+/-5,305)","773,601","(+/-8,503)","758,064","(+/-7,656)","737,592","(+/-12,827)","719,742","(+/-12,177)","728,732","(+/-21,192)","732,048","(+/-12,271)","730,452","(+/-11,163)","783,556","(+/-21,904)","774,631","(+/-13,528)","745,561","(+/-21,063)","769,910","(+/-13,923)","727,412","(+/-14,913)","740,416","(+/-22,056)","720,021","(+/-10,932)","770,106","(+/-8,806)","742,204","(+/-11,727)","797,316","(+/-13,078)","723,841","(+/-13,561)","723,043","(+/-15,650)","735,344","(+/-14,983)","752,508","(+/-9,802)","749,454","(+/-11,043)","752,940","(+/-3,628)","766,556","(+/-13,255)","752,364","(+/-9,437)","748,969","(+/-16,234)","757,528","(+/-15,991)","749,240","(+/-15,138)"
People,"Sex and Age",Male,"382,070","(+/-3,364)","368,119","(+/-5,333)","385,518","(+/-4,730)","381,532","(+/-5,554)","385,541","(+/-9,842)","370,279","(+/-7,907)","378,781","(+/-7,711)","365,980","(+/-5,550)","385,869","(+/-3,057)","374,271","(+/-5,316)","364,155","(+/-5,479)","365,916","(+/-4,616)","397,914","(+/-8,238)","361,275","(+/-4,994)","359,281","(+/-6,821)","364,567","(+/-8,496)","389,457","(+/-7,732)","380,379","(+/-7,403)","371,423","(+/-7,769)","397,657","(+/-11,280)","378,661","(+/-10,028)","401,035","(+/-8,873)","389,234","(+/-8,826)","377,299","(+/-4,172)","389,944","(+/-7,706)","374,656","(+/-4,526)","366,004","(+/-9,733)","350,441","(+/-8,305)","368,084","(+/-11,679)","364,281","(+/-7,689)","365,424","(+/-8,152)","389,024","(+/-11,893)","383,445","(+/-8,832)","381,371","(+/-13,250)","387,213","(+/-9,891)","353,667","(+/-8,901)","371,759","(+/-14,350)","356,942","(+/-8,559)","384,319","(+/-7,402)","369,210","(+/-8,370)","406,393","(+/-9,335)","357,004","(+/-9,929)","352,153","(+/-9,623)","363,656","(+/-8,677)","373,747","(+/-7,484)","372,091","(+/-8,583)","374,248","(+/-6,457)","383,514","(+/-8,287)","385,529","(+/-7,971)","385,142","(+/-9,973)","378,440","(+/-11,375)","372,511","(+/-9,669)"
People,"Sex and Age",Female,"376,491","(+/-3,221)","379,291","(+/-5,137)","388,348","(+/-5,174)","383,671","(+/-5,695)","393,312","(+/-9,649)","379,714","(+/-11,191)","384,279","(+/-10,756)","382,209","(+/-6,954)","383,557","(+/-2,488)","379,793","(+/-6,828)","341,523","(+/-4,719)","370,681","(+/-4,729)","384,438","(+/-8,100)","371,945","(+/-5,277)","359,973","(+/-5,901)","370,814","(+/-8,894)","351,309","(+/-8,835)","354,307","(+/-8,754)","374,193","(+/-7,863)","395,668","(+/-9,528)","370,243","(+/-9,861)","373,984","(+/-8,055)","366,823","(+/-7,942)","373,412","(+/-3,980)","383,657","(+/-5,666)","383,408","(+/-4,914)","371,588","(+/-7,968)","369,301","(+/-8,332)","360,648","(+/-12,612)","367,767","(+/-9,723)","365,028","(+/-8,149)","394,532","(+/-12,048)","391,186","(+/-9,323)","364,190","(+/-11,536)","382,697","(+/-8,308)","373,745","(+/-10,433)","368,657","(+/-12,134)","363,079","(+/-5,897)","385,787","(+/-6,290)","372,994","(+/-7,863)","390,923","(+/-8,147)","366,837","(+/-8,438)","370,890","(+/-9,719)","371,688","(+/-10,199)","378,761","(+/-7,488)","377,363","(+/-7,789)","378,692","(+/-6,404)","383,042","(+/-10,064)","366,835","(+/-7,712)","363,827","(+/-9,607)","379,088","(+/-9,309)","376,729","(+/-9,071)"
People,"Sex and Age","Under 5 years","41,814","(+/-1,243)","31,262","(+/-1,734)","37,909","(+/-2,498)","35,467","(+/-2,482)","38,765","(+/-3,027)","46,726","(+/-3,342)","41,124","(+/-3,528)","40,640","(+/-2,888)","50,084","(+/-1,241)","41,028","(+/-2,099)","29,424","(+/-1,068)","38,314","(+/-2,868)","54,326","(+/-2,869)","38,131","(+/-2,781)","34,149","(+/-1,884)","37,839","(+/-3,715)","38,351","(+/-3,196)","44,377","(+/-3,177)","33,968","(+/-3,125)","52,760","(+/-3,634)","56,924","(+/-3,781)","55,101","(+/-3,213)","46,934","(+/-3,708)","38,392","(+/-1,804)","45,539","(+/-4,099)","38,654","(+/-1,775)","41,501","(+/-5,064)","30,228","(+/-3,652)","37,771","(+/-4,017)","30,884","(+/-3,805)","33,628","(+/-3,819)","42,950","(+/-4,475)","47,506","(+/-3,786)","36,270","(+/-3,275)","50,017","(+/-5,001)","27,449","(+/-3,063)","42,277","(+/-4,082)","38,445","(+/-2,789)","46,049","(+/-4,237)","38,731","(+/-3,848)","42,921","(+/-3,961)","39,479","(+/-4,548)","41,064","(+/-4,142)","39,211","(+/-3,399)","35,625","(+/-3,636)","44,823","(+/-4,721)","36,948","(+/-4,074)","45,778","(+/-4,355)","39,665","(+/-5,191)","36,458","(+/-4,286)","43,726","(+/-3,822)","40,980","(+/-4,103)"
People,"Sex and Age","5 to 9 years","50,635","(+/-2,942)","38,448","(+/-3,442)","41,259","(+/-3,678)","39,671","(+/-3,596)","48,206","(+/-4,152)","50,213","(+/-4,449)","45,200","(+/-4,049)","44,412","(+/-4,003)","51,964","(+/-3,474)","45,582","(+/-3,195)","24,891","(+/-2,130)","35,836","(+/-3,489)","61,887","(+/-4,957)","42,433","(+/-3,331)","38,262","(+/-2,845)","39,684","(+/-3,366)","37,387","(+/-3,197)","47,687","(+/-3,874)","38,444","(+/-3,273)","54,518","(+/-3,958)","56,568","(+/-4,601)","62,975","(+/-4,195)","56,104","(+/-4,159)","39,122","(+/-2,598)","48,689","(+/-3,722)","47,157","(+/-3,064)","47,505","(+/-3,968)","35,855","(+/-3,327)","37,883","(+/-3,714)","27,985","(+/-3,352)","41,798","(+/-3,181)","37,396","(+/-4,108)","49,812","(+/-4,021)","37,104","(+/-3,317)","49,438","(+/-4,507)","33,294","(+/-3,732)","41,351","(+/-3,747)","39,607","(+/-3,330)","52,246","(+/-4,465)","42,772","(+/-3,822)","48,356","(+/-4,245)","44,498","(+/-3,850)","47,451","(+/-4,747)","43,864","(+/-4,464)","42,149","(+/-3,854)","41,191","(+/-3,804)","36,874","(+/-3,472)","51,033","(+/-5,060)","44,211","(+/-5,037)","30,646","(+/-3,320)","41,417","(+/-4,065)","52,466","(+/-4,838)"
People,"Sex and Age","10 to 14 years","48,382","(+/-2,752)","41,825","(+/-3,025)","48,740","(+/-3,389)","45,216","(+/-3,068)","51,772","(+/-3,647)","50,036","(+/-3,940)","49,304","(+/-4,568)","46,498","(+/-3,266)","61,431","(+/-3,516)","50,000","(+/-3,465)","25,347","(+/-2,147)","36,152","(+/-2,826)","68,590","(+/-4,055)","42,788","(+/-2,460)","39,338","(+/-3,669)","44,582","(+/-4,020)","39,231","(+/-3,447)","55,099","(+/-3,689)","43,824","(+/-3,302)","66,640","(+/-5,686)","66,035","(+/-5,203)","69,629","(+/-4,389)","68,673","(+/-4,459)","41,684","(+/-2,998)","60,616","(+/-4,557)","51,190","(+/-3,113)","56,401","(+/-4,075)","44,896","(+/-4,180)","46,043","(+/-4,251)","28,544","(+/-3,346)","50,736","(+/-4,230)","41,551","(+/-4,265)","57,619","(+/-4,811)","42,995","(+/-3,452)","57,998","(+/-4,539)","35,636","(+/-4,223)","48,831","(+/-4,385)","41,836","(+/-3,338)","56,068","(+/-4,350)","40,665","(+/-3,522)","57,280","(+/-4,258)","45,820","(+/-3,631)","56,307","(+/-4,218)","49,905","(+/-4,611)","48,387","(+/-4,458)","51,869","(+/-3,748)","43,193","(+/-4,586)","52,063","(+/-4,206)","49,874","(+/-4,910)","35,890","(+/-3,667)","38,914","(+/-4,131)","58,229","(+/-4,400)"
People,"Sex and Age","15 to 19 years","49,047","(+/-2,372)","43,378","(+/-2,553)","43,714","(+/-2,389)","55,699","(+/-2,721)","47,862","(+/-3,427)","44,884","(+/-3,535)","53,845","(+/-3,320)","47,031","(+/-2,574)","56,608","(+/-1,273)","47,822","(+/-2,383)","24,875","(+/-1,453)","43,966","(+/-2,959)","69,033","(+/-3,177)","42,914","(+/-3,307)","37,483","(+/-2,152)","50,744","(+/-3,769)","38,198","(+/-2,879)","55,354","(+/-3,268)","51,933","(+/-3,194)","50,924","(+/-4,147)","63,580","(+/-3,368)","68,465","(+/-3,998)","52,813","(+/-4,024)","61,835","(+/-2,121)","56,704","(+/-4,021)","50,812","(+/-1,920)","50,830","(+/-4,124)","41,961","(+/-3,558)","45,907","(+/-3,508)","28,285","(+/-3,329)","50,034","(+/-4,188)","42,467","(+/-4,121)","61,897","(+/-3,831)","42,104","(+/-3,664)","57,536","(+/-4,778)","44,025","(+/-3,371)","52,023","(+/-4,325)","43,837","(+/-3,606)","60,953","(+/-3,530)","43,802","(+/-3,891)","52,560","(+/-3,783)","51,457","(+/-3,829)","48,308","(+/-5,115)","49,466","(+/-4,337)","43,775","(+/-3,440)","57,555","(+/-3,751)","50,216","(+/-3,794)","45,843","(+/-3,959)","47,675","(+/-3,849)","50,385","(+/-3,884)","45,723","(+/-3,807)","50,641","(+/-3,080)"
People,"Sex and Age","20 to 24 years","57,750","(+/-2,393)","38,410","(+/-2,718)","36,281","(+/-2,238)","66,910","(+/-3,466)","42,674","(+/-4,204)","44,826","(+/-3,787)","52,069","(+/-4,022)","49,672","(+/-3,911)","53,029","(+/-1,616)","39,389","(+/-3,369)","37,246","(+/-1,579)","51,799","(+/-3,372)","58,158","(+/-2,954)","32,741","(+/-3,227)","37,820","(+/-1,937)","39,631","(+/-3,496)","43,769","(+/-3,283)","60,328","(+/-3,605)","52,111","(+/-3,031)","53,479","(+/-4,566)","54,235","(+/-3,962)","65,319","(+/-3,388)","54,264","(+/-4,022)","78,875","(+/-2,444)","50,382","(+/-3,468)","49,157","(+/-2,369)","47,425","(+/-3,878)","37,039","(+/-2,651)","53,184","(+/-3,849)","38,090","(+/-4,296)","46,920","(+/-3,691)","45,427","(+/-4,787)","63,252","(+/-4,679)","55,084","(+/-5,011)","56,511","(+/-3,750)","50,656","(+/-4,095)","62,647","(+/-4,879)","44,201","(+/-4,115)","67,022","(+/-4,328)","44,829","(+/-4,566)","49,235","(+/-4,277)","56,052","(+/-5,063)","48,803","(+/-4,244)","51,017","(+/-4,576)","49,911","(+/-4,298)","54,924","(+/-4,246)","55,378","(+/-5,020)","42,896","(+/-4,674)","52,903","(+/-4,687)","55,611","(+/-4,641)","54,507","(+/-5,398)","55,939","(+/-4,321)"
People,"Sex and Age","25 to 34 years","97,149","(+/-3,084)","81,856","(+/-3,895)","88,073","(+/-3,857)","95,973","(+/-3,617)","95,094","(+/-5,295)","116,699","(+/-5,193)","114,279","(+/-5,757)","104,091","(+/-4,752)","107,545","(+/-1,920)","83,153","(+/-3,621)","146,663","(+/-2,402)","120,304","(+/-5,180)","108,053","(+/-3,787)","106,838","(+/-5,236)","103,517","(+/-3,538)","98,524","(+/-5,216)","142,190","(+/-5,787)","109,712","(+/-5,129)","85,948","(+/-4,882)","115,131","(+/-5,865)","113,707","(+/-6,235)","121,328","(+/-4,646)","109,253","(+/-6,659)","92,748","(+/-2,806)","99,238","(+/-6,247)","99,999","(+/-2,904)","95,158","(+/-5,323)","91,208","(+/-5,290)","125,386","(+/-6,585)","150,128","(+/-6,839)","100,341","(+/-6,250)","114,352","(+/-7,024)","123,138","(+/-6,925)","138,199","(+/-7,303)","124,179","(+/-7,088)","113,955","(+/-6,969)","128,328","(+/-7,996)","103,034","(+/-5,177)","126,833","(+/-5,140)","81,845","(+/-5,845)","97,048","(+/-5,705)","114,631","(+/-6,081)","113,949","(+/-7,844)","115,354","(+/-6,573)","101,449","(+/-5,769)","126,052","(+/-7,174)","118,446","(+/-6,021)","103,885","(+/-6,618)","94,545","(+/-6,985)","140,899","(+/-7,861)","132,248","(+/-7,214)","112,804","(+/-6,130)"
People,"Sex and Age","35 to 44 years","95,545","(+/-2,786)","92,567","(+/-3,029)","104,380","(+/-3,222)","97,933","(+/-4,208)","100,464","(+/-4,994)","112,629","(+/-5,047)","105,227","(+/-4,953)","108,168","(+/-3,584)","105,770","(+/-1,905)","109,921","(+/-3,955)","117,207","(+/-2,533)","114,369","(+/-4,663)","103,260","(+/-3,888)","111,751","(+/-4,830)","107,628","(+/-3,542)","99,077","(+/-5,262)","116,681","(+/-5,246)","97,549","(+/-4,194)","99,152","(+/-5,787)","106,497","(+/-5,785)","104,360","(+/-4,790)","102,439","(+/-3,868)","103,318","(+/-5,117)","86,259","(+/-2,847)","105,492","(+/-5,777)","98,423","(+/-3,115)","99,744","(+/-5,477)","96,320","(+/-5,426)","106,250","(+/-6,010)","113,186","(+/-5,927)","98,268","(+/-5,283)","115,578","(+/-7,633)","104,828","(+/-5,355)","116,615","(+/-6,181)","109,113","(+/-6,316)","99,952","(+/-5,796)","108,972","(+/-6,071)","90,864","(+/-5,336)","104,937","(+/-5,590)","95,558","(+/-5,061)","100,293","(+/-6,754)","101,004","(+/-5,670)","102,043","(+/-5,364)","95,685","(+/-5,556)","95,884","(+/-5,162)","102,383","(+/-5,840)","99,649","(+/-5,710)","108,607","(+/-6,694)","97,394","(+/-6,147)","112,532","(+/-6,434)","105,256","(+/-4,982)","108,407","(+/-5,477)"
