Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","720,042","(+/-1,959)","726,112","(+/-6,687)","731,516","(+/-3,874)","748,891","(+/-10,079)","732,858","(+/-1,737)","718,693","(+/-6,524)","724,362","(+/-5,267)","737,452","(+/-7,823)"
People,"Sex and Age",Male,"363,774","(+/-1,352)","365,134","(+/-4,587)","367,458","(+/-3,165)","385,837","(+/-6,932)","375,127","(+/-1,085)","360,426","(+/-3,857)","370,733","(+/-3,512)","372,407","(+/-5,341)"
People,"Sex and Age",Female,"356,268","(+/-1,675)","360,978","(+/-4,452)","364,058","(+/-3,227)","363,054","(+/-5,445)","357,731","(+/-1,090)","358,267","(+/-3,915)","353,629","(+/-3,564)","365,045","(+/-4,314)"
People,"Sex and Age","Under 5 years","38,678",(+/-349),"29,102","(+/-1,702)","34,319","(+/-1,176)","42,017","(+/-2,168)","44,547",(+/-447),"40,301","(+/-2,007)","30,812","(+/-1,205)","45,287","(+/-2,215)"
People,"Sex and Age","5 to 9 years","33,544","(+/-2,704)","33,307","(+/-2,755)","40,243","(+/-2,574)","47,967","(+/-3,641)","42,742","(+/-2,374)","43,097","(+/-3,121)","36,012","(+/-2,438)","47,560","(+/-3,016)"
People,"Sex and Age","10 to 14 years","35,991","(+/-2,684)","38,682","(+/-2,725)","45,567","(+/-2,663)","51,856","(+/-3,080)","51,234","(+/-2,397)","46,066","(+/-2,892)","38,357","(+/-2,298)","53,125","(+/-3,627)"
People,"Sex and Age","15 to 19 years","34,487",(+/-824),"56,660","(+/-2,390)","47,194","(+/-2,465)","46,738","(+/-2,811)","47,549",(+/-872),"46,442","(+/-2,652)","38,336","(+/-1,928)","52,408","(+/-2,286)"
People,"Sex and Age","20 to 24 years","46,773","(+/-1,107)","72,577","(+/-3,475)","40,834","(+/-2,966)","42,708","(+/-3,069)","60,205","(+/-1,123)","44,745","(+/-2,426)","37,706","(+/-1,975)","50,147","(+/-2,471)"
People,"Sex and Age","25 to 34 years","169,810","(+/-1,128)","102,200","(+/-3,807)","90,112","(+/-3,375)","101,002","(+/-4,037)","119,214",(+/-824),"108,485","(+/-2,918)","109,587","(+/-2,357)","115,532","(+/-3,603)"
People,"Sex and Age","35 to 44 years","120,844",(+/-830),"101,481","(+/-3,792)","99,843","(+/-2,932)","105,772","(+/-3,249)","101,205","(+/-1,407)","108,595","(+/-2,649)","108,077","(+/-2,630)","114,538","(+/-3,243)"
People,"Sex and Age","45 to 54 years","83,767",(+/-558),"86,424","(+/-3,363)","81,254","(+/-2,740)","100,069","(+/-3,247)","82,182","(+/-1,374)","93,910","(+/-2,391)","89,108","(+/-2,456)","87,980","(+/-2,825)"
People,"Sex and Age","55 to 59 years","35,693","(+/-2,893)","39,960","(+/-2,511)","45,166","(+/-2,938)","44,398","(+/-3,304)","41,714","(+/-2,963)","37,029","(+/-2,484)","45,978","(+/-3,419)","37,976","(+/-3,195)"
People,"Sex and Age","60 to 64 years","31,686","(+/-2,666)","43,800","(+/-2,765)","53,847","(+/-3,207)","50,894","(+/-3,560)","39,965","(+/-2,731)","43,023","(+/-2,385)","53,037","(+/-2,955)","43,186","(+/-3,143)"
People,"Sex and Age","65 to 74 years","53,623",(+/-575),"78,039","(+/-2,404)","93,211","(+/-1,615)","70,282","(+/-2,684)","61,067",(+/-994),"66,767","(+/-1,892)","84,948","(+/-2,337)","54,415","(+/-2,061)"
People,"Sex and Age","75 to 84 years","25,459","(+/-1,475)","34,260","(+/-2,123)","45,657","(+/-1,971)","35,483","(+/-1,701)","31,729","(+/-1,556)","30,098","(+/-1,667)","37,756","(+/-2,337)","28,181","(+/-1,634)"
People,"Sex and Age","85 years and over","9,687","(+/-1,458)","9,620","(+/-1,283)","14,269","(+/-1,614)","9,705","(+/-1,106)","9,505","(+/-1,518)","10,135","(+/-1,529)","14,648","(+/-1,657)","7,117","(+/-1,087)"
People,"Sex and Age","Median age (years)",35.0,(+/-0.2),37.7,(+/-0.4),41.8,(+/-0.3),39.1,(+/-0.5),35.1,(+/-0.1),37.8,(+/-0.4),41.7,(+/-0.4),35.4,(+/-0.4)
People,"Sex and Age","18 years and over","591,326","(+/-1,666)","598,431","(+/-5,181)","584,169","(+/-3,167)","576,810","(+/-7,485)","565,243","(+/-1,471)","559,351","(+/-5,358)","594,556","(+/-4,152)","558,945","(+/-5,528)"
People,"Sex and Age","65 years and over","88,769",(+/-465),"121,919","(+/-3,005)","153,137","(+/-1,762)","115,470","(+/-3,340)","102,301",(+/-557),"107,000","(+/-2,251)","137,352","(+/-2,681)","89,713","(+/-2,306)"
People,Race,"Total population","720,042","(+/-1,959)","726,112","(+/-6,687)","731,516","(+/-3,874)","748,891","(+/-10,079)","732,858","(+/-1,737)","718,693","(+/-6,524)","724,362","(+/-5,267)","737,452","(+/-7,823)"
People,Race,"One race","598,708","(+/-9,493)","631,226","(+/-9,417)","620,862","(+/-8,438)","663,480","(+/-10,035)","626,576","(+/-8,887)","610,209","(+/-10,882)","637,950","(+/-7,950)","596,501","(+/-10,742)"
People,Race,White,"431,271","(+/-6,906)","572,839","(+/-8,143)","543,880","(+/-6,394)","590,328","(+/-10,404)","514,430","(+/-6,900)","428,323","(+/-8,596)","575,042","(+/-7,413)","450,594","(+/-10,773)"
People,Race,"Black or African American","63,694","(+/-4,031)","5,567","(+/-1,084)","7,593","(+/-1,465)","11,371","(+/-1,965)","43,107","(+/-3,856)","75,915","(+/-4,651)","10,882","(+/-1,883)","17,390","(+/-3,418)"
People,Race,"American Indian and Alaska Native","8,093","(+/-2,139)","4,038","(+/-1,911)","14,638","(+/-2,245)","3,856","(+/-1,054)","9,954","(+/-3,710)","9,125","(+/-2,544)","5,730","(+/-1,626)","15,917","(+/-8,394)"
People,Race,Asian,"27,407","(+/-1,912)","22,024","(+/-2,536)","5,961","(+/-1,215)","29,840","(+/-2,797)","21,528","(+/-1,968)","36,976","(+/-3,239)","22,780","(+/-1,942)","23,665","(+/-2,359)"
People,Race,"Native Hawaiian and Other Pacific Islander",553,(+/-356),"1,131",(+/-747),351,(+/-327),546,(+/-400),"2,152",(+/-776),"1,414",(+/-678),454,(+/-310),315,(+/-243)
People,Race,"Some other race","67,690","(+/-9,129)","25,627","(+/-5,017)","48,439","(+/-5,797)","27,539","(+/-3,701)","35,405","(+/-5,567)","58,456","(+/-7,508)","23,062","(+/-4,146)","88,620","(+/-9,812)"
People,Race,"Two or more races","121,334","(+/-9,434)","94,886","(+/-6,656)","110,654","(+/-7,701)","85,411","(+/-5,677)","106,282","(+/-8,950)","108,484","(+/-8,660)","86,412","(+/-6,146)","140,951","(+/-10,932)"
