Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","1,018,396",(*****)
People,"Sex and Age",Male,"494,657","(+/-1,092)"
People,"Sex and Age",Female,"523,739","(+/-1,092)"
People,"Sex and Age","Under 5 years","54,058",(+/-409)
People,"Sex and Age","5 to 9 years","57,518","(+/-2,883)"
People,"Sex and Age","10 to 14 years","59,905","(+/-2,872)"
People,"Sex and Age","15 to 19 years","62,893","(+/-1,247)"
People,"Sex and Age","20 to 24 years","59,981","(+/-1,195)"
People,"Sex and Age","25 to 34 years","130,563","(+/-1,408)"
People,"Sex and Age","35 to 44 years","125,307","(+/-1,673)"
People,"Sex and Age","45 to 54 years","112,870","(+/-1,354)"
People,"Sex and Age","55 to 59 years","65,121","(+/-3,332)"
People,"Sex and Age","60 to 64 years","78,000","(+/-3,361)"
People,"Sex and Age","65 to 74 years","126,996",(+/-878)
People,"Sex and Age","75 to 84 years","66,312","(+/-2,204)"
People,"Sex and Age","85 years and over","18,872","(+/-1,938)"
People,"Sex and Age","Median age (years)",41.5,(+/-0.3)
People,"Sex and Age","18 years and over","810,169",(+/-28)
People,"Sex and Age","65 years and over","212,180",(+/-645)
People,Race,"Total population","1,018,396",(*****)
People,Race,"One race","920,496","(+/-6,031)"
People,Race,White,"610,378","(+/-4,037)"
People,Race,"Black or African American","224,761","(+/-4,691)"
People,Race,"American Indian and Alaska Native","3,670","(+/-1,380)"
People,Race,Asian,"41,501","(+/-1,735)"
People,Race,"Native Hawaiian and Other Pacific Islander",86,(+/-140)
People,Race,"Some other race","40,100","(+/-5,080)"
People,Race,"Two or more races","97,900","(+/-6,031)"
People,"Hispanic or Latino and Race","Total population","1,018,396",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","105,300",(*****)
People,"Hispanic or Latino and Race",Mexican,"36,351","(+/-4,319)"
People,"Hispanic or Latino and Race","Puerto Rican","28,401","(+/-3,754)"
People,"Hispanic or Latino and Race",Cuban,"2,753","(+/-1,114)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","37,795","(+/-4,225)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","913,096",(*****)
People,"Place of Birth","Total population","1,018,396",(*****)
People,"Place of Birth",Native,"917,286","(+/-6,159)"
People,"Place of Birth","Born in United States","899,184","(+/-6,374)"
People,"Place of Birth","State of residence","432,996","(+/-10,466)"
People,"Place of Birth","Different state","466,188","(+/-11,497)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","18,102","(+/-2,726)"
People,"Place of Birth","Foreign born","101,110","(+/-6,159)"
People,Ancestry,"Total population","1,018,396",(*****)
People,Ancestry,American,"50,094","(+/-7,273)"
People,Ancestry,Arab,"3,677","(+/-1,558)"
People,Ancestry,Czech,"1,922",(+/-868)
People,Ancestry,Danish,"1,070",(+/-435)
People,Ancestry,Dutch,"7,790","(+/-2,393)"
People,Ancestry,English,"109,739","(+/-6,676)"
People,Ancestry,"French (except Basque)","12,102","(+/-2,267)"
People,Ancestry,"French Canadian","3,225","(+/-1,055)"
People,Ancestry,German,"124,065","(+/-9,356)"
People,Ancestry,Greek,"4,504","(+/-1,413)"
People,Ancestry,Hungarian,"4,496","(+/-1,195)"
People,Ancestry,Irish,"148,303","(+/-7,757)"
People,Ancestry,Italian,"86,132","(+/-7,057)"
People,Ancestry,Lithuanian,"3,247","(+/-1,221)"
People,Ancestry,Norwegian,"3,789",(+/-931)
People,Ancestry,Polish,"37,845","(+/-3,990)"
People,Ancestry,Portuguese,"1,316",(+/-551)
People,Ancestry,Russian,"7,056","(+/-1,449)"
People,Ancestry,Scotch-Irish,"5,200","(+/-1,247)"
People,Ancestry,Scottish,"13,881","(+/-2,525)"
People,Ancestry,Slovak,"3,222","(+/-1,591)"
People,Ancestry,"Subsaharan African","18,656","(+/-4,103)"
People,Ancestry,Swedish,"5,012","(+/-1,095)"
People,Ancestry,Swiss,"2,016",(+/-852)
People,Ancestry,Ukrainian,"4,638","(+/-1,322)"
People,Ancestry,Welsh,"7,451","(+/-1,406)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","11,725","(+/-3,303)"
People,"Veteran Status","Civilian population 18 years and over","807,026",(+/-961)
People,"Veteran Status","Civilian veterans","58,729","(+/-3,144)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","1,005,551",(+/-962)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","139,134","(+/-7,738)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","208,071",(+/-26)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,979","(+/-2,065)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","589,150","(+/-1,203)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","66,104","(+/-5,266)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","208,330",(+/-690)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","63,051","(+/-3,695)"
People,"Residence 1 Year Ago","Population 1 year and over","1,008,173","(+/-1,919)"
People,"Residence 1 Year Ago","Same house","899,454","(+/-8,649)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","108,719","(+/-8,260)"
People,"Residence 1 Year Ago","Different house in the U.S.","104,125","(+/-8,181)"
People,"Residence 1 Year Ago","Same county","50,593","(+/-6,020)"
People,"Residence 1 Year Ago","Different county","53,532","(+/-4,991)"
People,"Residence 1 Year Ago","Same state","7,370","(+/-1,874)"
People,"Residence 1 Year Ago","Different state","46,162","(+/-5,074)"
People,"Residence 1 Year Ago",Abroad,"4,594","(+/-1,688)"
Workers,"Employment Status","Population 16 years and over","835,365","(+/-1,817)"
Workers,"Employment Status","In labor force","524,136","(+/-6,792)"
Workers,"Employment Status","Civilian labor force","520,993","(+/-6,939)"
Workers,"Employment Status",Employed,"498,721","(+/-7,598)"
