Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Sex and Age","Total population","789,347","(+/-4,092)","792,422","(+/-4,329)","794,723","(+/-9,231)","801,792","(+/-16,022)","801,685","(+/-16,985)","812,621","(+/-16,345)","788,222","(+/-7,535)","801,682","(+/-2,068)","821,662","(+/-19,029)","766,928","(+/-20,897)","822,462","(+/-17,755)","806,076","(+/-9,606)","763,693","(+/-6,100)","782,155","(+/-17,877)","817,831","(+/-21,314)","824,961","(+/-16,011)","839,779","(+/-9,671)","833,693","(+/-12,709)","802,244","(+/-12,054)","768,934","(+/-16,999)","807,943","(+/-10,348)","783,947","(+/-14,821)","768,707","(+/-15,272)","791,673","(+/-18,650)","767,802","(+/-11,806)","796,673","(+/-15,683)","754,619","(+/-18,976)","740,547","(+/-18,599)"
People,"Sex and Age",Male,"398,741","(+/-3,087)","397,298","(+/-2,951)","396,772","(+/-6,260)","388,527","(+/-8,276)","393,729","(+/-9,008)","396,914","(+/-9,276)","387,322","(+/-4,283)","395,123","(+/-1,720)","410,572","(+/-11,138)","375,658","(+/-11,708)","402,406","(+/-10,578)","398,154","(+/-5,777)","368,629","(+/-4,459)","387,429","(+/-10,521)","406,404","(+/-12,487)","396,768","(+/-9,249)","407,510","(+/-5,045)","418,566","(+/-7,123)","392,711","(+/-6,989)","374,260","(+/-11,812)","401,592","(+/-6,394)","382,097","(+/-9,680)","374,586","(+/-9,406)","391,540","(+/-10,475)","380,624","(+/-9,158)","390,949","(+/-9,019)","370,731","(+/-10,628)","367,856","(+/-10,443)"
People,"Sex and Age",Female,"390,606","(+/-3,031)","395,124","(+/-3,492)","397,951","(+/-5,078)","413,265","(+/-10,321)","407,956","(+/-10,534)","415,707","(+/-10,095)","400,900","(+/-5,498)","406,559","(+/-1,918)","411,090","(+/-10,208)","391,270","(+/-11,800)","420,056","(+/-9,974)","407,922","(+/-5,637)","395,064","(+/-4,341)","394,726","(+/-10,861)","411,427","(+/-11,691)","428,193","(+/-8,763)","432,269","(+/-6,413)","415,127","(+/-7,492)","409,533","(+/-6,955)","394,674","(+/-10,681)","406,351","(+/-6,350)","401,850","(+/-7,672)","394,121","(+/-9,259)","400,133","(+/-11,520)","387,178","(+/-8,236)","405,724","(+/-10,241)","383,888","(+/-11,105)","372,691","(+/-11,324)"
People,"Sex and Age","Under 5 years","44,750","(+/-1,496)","40,031","(+/-1,601)","37,991","(+/-2,379)","50,168","(+/-3,315)","41,725","(+/-3,291)","35,965","(+/-3,432)","35,929","(+/-1,954)","32,177",(+/-706),"46,771","(+/-3,741)","41,284","(+/-3,743)","39,505","(+/-4,279)","36,350","(+/-2,144)","27,824","(+/-2,188)","42,623","(+/-4,060)","39,778","(+/-4,144)","42,824","(+/-3,624)","29,721","(+/-2,366)","45,548","(+/-2,347)","30,635","(+/-2,174)","47,867","(+/-4,116)","36,475","(+/-2,633)","36,830","(+/-3,575)","39,959","(+/-3,997)","46,073","(+/-5,118)","35,235","(+/-3,630)","40,486","(+/-3,380)","38,491","(+/-3,422)","38,335","(+/-4,327)"
People,"Sex and Age","5 to 9 years","47,441","(+/-3,025)","41,382","(+/-3,230)","41,134","(+/-3,416)","51,697","(+/-4,296)","45,071","(+/-4,910)","38,837","(+/-3,702)","39,492","(+/-3,594)","36,636","(+/-2,998)","44,065","(+/-3,965)","42,208","(+/-4,251)","47,546","(+/-4,610)","42,856","(+/-3,807)","32,670","(+/-3,386)","41,237","(+/-3,870)","48,539","(+/-5,506)","44,360","(+/-4,490)","34,445","(+/-3,497)","48,057","(+/-4,053)","31,733","(+/-3,382)","45,113","(+/-4,922)","39,633","(+/-3,870)","37,615","(+/-3,968)","43,630","(+/-4,863)","43,672","(+/-4,135)","41,023","(+/-4,058)","43,982","(+/-4,003)","33,125","(+/-4,061)","35,783","(+/-4,140)"
People,"Sex and Age","10 to 14 years","47,542","(+/-3,245)","45,030","(+/-3,198)","47,116","(+/-3,157)","55,905","(+/-4,422)","49,459","(+/-4,155)","40,209","(+/-3,867)","47,385","(+/-3,274)","43,536","(+/-3,250)","56,824","(+/-5,698)","37,118","(+/-4,557)","49,039","(+/-5,258)","43,385","(+/-3,645)","33,754","(+/-2,586)","36,907","(+/-4,290)","53,169","(+/-4,594)","50,716","(+/-4,562)","37,508","(+/-2,796)","54,125","(+/-4,290)","33,112","(+/-2,861)","48,223","(+/-4,408)","42,425","(+/-3,164)","38,357","(+/-4,308)","43,893","(+/-5,131)","50,259","(+/-4,104)","45,193","(+/-3,512)","45,786","(+/-4,340)","34,912","(+/-3,955)","49,310","(+/-4,714)"
People,"Sex and Age","15 to 19 years","46,859","(+/-1,844)","55,392","(+/-2,395)","55,630","(+/-3,045)","49,513","(+/-3,408)","47,041","(+/-3,467)","42,154","(+/-3,564)","42,033","(+/-2,317)","40,544","(+/-2,069)","50,028","(+/-3,012)","58,384","(+/-3,608)","43,195","(+/-3,845)","43,598","(+/-2,789)","33,505","(+/-2,436)","42,719","(+/-3,581)","56,349","(+/-3,703)","43,798","(+/-2,867)","38,715","(+/-2,738)","56,280","(+/-3,660)","34,709","(+/-2,805)","41,774","(+/-3,554)","45,886","(+/-3,548)","41,012","(+/-2,964)","42,418","(+/-4,418)","43,442","(+/-3,546)","48,075","(+/-3,497)","46,204","(+/-3,819)","42,828","(+/-3,442)","43,313","(+/-3,388)"
People,"Sex and Age","20 to 24 years","54,546","(+/-2,057)","75,169","(+/-2,639)","68,400","(+/-2,712)","47,424","(+/-3,797)","49,663","(+/-3,781)","44,242","(+/-4,771)","45,712","(+/-2,719)","41,648","(+/-1,798)","52,044","(+/-3,354)","70,934","(+/-4,525)","37,339","(+/-3,569)","38,621","(+/-2,448)","37,239","(+/-2,553)","48,624","(+/-4,794)","57,337","(+/-5,058)","41,451","(+/-3,440)","39,148","(+/-2,961)","52,844","(+/-2,996)","37,295","(+/-2,513)","42,959","(+/-4,592)","38,100","(+/-2,959)","42,571","(+/-3,359)","37,772","(+/-4,164)","49,139","(+/-4,300)","51,487","(+/-4,179)","46,775","(+/-3,711)","42,302","(+/-4,005)","49,701","(+/-4,051)"
People,"Sex and Age","25 to 34 years","111,186","(+/-2,393)","101,182","(+/-2,983)","96,444","(+/-2,998)","108,332","(+/-5,331)","117,579","(+/-5,571)","83,227","(+/-5,388)","105,062","(+/-3,361)","84,054","(+/-2,021)","118,220","(+/-7,078)","135,138","(+/-6,307)","92,162","(+/-5,737)","86,781","(+/-3,440)","81,480","(+/-3,063)","128,010","(+/-7,136)","107,851","(+/-6,827)","103,004","(+/-6,362)","71,828","(+/-3,418)","104,777","(+/-4,788)","75,035","(+/-3,330)","102,855","(+/-6,780)","86,411","(+/-3,713)","86,738","(+/-4,803)","99,212","(+/-6,635)","109,477","(+/-6,191)","91,550","(+/-5,427)","96,334","(+/-5,257)","110,513","(+/-5,803)","89,319","(+/-6,472)"
People,"Sex and Age","35 to 44 years","102,422","(+/-2,009)","99,535","(+/-2,742)","90,982","(+/-3,431)","104,104","(+/-5,120)","112,105","(+/-5,201)","87,373","(+/-4,973)","106,500","(+/-3,029)","90,840","(+/-1,612)","130,603","(+/-6,188)","104,772","(+/-5,916)","103,630","(+/-6,952)","94,148","(+/-3,065)","79,714","(+/-2,828)","113,767","(+/-5,925)","112,768","(+/-5,841)","100,410","(+/-4,678)","78,408","(+/-3,642)","105,100","(+/-4,553)","76,460","(+/-3,599)","111,897","(+/-6,579)","85,233","(+/-3,329)","93,261","(+/-5,722)","95,134","(+/-6,331)","113,630","(+/-7,078)","104,553","(+/-5,361)","104,897","(+/-4,873)","98,424","(+/-6,517)","98,829","(+/-6,274)"
