Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","790,309","(+/-2,899)","755,007","(+/-10,329)","785,113","(+/-8,404)","781,395","(+/-12,669)","759,771","(+/-13,556)","790,519","(+/-11,803)","776,248","(+/-13,688)","769,408","(+/-8,949)","794,277","(+/-14,567)","806,637","(+/-10,485)","786,646","(+/-11,951)","770,831","(+/-3,344)","767,394","(+/-17,403)","779,321","(+/-8,311)"
People,"Sex and Age",Male,"384,858","(+/-3,402)","366,796","(+/-5,819)","383,690","(+/-6,071)","370,878","(+/-7,692)","369,287","(+/-9,108)","391,916","(+/-7,445)","378,838","(+/-8,098)","377,450","(+/-5,420)","393,208","(+/-8,147)","394,561","(+/-6,894)","382,180","(+/-7,120)","380,869","(+/-2,747)","360,181","(+/-9,948)","389,239","(+/-5,756)"
People,"Sex and Age",Female,"405,451","(+/-3,753)","388,211","(+/-7,270)","401,423","(+/-5,524)","410,517","(+/-6,819)","390,484","(+/-9,192)","398,603","(+/-8,036)","397,410","(+/-7,509)","391,958","(+/-6,173)","401,069","(+/-8,275)","412,076","(+/-6,595)","404,466","(+/-7,066)","389,962","(+/-2,986)","407,213","(+/-10,939)","390,082","(+/-6,016)"
People,"Sex and Age","Under 5 years","47,545","(+/-1,628)","42,636","(+/-3,305)","40,721","(+/-2,728)","48,654","(+/-2,306)","40,695","(+/-3,887)","41,595","(+/-3,144)","45,037","(+/-2,817)","45,698","(+/-2,685)","43,456","(+/-2,894)","45,064","(+/-2,106)","41,654","(+/-2,924)","46,715","(+/-2,230)","47,755","(+/-4,584)","43,901","(+/-2,259)"
People,"Sex and Age","5 to 9 years","50,628","(+/-3,930)","53,134","(+/-3,946)","47,889","(+/-3,288)","43,493","(+/-3,448)","40,106","(+/-4,069)","50,699","(+/-3,670)","51,653","(+/-4,102)","50,210","(+/-3,944)","49,881","(+/-3,956)","44,411","(+/-3,769)","46,058","(+/-3,646)","51,239","(+/-3,766)","53,896","(+/-5,474)","49,918","(+/-2,731)"
People,"Sex and Age","10 to 14 years","51,099","(+/-4,113)","52,591","(+/-4,648)","54,586","(+/-3,310)","56,360","(+/-4,123)","41,355","(+/-4,615)","56,648","(+/-3,632)","64,168","(+/-4,481)","51,687","(+/-3,485)","48,029","(+/-3,674)","56,752","(+/-4,128)","49,971","(+/-3,374)","48,732","(+/-3,480)","54,124","(+/-5,373)","54,941","(+/-3,464)"
People,"Sex and Age","15 to 19 years","54,851","(+/-3,647)","48,877","(+/-3,046)","58,412","(+/-3,590)","49,242","(+/-3,072)","44,737","(+/-3,667)","59,453","(+/-4,003)","60,354","(+/-3,166)","56,597","(+/-3,604)","56,339","(+/-3,466)","59,362","(+/-3,203)","52,940","(+/-2,669)","54,937","(+/-2,993)","54,594","(+/-4,666)","52,254","(+/-2,682)"
People,"Sex and Age","20 to 24 years","58,345","(+/-3,228)","51,631","(+/-3,185)","53,878","(+/-3,122)","53,826","(+/-2,788)","63,610","(+/-3,899)","39,497","(+/-3,740)","50,440","(+/-3,207)","59,907","(+/-4,676)","56,861","(+/-3,427)","66,837","(+/-4,214)","53,706","(+/-3,188)","59,396","(+/-3,844)","52,460","(+/-4,710)","51,169","(+/-3,855)"
People,"Sex and Age","25 to 34 years","109,123","(+/-3,941)","100,819","(+/-4,189)","92,355","(+/-4,382)","118,582","(+/-3,942)","152,493","(+/-6,562)","86,267","(+/-4,506)","103,921","(+/-3,105)","101,082","(+/-5,103)","88,434","(+/-4,102)","101,618","(+/-4,721)","120,657","(+/-4,965)","102,751","(+/-5,082)","106,536","(+/-6,367)","99,359","(+/-3,446)"
People,"Sex and Age","35 to 44 years","105,264","(+/-3,804)","97,353","(+/-4,036)","98,483","(+/-4,389)","110,196","(+/-3,594)","109,557","(+/-5,114)","116,458","(+/-4,698)","105,425","(+/-4,071)","93,132","(+/-4,213)","100,178","(+/-4,328)","112,753","(+/-4,356)","110,017","(+/-4,549)","100,967","(+/-3,086)","105,842","(+/-6,087)","103,425","(+/-4,288)"
