Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","717,738","(+/-9,345)","722,458","(+/-9,345)"
People,"Sex and Age",Male,"360,690","(+/-5,830)","364,619","(+/-6,300)"
People,"Sex and Age",Female,"357,048","(+/-4,517)","357,839","(+/-4,805)"
People,"Sex and Age","Under 5 years","34,543","(+/-2,314)","44,384","(+/-2,413)"
People,"Sex and Age","5 to 9 years","38,646","(+/-2,460)","43,587","(+/-2,314)"
People,"Sex and Age","10 to 14 years","41,728","(+/-2,799)","46,544","(+/-2,843)"
People,"Sex and Age","15 to 19 years","37,296","(+/-1,977)","40,278","(+/-2,606)"
People,"Sex and Age","20 to 24 years","45,748","(+/-2,192)","43,599","(+/-2,986)"
People,"Sex and Age","25 to 34 years","102,651","(+/-2,959)","87,440","(+/-3,652)"
People,"Sex and Age","35 to 44 years","96,213","(+/-3,183)","95,918","(+/-3,409)"
People,"Sex and Age","45 to 54 years","87,768","(+/-2,385)","82,376","(+/-2,907)"
People,"Sex and Age","55 to 59 years","42,186","(+/-2,652)","43,044","(+/-2,994)"
People,"Sex and Age","60 to 64 years","43,762","(+/-2,763)","47,831","(+/-3,033)"
People,"Sex and Age","65 to 74 years","75,376","(+/-1,856)","87,665","(+/-2,027)"
People,"Sex and Age","75 to 84 years","48,920","(+/-2,369)","45,591","(+/-2,299)"
People,"Sex and Age","85 years and over","22,901","(+/-1,884)","14,201","(+/-1,529)"
People,"Sex and Age","Median age (years)",40.9,(+/-0.5),40.7,(+/-0.6)
People,"Sex and Age","18 years and over","580,852","(+/-6,835)","562,478","(+/-6,820)"
People,"Sex and Age","65 years and over","147,197","(+/-2,463)","147,457","(+/-2,459)"
People,Race,"Total population","717,738","(+/-9,345)","722,458","(+/-9,345)"
People,Race,"One race","546,642","(+/-11,075)","480,732","(+/-12,233)"
People,Race,White,"115,640","(+/-4,291)","203,478","(+/-4,711)"
People,Race,"Black or African American","14,934","(+/-1,798)","11,076","(+/-1,884)"
People,Race,"American Indian and Alaska Native","1,819",(+/-841),"2,281",(+/-856)
People,Race,Asian,"345,582","(+/-7,424)","161,171","(+/-8,696)"
People,Race,"Native Hawaiian and Other Pacific Islander","55,895","(+/-5,752)","87,549","(+/-7,223)"
People,Race,"Some other race","12,772","(+/-3,138)","15,177","(+/-2,924)"
People,Race,"Two or more races","171,096","(+/-9,362)","241,726","(+/-11,598)"
People,"Hispanic or Latino and Race","Total population","717,738","(+/-9,345)","722,458","(+/-9,345)"
