Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","Total population","728,550","(+/-17,294)","730,809","(+/-14,818)","708,538","(+/-18,852)","718,854","(+/-18,279)","732,819","(+/-20,964)","737,763","(+/-12,878)","758,917","(+/-22,153)","749,823","(+/-10,056)","730,979","(+/-16,925)","744,016","(+/-7,627)","766,225","(+/-12,693)","748,293","(+/-4,879)","739,838","(+/-10,747)","756,472","(+/-8,592)","746,507","(+/-10,345)","745,274","(+/-10,830)","738,355","(+/-9,136)"
People,"Sex and Age",Male,"346,545","(+/-10,367)","348,863","(+/-9,248)","359,668","(+/-12,077)","361,020","(+/-12,186)","358,804","(+/-10,912)","361,918","(+/-9,013)","358,906","(+/-13,577)","376,269","(+/-7,319)","366,798","(+/-10,912)","374,906","(+/-4,930)","379,659","(+/-8,484)","376,931","(+/-3,382)","364,116","(+/-6,509)","382,949","(+/-5,969)","370,993","(+/-6,101)","372,941","(+/-6,559)","367,749","(+/-5,641)"
People,"Sex and Age",Female,"382,005","(+/-10,604)","381,946","(+/-9,821)","348,870","(+/-10,012)","357,834","(+/-10,067)","374,015","(+/-13,553)","375,845","(+/-8,225)","400,011","(+/-12,333)","373,554","(+/-8,099)","364,181","(+/-9,804)","369,110","(+/-4,815)","386,566","(+/-7,674)","371,362","(+/-4,000)","375,722","(+/-6,427)","373,523","(+/-5,688)","375,514","(+/-6,091)","372,333","(+/-6,154)","370,606","(+/-5,288)"
People,"Sex and Age","Under 5 years","39,769","(+/-4,264)","39,651","(+/-4,181)","40,304","(+/-4,903)","37,250","(+/-4,000)","41,916","(+/-4,065)","40,870","(+/-4,215)","46,773","(+/-4,909)","37,043","(+/-3,112)","32,539","(+/-3,602)","39,259","(+/-1,945)","42,343","(+/-2,885)","38,819","(+/-1,602)","42,031","(+/-2,500)","40,671","(+/-2,427)","36,636","(+/-2,152)","37,825","(+/-2,205)","40,512","(+/-2,277)"
People,"Sex and Age","5 to 9 years","44,663","(+/-4,962)","43,152","(+/-4,171)","36,982","(+/-4,221)","45,742","(+/-4,561)","35,461","(+/-3,944)","44,716","(+/-3,840)","40,349","(+/-5,933)","45,330","(+/-4,215)","38,557","(+/-3,580)","47,709","(+/-3,130)","46,530","(+/-3,541)","44,680","(+/-2,709)","38,037","(+/-2,877)","49,652","(+/-3,084)","44,330","(+/-2,906)","45,537","(+/-3,667)","43,915","(+/-3,225)"
People,"Sex and Age","10 to 14 years","45,544","(+/-4,608)","56,007","(+/-4,629)","43,683","(+/-4,643)","48,816","(+/-4,321)","36,308","(+/-3,644)","43,696","(+/-3,919)","46,081","(+/-5,252)","51,304","(+/-4,571)","40,943","(+/-4,152)","49,240","(+/-3,288)","53,242","(+/-3,715)","48,422","(+/-2,373)","44,399","(+/-3,627)","54,409","(+/-3,395)","47,632","(+/-2,916)","53,772","(+/-3,064)","44,650","(+/-3,391)"
People,"Sex and Age","15 to 19 years","49,445","(+/-4,440)","48,617","(+/-3,736)","47,972","(+/-4,217)","53,328","(+/-4,468)","31,971","(+/-3,712)","45,183","(+/-4,659)","44,011","(+/-5,461)","46,346","(+/-3,313)","45,803","(+/-4,338)","54,750","(+/-2,194)","54,796","(+/-3,798)","47,803","(+/-2,177)","50,048","(+/-3,297)","58,162","(+/-3,770)","48,548","(+/-2,893)","44,094","(+/-2,618)","49,633","(+/-2,595)"
People,"Sex and Age","20 to 24 years","47,019","(+/-4,695)","48,552","(+/-4,142)","47,322","(+/-4,567)","55,522","(+/-4,433)","49,325","(+/-4,549)","35,689","(+/-4,433)","50,967","(+/-5,169)","47,978","(+/-4,884)","43,740","(+/-4,766)","49,781","(+/-2,734)","48,696","(+/-3,891)","45,003","(+/-2,288)","72,343","(+/-3,240)","59,030","(+/-3,816)","43,943","(+/-2,278)","43,543","(+/-2,974)","62,529","(+/-3,173)"
People,"Sex and Age","25 to 34 years","90,444","(+/-6,104)","91,506","(+/-6,846)","112,350","(+/-5,575)","98,133","(+/-6,213)","138,863","(+/-7,232)","95,117","(+/-5,596)","162,374","(+/-10,506)","93,160","(+/-6,072)","94,412","(+/-6,700)","84,222","(+/-3,888)","87,743","(+/-5,404)","84,609","(+/-2,437)","101,619","(+/-3,549)","99,747","(+/-4,734)","80,626","(+/-3,193)","80,105","(+/-3,001)","94,788","(+/-4,023)"
People,"Sex and Age","35 to 44 years","89,312","(+/-6,201)","84,784","(+/-5,742)","104,969","(+/-5,937)","93,017","(+/-6,202)","110,678","(+/-7,552)","100,741","(+/-6,126)","110,630","(+/-7,251)","107,300","(+/-5,074)","104,506","(+/-6,573)","94,916","(+/-3,185)","106,536","(+/-4,895)","96,062","(+/-2,213)","88,986","(+/-3,864)","101,169","(+/-3,970)","96,266","(+/-3,910)","97,252","(+/-3,090)","86,144","(+/-3,284)"
