Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","798,442","(+/-1,976)","793,421","(+/-1,598)","814,070","(+/-2,534)","794,584","(+/-2,459)"
People,"Sex and Age",Male,"400,142","(+/-3,038)","397,087","(+/-1,819)","406,518","(+/-2,160)","403,912","(+/-2,626)"
People,"Sex and Age",Female,"398,300","(+/-2,628)","396,334","(+/-1,885)","407,552","(+/-2,513)","390,672","(+/-2,571)"
People,"Sex and Age","Under 5 years","43,066","(+/-1,307)","43,755",(+/-775),"49,444","(+/-1,013)","43,745","(+/-1,504)"
People,"Sex and Age","5 to 9 years","49,548","(+/-2,716)","48,614","(+/-2,717)","55,361","(+/-2,875)","47,197","(+/-2,908)"
People,"Sex and Age","10 to 14 years","49,699","(+/-2,508)","51,310","(+/-2,519)","55,072","(+/-2,933)","51,345","(+/-2,767)"
People,"Sex and Age","15 to 19 years","53,700","(+/-1,783)","52,136","(+/-1,813)","52,695","(+/-1,858)","62,598","(+/-2,376)"
People,"Sex and Age","20 to 24 years","63,621","(+/-2,277)","56,299","(+/-1,794)","50,386","(+/-2,111)","61,415","(+/-2,684)"
People,"Sex and Age","25 to 34 years","99,622","(+/-2,551)","94,870","(+/-2,656)","111,704","(+/-2,216)","95,470","(+/-2,552)"
People,"Sex and Age","35 to 44 years","101,232","(+/-2,059)","96,429","(+/-2,135)","114,523","(+/-1,981)","92,889","(+/-2,327)"
People,"Sex and Age","45 to 54 years","89,624","(+/-1,682)","89,366","(+/-1,670)","97,347","(+/-2,028)","84,767","(+/-1,979)"
People,"Sex and Age","55 to 59 years","47,541","(+/-2,536)","50,039","(+/-2,919)","45,354","(+/-2,671)","45,804","(+/-2,375)"
People,"Sex and Age","60 to 64 years","54,377","(+/-2,505)","53,466","(+/-2,805)","51,689","(+/-2,828)","54,519","(+/-2,362)"
People,"Sex and Age","65 to 74 years","85,191","(+/-1,209)","89,516","(+/-1,060)","77,407","(+/-1,455)","89,007","(+/-1,561)"
People,"Sex and Age","75 to 84 years","44,593","(+/-1,926)","49,558","(+/-1,595)","39,635","(+/-1,745)","45,996","(+/-1,714)"
People,"Sex and Age","85 years and over","16,628","(+/-1,769)","18,063","(+/-1,662)","13,453","(+/-1,576)","19,832","(+/-1,294)"
People,"Sex and Age","Median age (years)",39.0,(+/-0.3),40.2,(+/-0.4),37.6,(+/-0.5),39.0,(+/-0.3)
People,"Sex and Age","18 years and over","624,923","(+/-2,078)","618,691","(+/-1,562)","620,152","(+/-2,025)","620,003","(+/-2,043)"
People,"Sex and Age","65 years and over","146,412","(+/-1,484)","157,137","(+/-1,290)","130,495","(+/-1,480)","154,835","(+/-1,944)"
People,Race,"Total population","798,442","(+/-1,976)","793,421","(+/-1,598)","814,070","(+/-2,534)","794,584","(+/-2,459)"
People,Race,"One race","751,050","(+/-4,608)","755,825","(+/-3,821)","755,394","(+/-6,341)","732,885","(+/-4,947)"
People,Race,White,"682,789","(+/-3,483)","694,777","(+/-3,298)","656,756","(+/-4,520)","668,276","(+/-4,350)"
People,Race,"Black or African American","31,734","(+/-3,207)","30,330","(+/-3,775)","43,431","(+/-2,768)","15,952","(+/-1,962)"
People,Race,"American Indian and Alaska Native","1,909",(+/-952),"3,098",(+/-903),"2,396","(+/-1,363)","4,315","(+/-1,453)"
People,Race,Asian,"17,592","(+/-1,623)","12,057","(+/-1,534)","29,565","(+/-2,074)","16,435","(+/-1,248)"
People,Race,"Native Hawaiian and Other Pacific Islander",496,(+/-374),"5,514","(+/-2,835)","1,116",(+/-390),"1,537",(+/-811)
People,Race,"Some other race","16,530","(+/-2,935)","10,049","(+/-2,258)","22,130","(+/-4,548)","26,370","(+/-3,989)"
People,Race,"Two or more races","47,392","(+/-4,533)","37,596","(+/-3,617)","58,676","(+/-6,133)","61,699","(+/-4,534)"
People,"Hispanic or Latino and Race","Total population","798,442","(+/-1,976)","793,421","(+/-1,598)","814,070","(+/-2,534)","794,584","(+/-2,459)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","46,978",(+/-809),"30,646",(+/-820),"62,495",(+/-923),"77,905",(+/-530)
People,"Hispanic or Latino and Race",Mexican,"36,822","(+/-2,295)","19,715","(+/-2,074)","38,214","(+/-3,943)","53,330","(+/-3,270)"
People,"Hispanic or Latino and Race","Puerto Rican","2,961","(+/-1,301)","1,875",(+/-602),"3,840","(+/-2,364)","1,899",(+/-889)
People,"Hispanic or Latino and Race",Cuban,712,(+/-478),692,(+/-502),"2,188","(+/-1,377)","1,714",(+/-770)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,483","(+/-1,676)","8,364","(+/-2,077)","18,253","(+/-3,533)","20,962","(+/-2,933)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","751,464","(+/-2,172)","762,775","(+/-1,681)","751,575","(+/-2,651)","716,679","(+/-2,559)"
People,"Place of Birth","Total population","798,442","(+/-1,976)","793,421","(+/-1,598)","814,070","(+/-2,534)","794,584","(+/-2,459)"
People,"Place of Birth",Native,"760,705","(+/-4,366)","761,173","(+/-3,804)","740,649","(+/-6,718)","747,263","(+/-3,636)"
People,"Place of Birth","Born in United States","755,735","(+/-4,582)","756,935","(+/-4,089)","736,196","(+/-6,545)","742,737","(+/-3,714)"
People,"Place of Birth","State of residence","546,617","(+/-7,229)","601,737","(+/-7,059)","560,705","(+/-7,963)","535,490","(+/-6,303)"
People,"Place of Birth","Different state","209,118","(+/-7,995)","155,198","(+/-5,960)","175,491","(+/-7,797)","207,247","(+/-6,414)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,970","(+/-1,267)","4,238","(+/-1,365)","4,453","(+/-1,182)","4,526","(+/-1,095)"
People,"Place of Birth","Foreign born","37,737","(+/-4,055)","32,248","(+/-3,647)","73,421","(+/-5,641)","47,321","(+/-3,097)"
People,Ancestry,"Total population","798,442","(+/-1,976)","793,421","(+/-1,598)","814,070","(+/-2,534)","794,584","(+/-2,459)"
People,Ancestry,American,"42,503","(+/-5,261)","37,068","(+/-3,664)","31,763","(+/-3,815)","43,941","(+/-5,222)"
People,Ancestry,Arab,"3,582","(+/-1,976)","3,040","(+/-1,747)","2,283","(+/-1,405)",692,(+/-549)
People,Ancestry,Czech,"9,082","(+/-1,854)","22,737","(+/-3,056)","6,013","(+/-1,091)","8,055","(+/-1,381)"
People,Ancestry,Danish,"7,002","(+/-1,537)","9,060","(+/-1,708)","12,265","(+/-2,670)","16,134","(+/-1,996)"
People,Ancestry,Dutch,"24,740","(+/-3,095)","12,632","(+/-1,920)","19,692","(+/-3,004)","37,446","(+/-3,252)"
People,Ancestry,English,"81,970","(+/-4,724)","75,384","(+/-5,811)","98,262","(+/-7,110)","68,836","(+/-5,143)"
People,Ancestry,"French (except Basque)","12,231","(+/-1,947)","12,295","(+/-1,768)","11,090","(+/-2,066)","11,165","(+/-1,470)"
People,Ancestry,"French Canadian","2,500","(+/-1,057)","1,270",(+/-615),"2,149","(+/-1,448)","1,022",(+/-376)
People,Ancestry,German,"230,779","(+/-8,447)","281,910","(+/-8,754)","203,761","(+/-9,277)","250,030","(+/-6,784)"
People,Ancestry,Greek,"2,573","(+/-1,551)","1,849",(+/-696),893,(+/-653),288,(+/-204)
People,Ancestry,Hungarian,767,(+/-426),"1,253",(+/-577),"1,288",(+/-970),"1,207",(+/-820)
People,Ancestry,Irish,"107,114","(+/-6,503)","100,731","(+/-5,588)","101,442","(+/-7,537)","79,259","(+/-5,128)"
People,Ancestry,Italian,"19,550","(+/-3,561)","11,123","(+/-2,557)","22,448","(+/-3,344)","12,633","(+/-1,932)"
People,Ancestry,Lithuanian,460,(+/-303),579,(+/-441),231,(+/-260),416,(+/-302)
People,Ancestry,Norwegian,"20,888","(+/-2,971)","44,652","(+/-4,306)","28,456","(+/-3,935)","45,229","(+/-4,225)"
