Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","757,381","(+/-4,314)","756,377","(+/-6,740)","742,826","(+/-4,130)","762,092","(+/-4,360)","739,149","(+/-3,350)","754,485","(+/-4,443)"
People,"Sex and Age",Male,"373,863","(+/-3,366)","376,279","(+/-3,892)","362,071","(+/-2,343)","379,380","(+/-3,082)","370,489","(+/-2,545)","371,076","(+/-3,484)"
People,"Sex and Age",Female,"383,518","(+/-3,599)","380,098","(+/-4,584)","380,755","(+/-2,211)","382,712","(+/-3,394)","368,660","(+/-2,399)","383,409","(+/-3,460)"
People,"Sex and Age","Under 5 years","43,690","(+/-1,463)","45,277","(+/-1,588)","44,950",(+/-561),"42,823","(+/-1,490)","41,471","(+/-1,102)","42,222","(+/-1,289)"
People,"Sex and Age","5 to 9 years","46,951","(+/-2,727)","47,510","(+/-3,223)","44,341","(+/-2,897)","53,063","(+/-2,777)","43,661","(+/-2,739)","45,569","(+/-3,276)"
People,"Sex and Age","10 to 14 years","50,593","(+/-3,096)","47,648","(+/-3,379)","46,292","(+/-2,984)","46,167","(+/-2,521)","46,167","(+/-3,023)","47,186","(+/-3,414)"
People,"Sex and Age","15 to 19 years","52,681","(+/-3,145)","49,573","(+/-2,334)","43,555","(+/-1,062)","49,988","(+/-1,797)","46,933","(+/-1,766)","51,144","(+/-2,377)"
People,"Sex and Age","20 to 24 years","49,155","(+/-2,516)","50,806","(+/-2,511)","48,745",(+/-830),"44,089","(+/-2,136)","41,994","(+/-1,980)","66,567","(+/-2,453)"
People,"Sex and Age","25 to 34 years","92,077","(+/-2,718)","94,185","(+/-2,881)","109,486","(+/-1,287)","99,307","(+/-2,291)","90,032","(+/-2,315)","102,072","(+/-2,717)"
People,"Sex and Age","35 to 44 years","92,175","(+/-2,464)","95,281","(+/-2,716)","96,956","(+/-1,274)","100,417","(+/-2,033)","89,832","(+/-1,819)","94,662","(+/-2,298)"
People,"Sex and Age","45 to 54 years","88,596","(+/-2,595)","96,195","(+/-2,891)","85,696","(+/-1,684)","99,585","(+/-1,933)","96,954","(+/-1,617)","90,567","(+/-2,394)"
