Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","697,698","(+/-4,281)","687,642","(+/-4,281)"
People,"Sex and Age",Male,"341,683","(+/-2,856)","342,874","(+/-2,518)"
People,"Sex and Age",Female,"356,015","(+/-3,038)","344,768","(+/-3,287)"
People,"Sex and Age","Under 5 years","31,444","(+/-1,235)","29,574","(+/-1,086)"
People,"Sex and Age","5 to 9 years","34,030","(+/-2,535)","35,428","(+/-2,551)"
People,"Sex and Age","10 to 14 years","35,985","(+/-2,710)","34,115","(+/-2,161)"
People,"Sex and Age","15 to 19 years","36,914","(+/-1,517)","37,956","(+/-1,465)"
People,"Sex and Age","20 to 24 years","39,205","(+/-1,764)","40,548","(+/-1,711)"
People,"Sex and Age","25 to 34 years","88,060","(+/-2,048)","77,816","(+/-2,091)"
People,"Sex and Age","35 to 44 years","89,171","(+/-1,851)","80,828","(+/-1,731)"
People,"Sex and Age","45 to 54 years","85,556","(+/-1,812)","83,708","(+/-1,729)"
People,"Sex and Age","55 to 59 years","48,501","(+/-2,806)","53,080","(+/-2,956)"
People,"Sex and Age","60 to 64 years","55,075","(+/-2,582)","55,453","(+/-2,617)"
People,"Sex and Age","65 to 74 years","90,256","(+/-1,170)","95,412","(+/-1,198)"
People,"Sex and Age","75 to 84 years","47,572","(+/-1,894)","46,614","(+/-1,433)"
People,"Sex and Age","85 years and over","15,929","(+/-1,840)","17,110","(+/-1,416)"
People,"Sex and Age","Median age (years)",44.3,(+/-0.3),46.0,(+/-0.4)
People,"Sex and Age","18 years and over","574,559","(+/-3,064)","565,290","(+/-3,123)"
People,"Sex and Age","65 years and over","153,757","(+/-1,449)","159,136","(+/-1,336)"
People,Race,"Total population","697,698","(+/-4,281)","687,642","(+/-4,281)"
People,Race,"One race","660,005","(+/-5,441)","652,783","(+/-5,245)"
People,Race,White,"629,093","(+/-5,434)","629,105","(+/-5,218)"
People,Race,"Black or African American","13,983","(+/-1,738)","8,123","(+/-1,721)"
People,Race,"American Indian and Alaska Native","1,636",(+/-718),"5,399","(+/-1,203)"
People,Race,Asian,"10,176","(+/-1,157)","6,098",(+/-786)
People,Race,"Native Hawaiian and Other Pacific Islander",68,(+/-120),153,(+/-137)
People,Race,"Some other race","5,049","(+/-1,808)","3,905","(+/-1,039)"
People,Race,"Two or more races","37,693","(+/-3,930)","34,859","(+/-3,097)"
People,"Hispanic or Latino and Race","Total population","697,698","(+/-4,281)","687,642","(+/-4,281)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","15,625",(+/-657),"13,092",(+/-601)
People,"Hispanic or Latino and Race",Mexican,"4,002","(+/-1,313)","4,141","(+/-1,382)"
People,"Hispanic or Latino and Race","Puerto Rican","4,859","(+/-2,044)","3,738",(+/-880)
People,"Hispanic or Latino and Race",Cuban,265,(+/-222),922,(+/-614)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,499","(+/-1,935)","4,291","(+/-1,220)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","682,073","(+/-4,288)","674,550","(+/-4,251)"
People,"Place of Birth","Total population","697,698","(+/-4,281)","687,642","(+/-4,281)"
People,"Place of Birth",Native,"662,273","(+/-5,929)","666,648","(+/-4,944)"
People,"Place of Birth","Born in United States","653,756","(+/-6,795)","660,033","(+/-5,287)"
People,"Place of Birth","State of residence","361,402","(+/-9,132)","457,017","(+/-7,116)"
People,"Place of Birth","Different state","292,354","(+/-8,687)","203,016","(+/-6,933)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,517","(+/-1,892)","6,615","(+/-1,195)"
People,"Place of Birth","Foreign born","35,425","(+/-3,503)","20,994","(+/-2,554)"
People,Ancestry,"Total population","697,698","(+/-4,281)","687,642","(+/-4,281)"
People,Ancestry,American,"37,221","(+/-4,291)","50,115","(+/-4,200)"
People,Ancestry,Arab,"3,023","(+/-1,186)","1,961","(+/-1,242)"
People,Ancestry,Czech,"1,999",(+/-757),806,(+/-400)
People,Ancestry,Danish,"4,005","(+/-1,448)","1,115",(+/-456)
People,Ancestry,Dutch,"5,655","(+/-1,465)","3,769","(+/-1,037)"
People,Ancestry,English,"146,648","(+/-8,032)","149,655","(+/-7,039)"
People,Ancestry,"French (except Basque)","71,798","(+/-5,765)","85,984","(+/-5,686)"
People,Ancestry,"French Canadian","42,161","(+/-4,228)","44,803","(+/-3,994)"
People,Ancestry,German,"56,068","(+/-4,244)","46,327","(+/-4,578)"
People,Ancestry,Greek,"5,646","(+/-1,458)","2,340",(+/-871)
People,Ancestry,Hungarian,"2,381","(+/-1,103)","1,570",(+/-621)
People,Ancestry,Irish,"116,434","(+/-7,885)","96,909","(+/-5,483)"
People,Ancestry,Italian,"48,534","(+/-5,316)","31,171","(+/-3,589)"
People,Ancestry,Lithuanian,"3,493","(+/-1,144)","3,386","(+/-1,349)"
People,Ancestry,Norwegian,"6,022","(+/-1,308)","3,333","(+/-1,022)"
People,Ancestry,Polish,"20,270","(+/-3,366)","11,149","(+/-1,934)"
People,Ancestry,Portuguese,"3,407","(+/-1,181)","4,465","(+/-1,246)"
People,Ancestry,Russian,"6,838","(+/-3,365)","1,812",(+/-704)
People,Ancestry,Scotch-Irish,"10,258","(+/-1,965)","8,570","(+/-1,434)"
People,Ancestry,Scottish,"27,710","(+/-3,104)","28,192","(+/-3,581)"
People,Ancestry,Slovak,"1,938",(+/-964),"1,023",(+/-598)
People,Ancestry,"Subsaharan African","8,680","(+/-1,949)","3,258","(+/-2,114)"
People,Ancestry,Swedish,"11,622","(+/-1,659)","9,071","(+/-1,726)"
People,Ancestry,Swiss,"1,485","(+/-1,126)",685,(+/-340)
People,Ancestry,Ukrainian,"2,141",(+/-771),"1,391",(+/-684)
People,Ancestry,Welsh,"7,001","(+/-1,759)","3,184",(+/-908)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,561","(+/-1,239)","1,479",(+/-646)
People,"Veteran Status","Civilian population 18 years and over","573,104","(+/-3,187)","564,696","(+/-3,115)"
People,"Veteran Status","Civilian veterans","48,155","(+/-2,805)","53,718","(+/-2,988)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","689,415","(+/-4,429)","678,611","(+/-4,275)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","94,021","(+/-4,990)","121,887","(+/-4,721)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","123,083","(+/-2,049)","121,924","(+/-2,170)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,470","(+/-1,323)","7,526","(+/-1,544)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","416,776","(+/-3,494)","403,585","(+/-3,314)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,290","(+/-3,906)","61,753","(+/-3,796)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","149,556","(+/-1,495)","153,102","(+/-1,369)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","40,261","(+/-2,549)","52,608","(+/-2,718)"
People,"Residence 1 Year Ago","Population 1 year and over","691,057","(+/-4,592)","681,115","(+/-4,422)"
People,"Residence 1 Year Ago","Same house","619,935","(+/-6,704)","610,294","(+/-6,554)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","71,122","(+/-5,298)","70,821","(+/-5,297)"
People,"Residence 1 Year Ago","Different house in the U.S.","68,782","(+/-5,137)","68,659","(+/-5,332)"
People,"Residence 1 Year Ago","Same county","27,837","(+/-3,282)","35,808","(+/-4,026)"
People,"Residence 1 Year Ago","Different county","40,945","(+/-4,334)","32,851","(+/-3,488)"
People,"Residence 1 Year Ago","Same state","15,745","(+/-2,711)","16,433","(+/-2,256)"
People,"Residence 1 Year Ago","Different state","25,200","(+/-3,500)","16,418","(+/-2,300)"
