Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","781,695","(+/-6,090)","772,153","(+/-12,961)","777,611","(+/-11,389)","750,800","(+/-12,023)","789,972","(+/-13,370)","792,577","(+/-11,465)","744,504","(+/-12,018)","755,348","(+/-13,084)"
People,"Sex and Age",Male,"388,166","(+/-4,794)","367,817","(+/-7,489)","382,923","(+/-7,114)","357,124","(+/-6,589)","394,885","(+/-8,725)","394,939","(+/-6,565)","348,302","(+/-6,483)","369,961","(+/-7,255)"
People,"Sex and Age",Female,"393,529","(+/-3,491)","404,336","(+/-7,592)","394,688","(+/-5,836)","393,676","(+/-7,388)","395,087","(+/-7,405)","397,638","(+/-6,699)","396,202","(+/-7,466)","385,387","(+/-7,662)"
People,"Sex and Age","Under 5 years","41,225","(+/-2,092)","38,487","(+/-2,774)","43,291","(+/-1,980)","45,558","(+/-2,758)","47,837","(+/-3,402)","45,186","(+/-2,793)","46,495","(+/-2,606)","41,114","(+/-3,016)"
People,"Sex and Age","5 to 9 years","46,350","(+/-2,788)","44,162","(+/-4,266)","46,378","(+/-3,959)","48,659","(+/-4,344)","46,961","(+/-4,642)","47,031","(+/-3,437)","43,353","(+/-3,277)","50,181","(+/-3,132)"
People,"Sex and Age","10 to 14 years","48,883","(+/-2,630)","46,792","(+/-3,784)","54,563","(+/-3,451)","44,556","(+/-4,110)","51,964","(+/-4,168)","51,989","(+/-3,873)","42,670","(+/-3,493)","45,633","(+/-3,644)"
People,"Sex and Age","15 to 19 years","46,196","(+/-2,476)","54,238","(+/-3,017)","47,381","(+/-2,197)","49,605","(+/-2,542)","50,989","(+/-3,250)","49,947","(+/-2,744)","45,069","(+/-2,788)","45,899","(+/-2,223)"
People,"Sex and Age","20 to 24 years","46,751","(+/-2,667)","51,718","(+/-2,870)","44,799","(+/-2,444)","50,862","(+/-2,627)","45,828","(+/-3,211)","50,194","(+/-3,122)","47,689","(+/-2,713)","41,961","(+/-2,314)"
People,"Sex and Age","25 to 34 years","88,728","(+/-3,607)","94,362","(+/-4,607)","97,677","(+/-3,298)","107,369","(+/-4,488)","106,541","(+/-4,630)","97,106","(+/-3,966)","127,614","(+/-4,353)","85,555","(+/-3,998)"
People,"Sex and Age","35 to 44 years","100,264","(+/-2,890)","99,684","(+/-4,558)","114,401","(+/-3,153)","103,544","(+/-4,455)","104,418","(+/-5,185)","116,385","(+/-4,572)","102,222","(+/-3,820)","99,294","(+/-4,623)"
People,"Sex and Age","45 to 54 years","94,365","(+/-2,814)","99,778","(+/-3,782)","101,545","(+/-2,570)","95,446","(+/-3,171)","101,994","(+/-4,149)","100,446","(+/-4,129)","74,156","(+/-3,284)","105,196","(+/-3,727)"
People,"Sex and Age","55 to 59 years","57,870","(+/-2,973)","47,971","(+/-4,279)","48,621","(+/-3,130)","47,717","(+/-3,720)","58,596","(+/-3,536)","55,365","(+/-3,464)","41,545","(+/-3,233)","50,779","(+/-3,565)"
People,"Sex and Age","60 to 64 years","56,183","(+/-3,332)","53,515","(+/-3,783)","53,430","(+/-3,175)","48,113","(+/-3,551)","55,143","(+/-3,791)","50,428","(+/-2,789)","52,299","(+/-2,925)","47,772","(+/-3,485)"
People,"Sex and Age","65 to 74 years","91,292","(+/-2,245)","80,103","(+/-2,891)","72,307","(+/-1,974)","67,658","(+/-2,671)","72,163","(+/-2,951)","74,358","(+/-3,074)","72,270","(+/-2,731)","78,016","(+/-2,773)"
People,"Sex and Age","75 to 84 years","48,291","(+/-2,268)","44,068","(+/-2,449)","41,133","(+/-1,956)","30,110","(+/-2,392)","34,056","(+/-2,393)","40,411","(+/-2,647)","35,615","(+/-1,994)","44,209","(+/-3,026)"
People,"Sex and Age","85 years and over","15,297","(+/-1,886)","17,275","(+/-1,879)","12,085","(+/-1,499)","11,603","(+/-1,879)","13,482","(+/-2,013)","13,731","(+/-1,815)","13,507","(+/-1,717)","19,739","(+/-2,573)"
People,"Sex and Age","Median age (years)",42.2,(+/-0.3),40.5,(+/-0.5),40.2,(+/-0.4),37.9,(+/-0.6),38.8,(+/-0.7),39.7,(+/-0.6),36.8,(+/-0.6),41.6,(+/-0.7)
People,"Sex and Age","18 years and over","616,324","(+/-4,468)","611,970","(+/-8,944)","602,819","(+/-8,414)","585,790","(+/-7,977)","609,744","(+/-9,220)","616,562","(+/-9,365)","586,261","(+/-8,757)","588,459","(+/-10,176)"
