Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","772,032","(+/-9,162)","785,076","(+/-11,682)","781,020","(+/-10,086)","782,122","(+/-9,547)","776,294","(+/-7,688)","771,813","(+/-5,287)","754,113","(+/-8,362)","773,868","(+/-9,854)","785,636","(+/-9,503)"
People,"Sex and Age",Male,"378,558","(+/-5,829)","388,795","(+/-7,161)","384,829","(+/-6,598)","379,201","(+/-6,294)","376,806","(+/-5,338)","377,201","(+/-4,222)","367,688","(+/-5,821)","378,982","(+/-6,495)","387,427","(+/-5,900)"
People,"Sex and Age",Female,"393,474","(+/-5,413)","396,281","(+/-6,801)","396,191","(+/-7,636)","402,921","(+/-6,879)","399,488","(+/-6,263)","394,612","(+/-4,281)","386,425","(+/-6,277)","394,886","(+/-6,779)","398,209","(+/-6,292)"
People,"Sex and Age","Under 5 years","36,407","(+/-1,477)","39,929","(+/-2,553)","43,718","(+/-3,698)","40,404","(+/-2,095)","34,367","(+/-3,465)","41,032","(+/-2,925)","36,459","(+/-2,722)","37,888","(+/-3,014)","32,048","(+/-1,819)"
People,"Sex and Age","5 to 9 years","40,310","(+/-3,087)","38,082","(+/-2,725)","41,908","(+/-4,554)","47,996","(+/-3,567)","43,028","(+/-3,993)","41,363","(+/-3,540)","31,651","(+/-2,875)","38,448","(+/-3,992)","37,054","(+/-3,100)"
People,"Sex and Age","10 to 14 years","42,921","(+/-3,556)","47,536","(+/-3,341)","48,942","(+/-4,093)","48,707","(+/-3,695)","40,776","(+/-3,645)","44,351","(+/-3,265)","32,915","(+/-3,159)","39,119","(+/-3,219)","41,429","(+/-3,634)"
People,"Sex and Age","15 to 19 years","49,743","(+/-2,219)","57,798","(+/-3,022)","52,772","(+/-4,057)","51,427","(+/-3,991)","48,240","(+/-3,762)","46,766","(+/-2,228)","56,688","(+/-2,793)","44,785","(+/-3,298)","46,011","(+/-2,870)"
People,"Sex and Age","20 to 24 years","55,444","(+/-3,201)","65,418","(+/-3,718)","52,537","(+/-4,344)","49,309","(+/-3,424)","50,018","(+/-4,206)","43,026","(+/-2,626)","83,033","(+/-3,834)","47,706","(+/-3,347)","45,081","(+/-2,500)"
People,"Sex and Age","25 to 34 years","94,871","(+/-2,749)","97,424","(+/-3,634)","102,682","(+/-5,853)","96,981","(+/-4,616)","121,704","(+/-6,132)","84,959","(+/-4,327)","164,284","(+/-5,012)","123,506","(+/-5,427)","82,210","(+/-3,386)"
People,"Sex and Age","35 to 44 years","94,073","(+/-2,925)","96,982","(+/-3,868)","103,092","(+/-5,299)","106,036","(+/-5,644)","109,465","(+/-4,659)","103,700","(+/-3,854)","102,658","(+/-4,701)","102,795","(+/-5,456)","88,490","(+/-4,128)"
People,"Sex and Age","45 to 54 years","93,721","(+/-3,159)","98,344","(+/-3,963)","99,131","(+/-5,574)","101,220","(+/-4,368)","98,261","(+/-3,982)","93,971","(+/-3,709)","79,759","(+/-3,871)","95,964","(+/-4,632)","97,658","(+/-3,915)"
People,"Sex and Age","55 to 59 years","53,644","(+/-3,123)","50,473","(+/-3,551)","56,756","(+/-3,809)","56,407","(+/-3,987)","51,023","(+/-3,706)","55,742","(+/-3,824)","36,888","(+/-2,690)","52,684","(+/-3,521)","60,955","(+/-3,557)"
People,"Sex and Age","60 to 64 years","57,369","(+/-3,293)","53,966","(+/-2,954)","56,822","(+/-4,031)","53,059","(+/-3,771)","45,447","(+/-3,597)","61,302","(+/-3,319)","37,112","(+/-3,270)","52,745","(+/-3,672)","60,949","(+/-4,210)"
People,"Sex and Age","65 to 74 years","87,934","(+/-2,307)","84,439","(+/-3,379)","74,512","(+/-4,141)","76,635","(+/-3,606)","74,051","(+/-4,176)","89,753","(+/-3,233)","55,331","(+/-2,787)","77,162","(+/-3,285)","111,964","(+/-2,679)"
People,"Sex and Age","75 to 84 years","46,900","(+/-2,173)","38,662","(+/-2,277)","34,395","(+/-2,841)","39,877","(+/-3,224)","43,456","(+/-3,015)","47,165","(+/-2,737)","26,332","(+/-2,415)","43,293","(+/-2,995)","61,667","(+/-3,290)"
People,"Sex and Age","85 years and over","18,695","(+/-1,863)","16,023","(+/-1,892)","13,753","(+/-1,715)","14,064","(+/-1,668)","16,458","(+/-2,233)","18,683","(+/-2,153)","11,003","(+/-1,779)","17,773","(+/-1,989)","20,120","(+/-2,099)"
People,"Sex and Age","Median age (years)",42.1,(+/-0.5),39.7,(+/-0.6),39.5,(+/-0.8),40.3,(+/-0.6),39.5,(+/-0.7),43.2,(+/-0.5),32.9,(+/-0.5),40.2,(+/-0.7),47.3,(+/-0.9)
People,"Sex and Age","18 years and over","624,056","(+/-7,133)","631,989","(+/-8,443)","615,185","(+/-7,813)","614,873","(+/-7,988)","631,287","(+/-7,035)","616,849","(+/-4,916)","633,997","(+/-6,567)","632,093","(+/-7,668)","645,657","(+/-7,394)"
People,"Sex and Age","65 years and over","153,529","(+/-2,882)","139,124","(+/-4,128)","122,660","(+/-5,598)","130,576","(+/-4,719)","133,965","(+/-5,808)","155,601","(+/-4,489)","92,666","(+/-3,370)","138,228","(+/-4,398)","193,751","(+/-4,227)"
People,Race,"Total population","772,032","(+/-9,162)","785,076","(+/-11,682)","781,020","(+/-10,086)","782,122","(+/-9,547)","776,294","(+/-7,688)","771,813","(+/-5,287)","754,113","(+/-8,362)","773,868","(+/-9,854)","785,636","(+/-9,503)"
People,Race,"One race","676,438","(+/-10,535)","704,803","(+/-12,410)","689,042","(+/-13,231)","724,664","(+/-11,174)","688,653","(+/-10,638)","710,264","(+/-8,372)","617,716","(+/-11,829)","702,319","(+/-12,128)","723,267","(+/-11,798)"
People,Race,White,"557,714","(+/-10,117)","575,667","(+/-12,906)","484,173","(+/-13,161)","614,433","(+/-12,297)","496,365","(+/-11,964)","600,284","(+/-10,536)","308,386","(+/-9,130)","509,131","(+/-10,198)","654,815","(+/-10,435)"
People,Race,"Black or African American","51,950","(+/-4,227)","38,509","(+/-4,371)","35,426","(+/-5,927)","37,906","(+/-5,577)","40,293","(+/-5,705)","27,901","(+/-3,644)","160,448","(+/-9,536)","82,234","(+/-8,196)","20,547","(+/-3,424)"
People,Race,"American Indian and Alaska Native","1,885",(+/-976),"1,267",(+/-871),881,(+/-556),"2,172","(+/-1,803)","1,915","(+/-1,430)","2,315","(+/-1,719)","4,195","(+/-2,378)","1,361",(+/-830),"3,716","(+/-1,832)"
People,Race,Asian,"15,720","(+/-1,806)","55,397","(+/-4,369)","65,679","(+/-6,939)","50,079","(+/-4,863)","108,861","(+/-7,431)","39,250","(+/-3,780)","83,764","(+/-5,556)","74,971","(+/-5,330)","11,187","(+/-2,505)"
People,Race,"Native Hawaiian and Other Pacific Islander",54,(+/-99),463,(+/-555),86,(+/-148),307,(+/-436),197,(+/-246),254,(+/-382),70,(+/-93),186,(+/-181),208,(+/-247)
People,Race,"Some other race","49,115","(+/-6,981)","33,500","(+/-6,030)","102,797","(+/-9,807)","19,767","(+/-4,627)","41,022","(+/-7,171)","40,260","(+/-6,957)","60,853","(+/-6,748)","34,436","(+/-5,699)","32,794","(+/-5,237)"
People,Race,"Two or more races","95,594","(+/-7,415)","80,273","(+/-6,271)","91,978","(+/-9,574)","57,458","(+/-5,785)","87,641","(+/-7,687)","61,549","(+/-7,042)","136,397","(+/-9,350)","71,549","(+/-7,822)","62,369","(+/-6,852)"
People,"Hispanic or Latino and Race","Total population","772,032","(+/-9,162)","785,076","(+/-11,682)","781,020","(+/-10,086)","782,122","(+/-9,547)","776,294","(+/-7,688)","771,813","(+/-5,287)","754,113","(+/-8,362)","773,868","(+/-9,854)","785,636","(+/-9,503)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","149,148","(+/-4,066)","93,168","(+/-5,126)","176,048","(+/-7,361)","48,118","(+/-4,721)","86,120","(+/-7,071)","87,119","(+/-6,420)","169,470","(+/-6,351)","57,591","(+/-4,220)","44,256","(+/-4,173)"
People,"Hispanic or Latino and Race",Mexican,"4,834","(+/-2,497)","6,482","(+/-1,751)","9,983","(+/-3,403)","5,707","(+/-2,547)","8,119","(+/-2,370)","5,909","(+/-2,390)","9,009","(+/-2,717)","5,707","(+/-3,036)","5,238","(+/-2,490)"
People,"Hispanic or Latino and Race","Puerto Rican","117,427","(+/-6,711)","41,621","(+/-5,813)","40,895","(+/-6,025)","13,685","(+/-2,975)","13,508","(+/-3,041)","12,616","(+/-3,300)","32,165","(+/-4,563)","15,953","(+/-2,854)","18,018","(+/-4,108)"
People,"Hispanic or Latino and Race",Cuban,708,(+/-420),"2,097","(+/-1,506)","1,551",(+/-726),"1,748",(+/-811),"2,266","(+/-1,196)","2,536","(+/-1,049)","1,641",(+/-570),"1,463",(+/-867),"1,232",(+/-811)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","26,179","(+/-5,866)","42,968","(+/-5,956)","123,619","(+/-9,417)","26,978","(+/-4,238)","62,227","(+/-6,808)","66,058","(+/-7,382)","126,655","(+/-7,430)","34,468","(+/-4,855)","19,768","(+/-3,727)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","622,884","(+/-9,310)","691,908","(+/-12,568)","604,972","(+/-11,297)","734,004","(+/-11,448)","690,174","(+/-8,856)","684,694","(+/-8,491)","584,643","(+/-9,305)","716,277","(+/-9,682)","741,380","(+/-10,633)"
People,"Place of Birth","Total population","772,032","(+/-9,162)","785,076","(+/-11,682)","781,020","(+/-10,086)","782,122","(+/-9,547)","776,294","(+/-7,688)","771,813","(+/-5,287)","754,113","(+/-8,362)","773,868","(+/-9,854)","785,636","(+/-9,503)"
People,"Place of Birth",Native,"711,278","(+/-10,539)","667,438","(+/-13,402)","614,444","(+/-13,072)","663,951","(+/-12,329)","569,590","(+/-10,714)","659,151","(+/-8,925)","511,111","(+/-11,384)","616,258","(+/-11,950)","708,882","(+/-10,909)"
People,"Place of Birth","Born in United States","660,036","(+/-10,953)","644,908","(+/-13,148)","585,589","(+/-13,686)","651,613","(+/-12,887)","554,400","(+/-10,460)","646,998","(+/-8,641)","484,256","(+/-10,765)","602,027","(+/-12,351)","693,796","(+/-11,218)"
People,"Place of Birth","State of residence","503,344","(+/-11,509)","481,593","(+/-11,681)","461,694","(+/-12,444)","455,671","(+/-11,312)","367,627","(+/-10,145)","515,553","(+/-10,755)","300,223","(+/-9,491)","471,012","(+/-11,610)","536,742","(+/-11,693)"
People,"Place of Birth","Different state","156,692","(+/-7,748)","163,315","(+/-8,169)","123,895","(+/-6,593)","195,942","(+/-9,233)","186,773","(+/-8,187)","131,445","(+/-6,363)","184,033","(+/-7,962)","131,015","(+/-6,361)","157,054","(+/-7,077)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","51,242","(+/-5,003)","22,530","(+/-4,022)","28,855","(+/-3,751)","12,338","(+/-2,295)","15,190","(+/-2,163)","12,153","(+/-2,561)","26,855","(+/-3,915)","14,231","(+/-2,301)","15,086","(+/-3,333)"
People,"Place of Birth","Foreign born","60,754","(+/-5,546)","117,638","(+/-7,460)","166,576","(+/-8,997)","118,171","(+/-6,893)","206,704","(+/-9,765)","112,662","(+/-6,479)","243,002","(+/-11,130)","157,610","(+/-8,674)","76,754","(+/-6,024)"
People,Ancestry,"Total population","772,032","(+/-9,162)","785,076","(+/-11,682)","781,020","(+/-10,086)","782,122","(+/-9,547)","776,294","(+/-7,688)","771,813","(+/-5,287)","754,113","(+/-8,362)","773,868","(+/-9,854)","785,636","(+/-9,503)"
People,Ancestry,American,"56,728","(+/-5,515)","22,929","(+/-3,891)","19,205","(+/-3,519)","26,337","(+/-4,150)","24,146","(+/-3,829)","21,127","(+/-3,226)","17,205","(+/-3,045)","23,182","(+/-4,150)","25,278","(+/-3,841)"
People,Ancestry,Arab,"5,557","(+/-2,008)","8,761","(+/-3,251)","6,993","(+/-2,076)","10,138","(+/-2,288)","10,430","(+/-3,568)","7,435","(+/-3,319)","13,011","(+/-3,664)","9,030","(+/-2,766)","6,648","(+/-1,844)"
People,Ancestry,Czech,"1,521",(+/-743),"2,432",(+/-970),"1,120",(+/-787),"1,370","(+/-1,175)","1,384",(+/-683),899,(+/-390),"1,405",(+/-734),"1,604",(+/-669),"1,088",(+/-560)
