Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","748,916","(+/-2,560)","704,754","(+/-6,525)","735,973","(+/-6,696)","750,414","(+/-2,491)"
People,"Sex and Age",Male,"364,702","(+/-2,994)","344,712","(+/-4,309)","351,815","(+/-4,630)","365,460","(+/-2,714)"
People,"Sex and Age",Female,"384,214","(+/-2,701)","360,042","(+/-4,441)","384,158","(+/-4,602)","384,954","(+/-2,370)"
People,"Sex and Age","Under 5 years","43,466","(+/-1,649)","40,803","(+/-2,018)","41,921","(+/-1,903)","43,113","(+/-1,805)"
People,"Sex and Age","5 to 9 years","44,000","(+/-2,877)","44,726","(+/-3,149)","42,304","(+/-3,019)","45,486","(+/-3,083)"
People,"Sex and Age","10 to 14 years","52,946","(+/-2,868)","48,052","(+/-3,506)","52,451","(+/-3,647)","52,415","(+/-3,557)"
People,"Sex and Age","15 to 19 years","59,211","(+/-3,134)","52,967","(+/-3,204)","52,094","(+/-3,024)","51,612","(+/-2,667)"
People,"Sex and Age","20 to 24 years","51,266","(+/-3,186)","49,868","(+/-3,501)","53,899","(+/-3,510)","54,135","(+/-2,850)"
People,"Sex and Age","25 to 34 years","94,452","(+/-3,340)","78,784","(+/-3,506)","88,106","(+/-3,903)","90,174","(+/-3,181)"
People,"Sex and Age","35 to 44 years","96,573","(+/-2,863)","85,938","(+/-3,996)","97,194","(+/-3,916)","100,191","(+/-2,488)"
People,"Sex and Age","45 to 54 years","90,070","(+/-2,233)","84,118","(+/-3,633)","89,346","(+/-2,979)","89,684","(+/-2,151)"
People,"Sex and Age","55 to 59 years","42,632","(+/-2,860)","41,754","(+/-2,660)","42,328","(+/-2,707)","40,063","(+/-2,511)"
People,"Sex and Age","60 to 64 years","49,145","(+/-2,683)","48,648","(+/-2,420)","46,928","(+/-3,071)","54,010","(+/-2,557)"
People,"Sex and Age","65 to 74 years","74,537","(+/-1,501)","78,713","(+/-2,646)","77,507","(+/-2,128)","78,927","(+/-1,687)"
People,"Sex and Age","75 to 84 years","38,370","(+/-1,228)","38,792","(+/-2,524)","38,352","(+/-1,926)","38,394","(+/-1,546)"
People,"Sex and Age","85 years and over","12,248","(+/-1,378)","11,591","(+/-1,484)","13,543","(+/-1,692)","12,210","(+/-1,501)"
People,"Sex and Age","Median age (years)",38.1,(+/-0.4),39.4,(+/-0.5),39.3,(+/-0.5),38.9,(+/-0.4)
People,"Sex and Age","18 years and over","575,415","(+/-2,540)","541,707","(+/-5,351)","569,798","(+/-5,665)","577,052","(+/-2,173)"
People,"Sex and Age","65 years and over","125,155","(+/-1,491)","129,096","(+/-2,539)","129,402","(+/-2,343)","129,531","(+/-1,689)"
People,Race,"Total population","748,916","(+/-2,560)","704,754","(+/-6,525)","735,973","(+/-6,696)","750,414","(+/-2,491)"
People,Race,"One race","716,213","(+/-5,605)","682,121","(+/-7,732)","708,458","(+/-7,285)","697,992","(+/-5,607)"
People,Race,White,"477,404","(+/-4,229)","218,100","(+/-4,183)","435,927","(+/-4,510)","506,759","(+/-4,104)"
People,Race,"Black or African American","212,300","(+/-3,816)","449,845","(+/-6,994)","249,791","(+/-7,055)","163,377","(+/-5,680)"
People,Race,"American Indian and Alaska Native","1,294",(+/-686),"2,528","(+/-1,045)","7,088","(+/-1,191)","3,029","(+/-1,129)"
People,Race,Asian,"5,837","(+/-1,597)","2,310",(+/-699),"8,779",(+/-901),"8,649","(+/-1,850)"
People,Race,"Native Hawaiian and Other Pacific Islander",133,(+/-191),103,(+/-141),305,(+/-415),143,(+/-151)
People,Race,"Some other race","19,245","(+/-3,413)","9,235","(+/-2,532)","6,568","(+/-2,644)","16,035","(+/-3,985)"
People,Race,"Two or more races","32,703","(+/-4,992)","22,633","(+/-4,735)","27,515","(+/-3,571)","52,422","(+/-5,419)"
People,"Hispanic or Latino and Race","Total population","748,916","(+/-2,560)","704,754","(+/-6,525)","735,973","(+/-6,696)","750,414","(+/-2,491)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","29,475","(+/-1,746)","16,448","(+/-2,659)","14,498","(+/-2,396)","36,756",(+/-111)
People,"Hispanic or Latino and Race",Mexican,"20,575","(+/-2,784)","7,001","(+/-1,656)","8,830","(+/-2,225)","12,523","(+/-2,017)"
People,"Hispanic or Latino and Race","Puerto Rican","1,980","(+/-1,332)",614,(+/-394),442,(+/-471),"7,971","(+/-2,607)"
People,"Hispanic or Latino and Race",Cuban,506,(+/-480),470,(+/-359),439,(+/-443),"1,315",(+/-934)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,414","(+/-1,689)","8,363","(+/-1,994)","4,787","(+/-1,524)","14,947","(+/-2,635)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","719,441","(+/-2,829)","688,306","(+/-6,622)","721,475","(+/-6,995)","713,658","(+/-2,482)"
People,"Place of Birth","Total population","748,916","(+/-2,560)","704,754","(+/-6,525)","735,973","(+/-6,696)","750,414","(+/-2,491)"
People,"Place of Birth",Native,"729,978","(+/-3,603)","691,761","(+/-7,203)","719,935","(+/-6,687)","732,935","(+/-3,253)"
People,"Place of Birth","Born in United States","725,518","(+/-3,690)","689,789","(+/-7,244)","717,096","(+/-6,837)","722,309","(+/-4,052)"
People,"Place of Birth","State of residence","463,294","(+/-8,745)","589,739","(+/-8,393)","574,915","(+/-9,330)","450,517","(+/-8,927)"
People,"Place of Birth","Different state","262,224","(+/-7,968)","100,050","(+/-5,931)","142,181","(+/-8,150)","271,792","(+/-8,653)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,460","(+/-1,431)","1,972",(+/-823),"2,839",(+/-960),"10,626","(+/-2,151)"
