Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","742,101","(+/-10,428)","778,625","(+/-12,900)","773,675","(+/-10,596)","780,184","(+/-6,975)","773,627","(+/-6,402)","768,652","(+/-5,138)","785,669","(+/-3,391)","775,424","(+/-6,405)"
People,"Sex and Age",Male,"355,392","(+/-6,584)","381,383","(+/-7,365)","381,468","(+/-5,919)","392,198","(+/-5,286)","376,387","(+/-4,371)","384,745","(+/-4,450)","387,376","(+/-2,809)","387,402","(+/-4,004)"
People,"Sex and Age",Female,"386,709","(+/-6,225)","397,242","(+/-7,033)","392,207","(+/-6,158)","387,986","(+/-5,388)","397,240","(+/-4,102)","383,907","(+/-3,672)","398,293","(+/-2,210)","388,022","(+/-4,327)"
People,"Sex and Age","Under 5 years","42,092","(+/-2,653)","43,134","(+/-3,060)","39,760","(+/-2,575)","46,526","(+/-2,152)","46,246","(+/-1,769)","44,643","(+/-1,603)","44,432","(+/-1,407)","42,815","(+/-1,870)"
People,"Sex and Age","5 to 9 years","38,256","(+/-3,359)","47,811","(+/-3,671)","47,475","(+/-3,283)","50,431","(+/-2,900)","50,317","(+/-3,168)","45,580","(+/-2,773)","49,234","(+/-2,929)","46,552","(+/-3,250)"
People,"Sex and Age","10 to 14 years","47,647","(+/-3,797)","49,814","(+/-3,351)","42,608","(+/-2,955)","50,520","(+/-2,959)","47,596","(+/-3,161)","53,101","(+/-2,864)","51,538","(+/-3,066)","51,585","(+/-3,194)"
People,"Sex and Age","15 to 19 years","47,287","(+/-2,093)","47,525","(+/-2,784)","50,835","(+/-2,874)","60,142","(+/-3,140)","44,992","(+/-1,894)","53,816","(+/-2,036)","51,588","(+/-2,014)","54,193","(+/-2,199)"
People,"Sex and Age","20 to 24 years","49,835","(+/-2,664)","40,087","(+/-3,076)","60,666","(+/-2,666)","51,440","(+/-3,449)","48,730","(+/-1,671)","50,265","(+/-2,562)","60,315","(+/-1,994)","50,518","(+/-2,854)"
People,"Sex and Age","25 to 34 years","119,627","(+/-2,976)","89,518","(+/-4,190)","97,091","(+/-3,390)","96,443","(+/-3,845)","124,672","(+/-2,763)","93,442","(+/-3,075)","99,526","(+/-2,121)","88,644","(+/-2,627)"
People,"Sex and Age","35 to 44 years","100,872","(+/-3,863)","102,174","(+/-4,754)","100,630","(+/-3,930)","95,032","(+/-3,528)","103,791","(+/-2,924)","98,820","(+/-2,552)","97,641","(+/-2,147)","95,589","(+/-2,725)"
