Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","569,331","(+/-1,776)","553,536","(+/-1,776)"
People,"Sex and Age",Male,"289,967","(+/-2,057)","277,306","(+/-1,993)"
People,"Sex and Age",Female,"279,364","(+/-2,293)","276,230","(+/-1,961)"
People,"Sex and Age","Under 5 years","26,617",(+/-960),"30,407","(+/-1,031)"
People,"Sex and Age","5 to 9 years","28,090","(+/-1,845)","34,463","(+/-2,018)"
People,"Sex and Age","10 to 14 years","35,211","(+/-2,136)","37,749","(+/-2,254)"
People,"Sex and Age","15 to 19 years","36,450","(+/-1,724)","33,244","(+/-1,711)"
People,"Sex and Age","20 to 24 years","44,515","(+/-2,085)","30,683","(+/-1,818)"
People,"Sex and Age","25 to 34 years","75,505","(+/-2,353)","70,473","(+/-1,934)"
People,"Sex and Age","35 to 44 years","74,423","(+/-1,353)","71,980","(+/-1,597)"
People,"Sex and Age","45 to 54 years","63,776","(+/-1,460)","59,538","(+/-1,220)"
People,"Sex and Age","55 to 59 years","33,314","(+/-2,274)","31,678","(+/-2,348)"
People,"Sex and Age","60 to 64 years","37,653","(+/-2,371)","40,962","(+/-2,109)"
People,"Sex and Age","65 to 74 years","70,325",(+/-797),"67,851","(+/-1,087)"
People,"Sex and Age","75 to 84 years","33,770","(+/-1,670)","33,671","(+/-1,492)"
People,"Sex and Age","85 years and over","9,682","(+/-1,481)","10,837","(+/-1,376)"
People,"Sex and Age","Median age (years)",39.9,(+/-0.5),40.5,(+/-0.4)
People,"Sex and Age","18 years and over","459,459","(+/-1,413)","429,226","(+/-1,630)"
People,"Sex and Age","65 years and over","113,777",(+/-806),"112,359","(+/-1,188)"
People,Race,"Total population","569,331","(+/-1,776)","553,536","(+/-1,776)"
People,Race,"One race","531,576","(+/-4,063)","514,751","(+/-3,854)"
People,Race,White,"495,108","(+/-3,266)","460,742","(+/-4,513)"
People,Race,"Black or African American",735,(+/-417),"2,928",(+/-761)
People,Race,"American Indian and Alaska Native","22,674","(+/-2,391)","37,583","(+/-2,319)"
People,Race,Asian,"4,621",(+/-943),"3,331",(+/-899)
People,Race,"Native Hawaiian and Other Pacific Islander",637,(+/-469),975,"(+/-1,146)"
People,Race,"Some other race","7,801","(+/-2,041)","9,192","(+/-4,712)"
People,Race,"Two or more races","37,755","(+/-3,293)","38,785","(+/-3,212)"
People,"Hispanic or Latino and Race","Total population","569,331","(+/-1,776)","553,536","(+/-1,776)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","23,149",(+/-346),"26,681",(+/-383)
People,"Hispanic or Latino and Race",Mexican,"15,088","(+/-1,837)","20,104","(+/-1,554)"
People,"Hispanic or Latino and Race","Puerto Rican",786,(+/-506),"1,342",(+/-837)
People,"Hispanic or Latino and Race",Cuban,844,(+/-607),397,(+/-314)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","6,431","(+/-1,600)","4,838","(+/-1,202)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","546,182","(+/-1,693)","526,855","(+/-1,692)"
People,"Place of Birth","Total population","569,331","(+/-1,776)","553,536","(+/-1,776)"
People,"Place of Birth",Native,"553,964","(+/-2,666)","542,627","(+/-2,297)"
People,"Place of Birth","Born in United States","548,542","(+/-2,886)","538,562","(+/-2,631)"
People,"Place of Birth","State of residence","254,705","(+/-6,093)","318,406","(+/-6,955)"
People,"Place of Birth","Different state","293,837","(+/-6,440)","220,156","(+/-6,551)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","5,422","(+/-1,200)","4,065","(+/-1,399)"
People,"Place of Birth","Foreign born","15,367","(+/-2,481)","10,909","(+/-1,889)"
People,Ancestry,"Total population","569,331","(+/-1,776)","553,536","(+/-1,776)"
People,Ancestry,American,"26,756","(+/-4,260)","39,618","(+/-5,580)"
People,Ancestry,Arab,"1,330",(+/-845),705,(+/-540)
People,Ancestry,Czech,"2,722",(+/-903),"2,630",(+/-849)
People,Ancestry,Danish,"6,216","(+/-1,319)","4,953","(+/-1,268)"
People,Ancestry,Dutch,"10,984","(+/-2,396)","6,930","(+/-1,495)"
People,Ancestry,English,"86,728","(+/-5,749)","62,691","(+/-5,522)"
People,Ancestry,"French (except Basque)","15,859","(+/-2,655)","10,052","(+/-1,758)"
People,Ancestry,"French Canadian","3,072",(+/-764),"1,906",(+/-607)
People,Ancestry,German,"122,590","(+/-6,815)","127,535","(+/-6,025)"
People,Ancestry,Greek,"1,410",(+/-695),676,(+/-412)
People,Ancestry,Hungarian,"2,197","(+/-1,068)","2,012","(+/-1,034)"
People,Ancestry,Irish,"81,795","(+/-6,239)","67,052","(+/-6,173)"
People,Ancestry,Italian,"19,381","(+/-2,556)","13,616","(+/-2,761)"
People,Ancestry,Lithuanian,"1,239",(+/-640),385,(+/-307)
People,Ancestry,Norwegian,"30,475","(+/-3,406)","44,439","(+/-4,095)"
People,Ancestry,Polish,"9,426","(+/-1,597)","9,829","(+/-2,322)"
People,Ancestry,Portuguese,"1,075",(+/-465),"1,249",(+/-776)
People,Ancestry,Russian,"3,369","(+/-1,577)","6,353","(+/-1,718)"
People,Ancestry,Scotch-Irish,"5,393","(+/-1,509)","5,253","(+/-1,259)"
People,Ancestry,Scottish,"17,563","(+/-2,648)","13,457","(+/-2,275)"
People,Ancestry,Slovak,250,(+/-170),283,(+/-265)
