Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","767,891","(+/-16,477)","791,398","(+/-1,978)","796,804","(+/-20,198)","821,679","(+/-16,966)"
People,"Sex and Age",Male,"385,949","(+/-10,163)","403,071","(+/-2,939)","397,767","(+/-12,611)","413,135","(+/-10,085)"
People,"Sex and Age",Female,"381,942","(+/-9,543)","388,327","(+/-2,745)","399,037","(+/-11,042)","408,544","(+/-10,302)"
People,"Sex and Age","Under 5 years","40,402","(+/-3,956)","39,537","(+/-1,550)","41,983","(+/-3,920)","50,653","(+/-3,601)"
People,"Sex and Age","5 to 9 years","49,884","(+/-4,457)","46,480","(+/-2,825)","42,472","(+/-4,543)","53,687","(+/-4,456)"
People,"Sex and Age","10 to 14 years","47,755","(+/-5,039)","47,558","(+/-3,060)","46,587","(+/-5,243)","58,360","(+/-5,693)"
People,"Sex and Age","15 to 19 years","46,502","(+/-3,476)","48,304","(+/-1,998)","46,540","(+/-3,274)","52,380","(+/-4,095)"
People,"Sex and Age","20 to 24 years","46,590","(+/-3,612)","47,582","(+/-1,944)","46,526","(+/-3,953)","54,138","(+/-3,712)"
People,"Sex and Age","25 to 34 years","111,134","(+/-5,680)","111,225","(+/-2,962)","116,460","(+/-5,692)","117,603","(+/-6,019)"
People,"Sex and Age","35 to 44 years","102,949","(+/-6,047)","104,226","(+/-2,164)","120,742","(+/-7,036)","112,877","(+/-6,002)"
People,"Sex and Age","45 to 54 years","100,288","(+/-5,825)","91,454","(+/-1,943)","105,580","(+/-6,528)","99,931","(+/-5,383)"
People,"Sex and Age","55 to 59 years","49,554","(+/-4,207)","48,516","(+/-3,061)","50,212","(+/-4,411)","50,320","(+/-3,438)"
People,"Sex and Age","60 to 64 years","44,043","(+/-3,618)","54,770","(+/-3,087)","47,583","(+/-3,657)","45,894","(+/-3,375)"
People,"Sex and Age","65 to 74 years","76,191","(+/-4,349)","92,627","(+/-1,698)","77,330","(+/-4,159)","78,611","(+/-4,172)"
People,"Sex and Age","75 to 84 years","42,061","(+/-3,714)","46,765","(+/-1,715)","43,296","(+/-3,549)","38,852","(+/-2,915)"
People,"Sex and Age","85 years and over","10,538","(+/-1,678)","12,354","(+/-1,559)","11,493","(+/-1,899)","8,373","(+/-1,288)"
People,"Sex and Age","Median age (years)",38.9,(+/-0.8),40.2,(+/-0.3),39.7,(+/-0.8),36.9,(+/-0.6)
People,"Sex and Age","18 years and over","599,933","(+/-12,812)","627,951","(+/-1,511)","635,517","(+/-14,683)","624,718","(+/-11,842)"
People,"Sex and Age","65 years and over","128,790","(+/-6,717)","151,746","(+/-1,758)","132,119","(+/-6,115)","125,836","(+/-5,055)"
People,Race,"Total population","767,891","(+/-16,477)","791,398","(+/-1,978)","796,804","(+/-20,198)","821,679","(+/-16,966)"
People,Race,"One race","617,689","(+/-17,344)","668,543","(+/-9,669)","663,197","(+/-19,197)","665,185","(+/-16,921)"
People,Race,White,"325,542","(+/-10,972)","525,091","(+/-7,004)","366,146","(+/-13,933)","345,005","(+/-13,792)"
People,Race,"Black or African American","81,324","(+/-9,388)","14,793","(+/-2,128)","77,011","(+/-9,158)","124,738","(+/-10,145)"
People,Race,"American Indian and Alaska Native","15,400","(+/-4,763)","15,888","(+/-2,742)","5,846","(+/-1,735)","9,863","(+/-2,468)"
People,Race,Asian,"66,304","(+/-7,593)","32,661","(+/-2,494)","140,071","(+/-8,382)","51,642","(+/-6,975)"
People,Race,"Native Hawaiian and Other Pacific Islander","4,749","(+/-2,070)","3,907",(+/-683),"6,215","(+/-2,406)","7,095","(+/-2,467)"
People,Race,"Some other race","124,370","(+/-12,197)","76,203","(+/-7,641)","67,908","(+/-8,281)","126,842","(+/-11,752)"
People,Race,"Two or more races","150,202","(+/-12,820)","122,855","(+/-8,798)","133,607","(+/-11,321)","156,494","(+/-11,421)"
People,"Hispanic or Latino and Race","Total population","767,891","(+/-16,477)","791,398","(+/-1,978)","796,804","(+/-20,198)","821,679","(+/-16,966)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","287,713","(+/-15,110)","193,020",(+/-525),"185,887","(+/-13,110)","294,737","(+/-14,137)"
People,"Hispanic or Latino and Race",Mexican,"208,901","(+/-15,343)","152,124","(+/-5,523)","112,858","(+/-10,800)","224,228","(+/-13,644)"
People,"Hispanic or Latino and Race","Puerto Rican","7,214","(+/-2,234)","4,206","(+/-1,475)","10,956","(+/-4,302)","9,586","(+/-2,455)"
People,"Hispanic or Latino and Race",Cuban,"19,507","(+/-3,991)","1,391",(+/-656),"16,929","(+/-5,123)","9,088","(+/-3,167)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","52,091","(+/-8,331)","35,299","(+/-5,157)","45,144","(+/-7,377)","51,835","(+/-8,560)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","480,178","(+/-12,697)","598,378","(+/-2,028)","610,917","(+/-15,112)","526,942","(+/-13,013)"
People,"Place of Birth","Total population","767,891","(+/-16,477)","791,398","(+/-1,978)","796,804","(+/-20,198)","821,679","(+/-16,966)"
People,"Place of Birth",Native,"595,375","(+/-15,422)","699,751","(+/-5,656)","605,013","(+/-18,774)","676,676","(+/-14,536)"
People,"Place of Birth","Born in United States","577,770","(+/-15,262)","685,848","(+/-5,437)","582,803","(+/-18,242)","660,322","(+/-14,415)"
People,"Place of Birth","State of residence","188,216","(+/-11,288)","262,887","(+/-9,045)","181,022","(+/-10,771)","239,023","(+/-13,784)"
People,"Place of Birth","Different state","389,554","(+/-11,966)","422,961","(+/-8,306)","401,781","(+/-15,331)","421,299","(+/-12,780)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","17,605","(+/-2,534)","13,903","(+/-2,535)","22,210","(+/-4,584)","16,354","(+/-3,137)"
People,"Place of Birth","Foreign born","172,516","(+/-8,474)","91,647","(+/-5,354)","191,791","(+/-9,871)","145,003","(+/-8,482)"
People,Ancestry,"Total population","767,891","(+/-16,477)","791,398","(+/-1,978)","796,804","(+/-20,198)","821,679","(+/-16,966)"
People,Ancestry,American,"19,884","(+/-3,430)","50,464","(+/-6,699)","26,740","(+/-4,467)","23,161","(+/-4,048)"
People,Ancestry,Arab,"2,674","(+/-1,359)","3,092","(+/-1,450)","9,536","(+/-3,186)","2,586","(+/-1,625)"
People,Ancestry,Czech,"1,584",(+/-627),"2,068",(+/-665),"1,816","(+/-1,099)","1,798",(+/-989)
People,Ancestry,Danish,"1,982",(+/-963),"3,684","(+/-1,051)","2,772","(+/-1,459)","3,870","(+/-1,346)"
People,Ancestry,Dutch,"5,057","(+/-1,318)","6,984","(+/-1,500)","5,687","(+/-1,540)","4,162","(+/-1,403)"
People,Ancestry,English,"53,366","(+/-4,834)","90,822","(+/-6,565)","54,230","(+/-6,135)","60,179","(+/-6,104)"
People,Ancestry,"French (except Basque)","12,594","(+/-2,633)","15,278","(+/-2,899)","13,482","(+/-3,570)","10,474","(+/-2,376)"
People,Ancestry,"French Canadian","2,700","(+/-1,289)","2,768",(+/-851),"2,617","(+/-1,046)","2,760","(+/-1,172)"
People,Ancestry,German,"59,470","(+/-5,639)","99,185","(+/-5,583)","61,122","(+/-6,168)","62,440","(+/-6,206)"
People,Ancestry,Greek,"3,363","(+/-1,382)","2,857","(+/-1,146)","2,860",(+/-908),"1,493",(+/-661)
People,Ancestry,Hungarian,"2,947",(+/-934),"3,755","(+/-1,510)","2,609",(+/-877),"3,023","(+/-2,532)"
People,Ancestry,Irish,"51,637","(+/-5,558)","79,018","(+/-6,057)","50,568","(+/-5,481)","48,120","(+/-5,297)"
People,Ancestry,Italian,"33,184","(+/-4,179)","45,292","(+/-4,578)","45,326","(+/-5,726)","30,020","(+/-3,749)"
People,Ancestry,Lithuanian,790,(+/-367),"1,594","(+/-1,030)",862,(+/-380),605,(+/-426)
