Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","703,923","(+/-8,797)","691,308","(+/-8,797)"
People,"Sex and Age",Male,"348,924","(+/-5,940)","347,862","(+/-5,460)"
People,"Sex and Age",Female,"354,999","(+/-5,655)","343,446","(+/-5,312)"
People,"Sex and Age","Under 5 years","32,030","(+/-2,047)","30,636","(+/-2,037)"
People,"Sex and Age","5 to 9 years","33,134","(+/-3,074)","35,027","(+/-2,864)"
People,"Sex and Age","10 to 14 years","36,549","(+/-3,216)","34,341","(+/-2,474)"
People,"Sex and Age","15 to 19 years","42,189","(+/-2,900)","43,396","(+/-2,827)"
People,"Sex and Age","20 to 24 years","46,893","(+/-2,323)","36,256","(+/-2,807)"
People,"Sex and Age","25 to 34 years","92,584","(+/-3,875)","89,419","(+/-3,942)"
People,"Sex and Age","35 to 44 years","86,236","(+/-3,873)","85,813","(+/-3,568)"
People,"Sex and Age","45 to 54 years","86,577","(+/-3,567)","85,068","(+/-3,659)"
People,"Sex and Age","55 to 59 years","52,931","(+/-3,641)","51,046","(+/-3,023)"
People,"Sex and Age","60 to 64 years","57,254","(+/-3,807)","55,869","(+/-3,010)"
People,"Sex and Age","65 to 74 years","82,390","(+/-2,810)","87,792","(+/-2,648)"
People,"Sex and Age","75 to 84 years","40,221","(+/-2,320)","41,901","(+/-2,306)"
People,"Sex and Age","85 years and over","14,935","(+/-1,823)","14,744","(+/-1,558)"
People,"Sex and Age","Median age (years)",42.8,(+/-0.6),43.8,(+/-0.6)
People,"Sex and Age","18 years and over","578,333","(+/-7,653)","565,205","(+/-7,618)"
People,"Sex and Age","65 years and over","137,546","(+/-3,642)","144,437","(+/-3,505)"
People,Race,"Total population","703,923","(+/-8,797)","691,308","(+/-8,797)"
People,Race,"One race","659,010","(+/-9,595)","645,541","(+/-10,953)"
People,Race,White,"618,612","(+/-9,883)","602,825","(+/-10,145)"
People,Race,"Black or African American","7,959","(+/-2,056)","11,045","(+/-2,662)"
People,Race,"American Indian and Alaska Native","1,001",(+/-573),696,(+/-333)
People,Race,Asian,"18,657","(+/-2,913)","17,992","(+/-2,510)"
People,Race,"Native Hawaiian and Other Pacific Islander",178,(+/-241),670,(+/-743)
People,Race,"Some other race","12,603","(+/-3,755)","12,313","(+/-3,719)"
People,Race,"Two or more races","44,913","(+/-5,423)","45,767","(+/-5,018)"
People,"Hispanic or Latino and Race","Total population","703,923","(+/-8,797)","691,308","(+/-8,797)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","32,586","(+/-3,349)","30,893","(+/-3,275)"
People,"Hispanic or Latino and Race",Mexican,"4,956","(+/-1,799)","5,218","(+/-1,951)"
People,"Hispanic or Latino and Race","Puerto Rican","9,959","(+/-2,620)","10,232","(+/-2,388)"
People,"Hispanic or Latino and Race",Cuban,745,(+/-511),339,(+/-309)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","16,926","(+/-3,687)","15,104","(+/-3,169)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","671,337","(+/-9,350)","660,415","(+/-9,326)"
People,"Place of Birth","Total population","703,923","(+/-8,797)","691,308","(+/-8,797)"
People,"Place of Birth",Native,"661,847","(+/-9,504)","646,633","(+/-9,610)"
People,"Place of Birth","Born in United States","652,993","(+/-9,256)","638,767","(+/-9,576)"
People,"Place of Birth","State of residence","290,758","(+/-9,459)","282,575","(+/-8,247)"
People,"Place of Birth","Different state","362,235","(+/-9,368)","356,192","(+/-9,384)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,854","(+/-1,765)","7,866","(+/-1,838)"
People,"Place of Birth","Foreign born","42,076","(+/-4,116)","44,675","(+/-4,255)"
People,Ancestry,"Total population","703,923","(+/-8,797)","691,308","(+/-8,797)"
People,Ancestry,American,"28,300","(+/-4,146)","31,001","(+/-4,159)"
People,Ancestry,Arab,"4,119","(+/-1,778)","3,632","(+/-2,029)"
People,Ancestry,Czech,952,(+/-752),"1,540",(+/-739)
People,Ancestry,Danish,"3,611","(+/-1,591)","1,595",(+/-604)
People,Ancestry,Dutch,"5,065","(+/-1,583)","4,978","(+/-1,116)"
People,Ancestry,English,"122,104","(+/-7,836)","123,594","(+/-6,598)"
People,Ancestry,"French (except Basque)","69,845","(+/-7,304)","80,006","(+/-6,933)"
People,Ancestry,"French Canadian","57,880","(+/-5,522)","47,035","(+/-4,657)"
People,Ancestry,German,"64,332","(+/-6,086)","59,398","(+/-4,750)"
