Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population","713,527","(+/-12,396)","696,764","(+/-12,615)","703,053","(+/-6,013)"
People,"Sex and Age",Male,"354,224","(+/-7,056)","346,005","(+/-7,351)","347,556","(+/-4,672)"
People,"Sex and Age",Female,"359,303","(+/-7,424)","350,759","(+/-8,361)","355,497","(+/-4,568)"
People,"Sex and Age","Under 5 years","35,214","(+/-2,697)","34,792","(+/-2,979)","34,988","(+/-1,927)"
People,"Sex and Age","5 to 9 years","38,617","(+/-3,500)","43,266","(+/-4,333)","41,469","(+/-3,523)"
People,"Sex and Age","10 to 14 years","42,831","(+/-3,030)","47,995","(+/-3,206)","50,358","(+/-3,434)"
People,"Sex and Age","15 to 19 years","42,718","(+/-3,251)","53,298","(+/-3,575)","48,701","(+/-2,589)"
People,"Sex and Age","20 to 24 years","45,675","(+/-2,902)","56,380","(+/-3,229)","43,913","(+/-3,891)"
People,"Sex and Age","25 to 34 years","96,444","(+/-4,846)","96,860","(+/-6,025)","81,010","(+/-4,246)"
People,"Sex and Age","35 to 44 years","96,299","(+/-3,892)","87,479","(+/-4,472)","91,616","(+/-3,583)"
People,"Sex and Age","45 to 54 years","80,038","(+/-3,447)","77,408","(+/-4,082)","80,827","(+/-3,632)"
People,"Sex and Age","55 to 59 years","43,420","(+/-2,836)","39,301","(+/-3,197)","41,342","(+/-3,077)"
People,"Sex and Age","60 to 64 years","50,422","(+/-3,164)","39,095","(+/-2,926)","46,784","(+/-2,730)"
People,"Sex and Age","65 to 74 years","85,396","(+/-2,689)","71,523","(+/-3,036)","85,062","(+/-2,368)"
People,"Sex and Age","75 to 84 years","42,650","(+/-2,460)","36,944","(+/-2,464)","45,786","(+/-2,039)"
People,"Sex and Age","85 years and over","13,803","(+/-1,660)","12,423","(+/-1,672)","11,197","(+/-1,537)"
People,"Sex and Age","Median age (years)",40.6,(+/-0.6),36.9,(+/-0.6),40.4,(+/-0.5)
People,"Sex and Age","18 years and over","571,261","(+/-8,715)","540,475","(+/-9,199)","546,133","(+/-4,417)"
People,"Sex and Age","65 years and over","141,849","(+/-2,912)","120,890","(+/-3,423)","142,045","(+/-3,081)"
People,Race,"Total population","713,527","(+/-12,396)","696,764","(+/-12,615)","703,053","(+/-6,013)"
People,Race,"One race","543,348","(+/-13,470)","485,398","(+/-16,717)","550,255","(+/-9,480)"
People,Race,White,"399,889","(+/-11,464)","271,018","(+/-11,355)","309,021","(+/-8,772)"
People,Race,"Black or African American","19,324","(+/-3,384)","16,502","(+/-2,935)","9,231","(+/-1,873)"
People,Race,"American Indian and Alaska Native","35,622","(+/-4,348)","36,796","(+/-3,506)","121,993","(+/-4,393)"
People,Race,Asian,"20,198","(+/-2,656)","8,469","(+/-1,667)","9,648","(+/-1,686)"
People,Race,"Native Hawaiian and Other Pacific Islander",885,(+/-451),"1,012","(+/-1,214)",77,(+/-106)
People,Race,"Some other race","67,430","(+/-8,510)","151,601","(+/-13,527)","100,285","(+/-6,282)"
People,Race,"Two or more races","170,179","(+/-10,262)","211,366","(+/-13,117)","152,798","(+/-9,401)"
People,"Hispanic or Latino and Race","Total population","713,527","(+/-12,396)","696,764","(+/-12,615)","703,053","(+/-6,013)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","313,949","(+/-11,804)","433,434","(+/-11,762)","312,484","(+/-5,579)"
People,"Hispanic or Latino and Race",Mexican,"179,509","(+/-12,150)","335,012","(+/-13,291)","178,368","(+/-9,235)"
People,"Hispanic or Latino and Race","Puerto Rican","5,211","(+/-1,846)","2,982","(+/-1,800)","2,462","(+/-1,468)"
People,"Hispanic or Latino and Race",Cuban,"3,314","(+/-1,604)","3,300","(+/-2,634)","1,399",(+/-942)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","125,915","(+/-11,432)","92,140","(+/-9,735)","130,255","(+/-8,335)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","399,578","(+/-6,854)","263,330","(+/-7,396)","390,569","(+/-3,720)"
People,"Place of Birth","Total population","713,527","(+/-12,396)","696,764","(+/-12,615)","703,053","(+/-6,013)"
People,"Place of Birth",Native,"660,020","(+/-12,754)","611,862","(+/-13,417)","644,589","(+/-7,193)"
People,"Place of Birth","Born in United States","648,781","(+/-12,915)","602,877","(+/-13,250)","638,408","(+/-7,449)"
People,"Place of Birth","State of residence","365,659","(+/-11,420)","357,445","(+/-13,051)","400,006","(+/-10,023)"
People,"Place of Birth","Different state","283,122","(+/-9,143)","245,432","(+/-9,338)","238,402","(+/-8,719)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","11,239","(+/-1,996)","8,985","(+/-2,146)","6,181","(+/-1,629)"
People,"Place of Birth","Foreign born","53,507","(+/-5,648)","84,902","(+/-6,629)","58,464","(+/-5,939)"
People,Ancestry,"Total population","713,527","(+/-12,396)","696,764","(+/-12,615)","703,053","(+/-6,013)"
People,Ancestry,American,"26,061","(+/-3,673)","24,749","(+/-5,417)","24,387","(+/-4,183)"
People,Ancestry,Arab,"3,112","(+/-1,396)","1,721","(+/-1,111)",814,(+/-458)
People,Ancestry,Czech,"1,877",(+/-780),"2,035","(+/-1,359)","1,204",(+/-650)
People,Ancestry,Danish,"4,248","(+/-1,409)","2,255",(+/-873),"1,818",(+/-936)
People,Ancestry,Dutch,"5,198","(+/-1,074)","2,606",(+/-930),"4,462","(+/-1,530)"
People,Ancestry,English,"70,844","(+/-5,609)","45,072","(+/-5,336)","53,598","(+/-4,134)"
People,Ancestry,"French (except Basque)","13,034","(+/-2,280)","6,011","(+/-1,522)","9,900","(+/-2,095)"
People,Ancestry,"French Canadian","2,220",(+/-911),"1,089",(+/-724),"1,734",(+/-717)
People,Ancestry,German,"73,340","(+/-6,656)","39,345","(+/-5,113)","55,062","(+/-5,107)"
People,Ancestry,Greek,"1,896",(+/-692),784,(+/-620),"1,610","(+/-1,092)"
People,Ancestry,Hungarian,"2,191","(+/-1,093)",950,(+/-626),743,(+/-525)
People,Ancestry,Irish,"60,538","(+/-5,959)","30,599","(+/-4,109)","44,142","(+/-4,830)"
People,Ancestry,Italian,"27,727","(+/-3,640)","8,760","(+/-2,099)","11,866","(+/-1,950)"
People,Ancestry,Lithuanian,"1,507",(+/-750),159,(+/-199),516,(+/-305)
People,Ancestry,Norwegian,"6,015","(+/-1,437)","5,292","(+/-1,802)","5,298","(+/-1,389)"
People,Ancestry,Polish,"11,796","(+/-2,391)","5,129","(+/-1,640)","6,184","(+/-2,314)"
People,Ancestry,Portuguese,"2,064","(+/-1,046)","2,754","(+/-1,793)",768,(+/-462)
People,Ancestry,Russian,"3,969","(+/-1,365)",923,(+/-658),"3,243","(+/-1,076)"
People,Ancestry,Scotch-Irish,"7,084","(+/-1,508)","4,300","(+/-1,612)","6,290","(+/-1,892)"
People,Ancestry,Scottish,"19,088","(+/-3,105)","9,723","(+/-2,703)","9,129","(+/-1,963)"
People,Ancestry,Slovak,"1,294",(+/-707),260,(+/-391),434,(+/-319)
People,Ancestry,"Subsaharan African","4,040","(+/-1,697)","1,910",(+/-983),"1,855",(+/-922)
People,Ancestry,Swedish,"7,119","(+/-1,460)","4,816","(+/-1,508)","5,837","(+/-1,505)"
People,Ancestry,Swiss,"1,420",(+/-667),"1,024",(+/-906),"1,234",(+/-402)
People,Ancestry,Ukrainian,"1,038",(+/-544),535,(+/-520),612,(+/-393)
People,Ancestry,Welsh,"6,180","(+/-1,588)","2,493",(+/-970),"3,654","(+/-1,407)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",986,(+/-660),"1,325","(+/-1,027)",283,(+/-183)
People,"Veteran Status","Civilian population 18 years and over","567,151","(+/-8,814)","532,539","(+/-9,670)","541,618","(+/-4,682)"
People,"Veteran Status","Civilian veterans","50,648","(+/-3,685)","46,259","(+/-3,420)","39,297","(+/-3,414)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","705,546","(+/-12,505)","678,628","(+/-13,024)","690,177","(+/-6,308)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","110,394","(+/-6,038)","129,885","(+/-7,304)","115,361","(+/-5,685)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","142,058","(+/-6,045)","156,042","(+/-6,442)","156,562","(+/-4,063)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,365","(+/-1,898)","12,352","(+/-2,429)","7,389","(+/-1,787)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","422,977","(+/-8,478)","403,513","(+/-9,362)","393,077","(+/-4,777)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","54,629","(+/-4,541)","66,396","(+/-5,340)","54,555","(+/-4,414)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,511","(+/-2,905)","119,073","(+/-3,455)","140,538","(+/-3,127)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,400","(+/-3,334)","51,137","(+/-3,026)","53,417","(+/-2,933)"
People,"Residence 1 Year Ago","Population 1 year and over","706,849","(+/-12,594)","688,088","(+/-12,284)","697,628","(+/-5,804)"
People,"Residence 1 Year Ago","Same house","613,976","(+/-13,490)","608,257","(+/-11,715)","624,241","(+/-7,538)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","92,873","(+/-7,875)","79,831","(+/-8,946)","73,387","(+/-6,588)"
People,"Residence 1 Year Ago","Different house in the U.S.","90,093","(+/-7,910)","75,226","(+/-9,192)","71,194","(+/-6,681)"
People,"Residence 1 Year Ago","Same county","44,126","(+/-6,189)","40,799","(+/-6,191)","37,490","(+/-5,053)"
People,"Residence 1 Year Ago","Different county","45,967","(+/-5,662)","34,427","(+/-5,723)","33,704","(+/-3,948)"
People,"Residence 1 Year Ago","Same state","16,688","(+/-3,490)","11,347","(+/-3,087)","13,968","(+/-2,705)"
People,"Residence 1 Year Ago","Different state","29,279","(+/-3,877)","23,080","(+/-4,163)","19,736","(+/-3,147)"
People,"Residence 1 Year Ago",Abroad,"2,780",(+/-947),"4,605","(+/-2,238)","2,193",(+/-945)
Workers,"Employment Status","Population 16 years and over","585,343","(+/-8,910)","559,625","(+/-9,734)","565,491","(+/-4,488)"
Workers,"Employment Status","In labor force","363,322","(+/-8,746)","316,388","(+/-8,835)","321,002","(+/-7,293)"
Workers,"Employment Status","Civilian labor force","359,212","(+/-9,045)","308,452","(+/-9,200)","316,487","(+/-7,535)"
Workers,"Employment Status",Employed,"345,837","(+/-9,273)","291,397","(+/-9,474)","299,793","(+/-7,163)"
Workers,"Employment Status",Unemployed,"13,375","(+/-2,634)","17,055","(+/-3,223)","16,694","(+/-2,068)"
Workers,"Employment Status","Armed Forces","4,110","(+/-1,347)","7,936","(+/-1,614)","4,515","(+/-1,119)"
Workers,"Employment Status","Not in labor force","222,021","(+/-6,934)","243,237","(+/-7,198)","244,489","(+/-7,038)"
Workers,"Employment Status","Civilian labor force","359,212","(+/-9,045)","308,452","(+/-9,200)","316,487","(+/-7,535)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.7),5.5,(+/-1.0),5.3,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","344,812","(+/-8,764)","294,852","(+/-9,088)","298,129","(+/-7,152)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","242,448","(+/-8,823)","222,637","(+/-9,362)","222,253","(+/-6,660)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","33,575","(+/-4,682)","31,556","(+/-4,854)","29,307","(+/-3,747)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","3,653","(+/-1,319)","1,149",(+/-614),"1,663",(+/-851)
Workers,"Commuting to Work",Walked,"6,167","(+/-1,424)","6,123","(+/-1,339)","8,036","(+/-1,647)"
Workers,"Commuting to Work","Other means","7,450","(+/-1,812)","4,542","(+/-1,312)","4,858","(+/-1,371)"
Workers,"Commuting to Work","Worked from home","51,519","(+/-3,604)","28,845","(+/-3,337)","32,012","(+/-3,259)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.0,(+/-1.0),23.2,(+/-0.9),22.8,(+/-1.0)
Workers,Occupation,"Civilian employed population 16 years and over","345,837","(+/-9,273)","291,397","(+/-9,474)","299,793","(+/-7,163)"
Workers,Occupation,"Management, business, science, and arts occupations","165,210","(+/-7,285)","99,597","(+/-5,351)","112,265","(+/-6,774)"
Workers,Occupation,"Service occupations","55,969","(+/-4,629)","61,844","(+/-5,405)","61,272","(+/-4,739)"
Workers,Occupation,"Sales and office occupations","69,072","(+/-4,882)","57,454","(+/-4,868)","58,231","(+/-4,500)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","26,506","(+/-3,398)","40,385","(+/-4,589)","35,716","(+/-3,136)"
Workers,Occupation,"Production, transportation, and material moving occupations","29,080","(+/-3,674)","32,117","(+/-4,066)","32,309","(+/-3,854)"
Workers,Industry,"Civilian employed population 16 years and over","345,837","(+/-9,273)","291,397","(+/-9,474)","299,793","(+/-7,163)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,900","(+/-1,237)","11,065","(+/-2,233)","12,994","(+/-2,270)"
Workers,Industry,Construction,"20,733","(+/-3,076)","28,367","(+/-4,406)","22,153","(+/-2,869)"
Workers,Industry,Manufacturing,"18,000","(+/-2,610)","12,655","(+/-2,423)","10,338","(+/-1,917)"
Workers,Industry,"Wholesale trade","5,817","(+/-1,592)","5,291","(+/-1,646)","2,323",(+/-928)
Workers,Industry,"Retail trade","38,311","(+/-3,865)","30,381","(+/-4,095)","34,725","(+/-3,451)"
Workers,Industry,"Transportation and warehousing, and utilities","15,305","(+/-2,438)","17,447","(+/-3,028)","14,647","(+/-2,423)"
Workers,Industry,Information,"5,964","(+/-1,518)","5,437","(+/-1,978)","5,221","(+/-1,437)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,068","(+/-3,056)","13,188","(+/-2,621)","10,894","(+/-1,892)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","50,708","(+/-4,264)","31,683","(+/-3,193)","34,437","(+/-2,757)"
Workers,Industry,"Educational services, and health care and social assistance","91,949","(+/-5,783)","73,888","(+/-4,895)","74,547","(+/-4,632)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","31,374","(+/-3,331)","27,817","(+/-3,481)","34,153","(+/-3,473)"
Workers,Industry,"Other services, except public administration","16,143","(+/-2,133)","12,969","(+/-2,433)","18,239","(+/-2,404)"
Workers,Industry,"Public administration","23,565","(+/-3,784)","21,209","(+/-2,908)","25,122","(+/-2,776)"
Workers,"Class of Worker","Civilian employed population 16 years and over","345,837","(+/-9,273)","291,397","(+/-9,474)","299,793","(+/-7,163)"
Workers,"Class of Worker","Private wage and salary workers","242,661","(+/-8,823)","203,837","(+/-9,245)","196,330","(+/-6,672)"
Workers,"Class of Worker","Government workers","79,254","(+/-5,585)","66,446","(+/-5,287)","76,976","(+/-4,948)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","23,205","(+/-3,236)","19,894","(+/-3,858)","25,094","(+/-2,698)"
Workers,"Class of Worker","Unpaid family workers",717,(+/-395),"1,220","(+/-1,057)","1,393",(+/-745)
Housing,"Housing Occupancy","Total housing units","334,078","(+/-4,398)","299,048","(+/-4,340)","323,617","(+/-3,061)"
Housing,"Housing Occupancy","Occupied housing units","306,671","(+/-4,812)","262,740","(+/-4,976)","278,807","(+/-4,170)"
Housing,"Housing Occupancy","Vacant housing units","27,407","(+/-3,105)","36,308","(+/-3,035)","44,810","(+/-2,935)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.4),1.4,(+/-0.6),1.1,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",5.9,(+/-1.4),4.7,(+/-1.5),4.6,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","306,671","(+/-4,812)","262,740","(+/-4,976)","278,807","(+/-4,170)"
Housing,"Housing Tenure",Owner-occupied,"208,132","(+/-4,339)","193,093","(+/-5,330)","200,441","(+/-4,949)"
Housing,"Housing Tenure",Renter-occupied,"98,539","(+/-4,556)","69,647","(+/-4,704)","78,366","(+/-4,152)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.44,(+/-0.05),2.66,(+/-0.07),2.57,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.99,(+/-0.07),2.37,(+/-0.12),2.20,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units","306,671","(+/-4,812)","262,740","(+/-4,976)","278,807","(+/-4,170)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","56,253","(+/-3,658)","41,420","(+/-3,533)","43,921","(+/-3,042)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","70,966","(+/-4,381)","56,829","(+/-3,809)","48,071","(+/-2,925)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","72,557","(+/-4,346)","62,036","(+/-3,715)","65,539","(+/-3,815)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","48,252","(+/-3,102)","45,532","(+/-3,626)","51,000","(+/-3,374)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","31,227","(+/-2,615)","27,240","(+/-2,690)","31,117","(+/-2,560)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","27,416","(+/-2,665)","29,683","(+/-2,898)","39,159","(+/-2,974)"
Housing,Value,"Owner-occupied units","208,132","(+/-4,339)","193,093","(+/-5,330)","200,441","(+/-4,949)"
Housing,Value,"Less than $50,000","13,165","(+/-2,187)","16,879","(+/-2,069)","25,536","(+/-2,292)"
Housing,Value,"$50,000 to $99,999","7,197","(+/-1,329)","21,831","(+/-2,555)","24,912","(+/-2,588)"
Housing,Value,"$100,000 to $149,999","8,186","(+/-1,576)","20,537","(+/-2,998)","17,979","(+/-1,810)"
Housing,Value,"$150,000 to $199,999","20,490","(+/-2,583)","32,489","(+/-3,418)","22,280","(+/-2,400)"
Housing,Value,"$200,000 to $299,999","57,599","(+/-4,359)","54,156","(+/-3,825)","34,438","(+/-3,186)"
Housing,Value,"$300,000 to $499,999","73,075","(+/-3,600)","37,814","(+/-3,410)","41,561","(+/-3,051)"
