Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Sex and Age","Total population","775,158","(+/-10,517)","775,081","(+/-12,243)","771,208","(+/-13,673)","771,912","(+/-5,694)","751,997","(+/-19,445)","752,577","(+/-21,452)","699,930","(+/-22,305)","754,074","(+/-22,707)","756,507","(+/-19,730)","706,151","(+/-22,940)","740,025","(+/-15,772)","705,008","(+/-18,433)","770,616","(+/-17,104)","730,392","(+/-24,137)","727,699","(+/-19,070)","756,711","(+/-8,968)","771,464","(+/-5,646)","786,432","(+/-5,778)","768,600","(+/-4,934)","781,546","(+/-2,677)","776,361","(+/-4,479)","764,843",(+/-490),"770,357","(+/-5,328)","774,173","(+/-4,632)","768,169","(+/-2,075)","770,160","(+/-6,228)"
People,"Sex and Age",Male,"380,571","(+/-6,813)","389,771","(+/-7,658)","375,937","(+/-9,259)","380,887","(+/-4,602)","361,700","(+/-10,411)","364,978","(+/-11,282)","341,411","(+/-13,390)","357,976","(+/-12,926)","357,065","(+/-10,258)","336,891","(+/-13,929)","362,737","(+/-8,579)","338,924","(+/-10,689)","366,533","(+/-9,945)","360,144","(+/-14,114)","345,630","(+/-11,395)","366,070","(+/-5,909)","385,533","(+/-4,290)","391,580","(+/-3,454)","384,622","(+/-3,447)","384,417","(+/-2,482)","398,246","(+/-2,767)","376,156","(+/-1,108)","381,664","(+/-4,695)","388,619","(+/-3,019)","373,568","(+/-1,395)","377,269","(+/-4,637)"
People,"Sex and Age",Female,"394,587","(+/-6,948)","385,310","(+/-7,420)","395,271","(+/-8,067)","391,025","(+/-5,027)","390,297","(+/-11,701)","387,599","(+/-13,490)","358,519","(+/-13,611)","396,098","(+/-12,507)","399,442","(+/-12,510)","369,260","(+/-12,254)","377,288","(+/-8,600)","366,084","(+/-11,673)","404,083","(+/-11,871)","370,248","(+/-13,620)","382,069","(+/-11,548)","390,641","(+/-6,325)","385,931","(+/-4,479)","394,852","(+/-3,523)","383,978","(+/-3,658)","397,129","(+/-2,740)","378,115","(+/-2,846)","388,687","(+/-1,069)","388,693","(+/-4,175)","385,554","(+/-3,746)","394,601","(+/-1,130)","392,891","(+/-4,831)"
People,"Sex and Age","Under 5 years","38,337","(+/-2,505)","41,226","(+/-2,599)","37,345","(+/-3,022)","39,250","(+/-2,380)","43,419","(+/-3,520)","41,429","(+/-4,128)","43,994","(+/-6,023)","44,166","(+/-5,644)","53,384","(+/-5,606)","39,350","(+/-4,783)","37,914","(+/-2,173)","30,892","(+/-3,453)","40,013","(+/-3,799)","44,706","(+/-4,414)","43,624","(+/-4,486)","40,357","(+/-2,612)","48,136","(+/-2,441)","43,718","(+/-1,046)","32,428","(+/-1,503)","35,889",(+/-871),"39,945","(+/-1,492)","40,732",(+/-386),"39,150","(+/-2,083)","38,113","(+/-1,403)","38,944",(+/-326),"38,994","(+/-2,291)"
People,"Sex and Age","5 to 9 years","39,065","(+/-3,694)","42,829","(+/-4,356)","38,353","(+/-3,102)","45,795","(+/-3,619)","40,965","(+/-3,331)","42,061","(+/-4,593)","35,114","(+/-4,652)","42,846","(+/-3,885)","46,921","(+/-4,278)","34,102","(+/-4,241)","44,641","(+/-3,801)","20,325","(+/-3,601)","37,931","(+/-4,630)","41,883","(+/-5,112)","47,751","(+/-4,569)","44,378","(+/-3,262)","50,101","(+/-2,759)","44,175","(+/-2,937)","32,908","(+/-2,177)","41,004","(+/-2,975)","40,478","(+/-2,142)","41,593","(+/-2,352)","46,734","(+/-3,007)","42,733","(+/-2,777)","40,043","(+/-2,560)","45,304","(+/-3,517)"
People,"Sex and Age","10 to 14 years","44,980","(+/-4,473)","48,016","(+/-3,573)","46,849","(+/-3,846)","51,862","(+/-3,755)","44,905","(+/-3,886)","39,752","(+/-4,299)","33,872","(+/-4,892)","50,542","(+/-5,516)","48,814","(+/-5,242)","33,517","(+/-4,126)","46,407","(+/-3,428)","22,830","(+/-3,509)","51,426","(+/-4,472)","47,662","(+/-4,921)","52,283","(+/-4,626)","46,570","(+/-3,251)","52,996","(+/-2,957)","49,841","(+/-3,061)","41,694","(+/-2,296)","42,696","(+/-3,241)","42,687","(+/-2,099)","48,308","(+/-2,328)","42,244","(+/-2,966)","44,432","(+/-2,496)","46,744","(+/-2,587)","39,756","(+/-2,933)"
People,"Sex and Age","15 to 19 years","51,435","(+/-2,996)","48,098","(+/-3,077)","45,575","(+/-3,096)","48,558","(+/-2,890)","45,171","(+/-3,389)","35,284","(+/-3,102)","32,528","(+/-4,168)","40,553","(+/-3,944)","43,154","(+/-3,910)","37,826","(+/-3,321)","43,553","(+/-2,585)","21,900","(+/-2,540)","44,762","(+/-4,068)","39,976","(+/-4,426)","52,318","(+/-3,859)","50,726","(+/-3,354)","52,613","(+/-2,725)","56,051","(+/-1,780)","59,265","(+/-2,590)","54,322","(+/-2,500)","47,425","(+/-1,576)","53,513","(+/-1,373)","46,435","(+/-2,422)","46,424","(+/-1,811)","52,603","(+/-1,036)","48,677","(+/-2,596)"
People,"Sex and Age","20 to 24 years","53,143","(+/-2,923)","49,812","(+/-3,086)","44,538","(+/-3,069)","47,204","(+/-2,656)","46,492","(+/-3,291)","35,605","(+/-3,682)","49,418","(+/-4,422)","45,984","(+/-4,376)","40,915","(+/-3,611)","51,475","(+/-4,301)","45,362","(+/-2,516)","37,358","(+/-4,115)","55,721","(+/-4,442)","50,609","(+/-4,699)","50,839","(+/-4,063)","46,205","(+/-3,114)","50,526","(+/-2,877)","59,565","(+/-2,156)","64,209","(+/-2,917)","65,123","(+/-2,386)","54,904","(+/-2,166)","53,327","(+/-2,107)","42,739","(+/-2,382)","50,899","(+/-2,368)","51,212","(+/-1,033)","55,808","(+/-2,402)"
People,"Sex and Age","25 to 34 years","82,058","(+/-4,485)","107,328","(+/-4,652)","84,227","(+/-6,083)","95,991","(+/-4,564)","98,486","(+/-5,806)","103,862","(+/-5,966)","168,275","(+/-8,553)","115,810","(+/-7,997)","123,827","(+/-6,769)","130,427","(+/-8,319)","93,999","(+/-3,378)","155,083","(+/-6,645)","130,933","(+/-6,784)","116,747","(+/-7,162)","112,855","(+/-5,798)","90,642","(+/-4,372)","82,949","(+/-4,414)","94,571","(+/-2,457)","90,487","(+/-2,561)","100,916","(+/-2,833)","92,356","(+/-2,374)","93,578","(+/-1,893)","87,514","(+/-3,293)","92,919","(+/-2,547)","104,876",(+/-673),"111,534","(+/-3,267)"
People,"Sex and Age","35 to 44 years","87,880","(+/-4,497)","97,224","(+/-4,630)","89,317","(+/-4,457)","100,795","(+/-3,178)","91,552","(+/-4,936)","104,591","(+/-6,040)","114,431","(+/-6,148)","99,032","(+/-5,883)","97,854","(+/-5,939)","110,378","(+/-6,965)","96,916","(+/-3,856)","106,703","(+/-5,476)","109,948","(+/-5,604)","97,101","(+/-6,118)","92,460","(+/-4,851)","100,320","(+/-3,390)","94,017","(+/-3,288)","98,528","(+/-2,452)","86,946","(+/-2,101)","96,572","(+/-2,709)","92,587","(+/-2,106)","91,865","(+/-1,515)","91,359","(+/-4,004)","95,244","(+/-2,072)","95,894",(+/-534),"97,280","(+/-4,040)"
