Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","753,536","(+/-3,864)","779,106","(+/-11,154)","756,848","(+/-6,634)","761,039",(+/-330),"754,512","(+/-8,183)","751,852","(+/-7,558)","774,574","(+/-3,997)","760,699","(+/-7,094)","769,258","(+/-7,777)","768,814","(+/-5,865)","756,051","(+/-3,922)","770,376","(+/-14,600)","776,185","(+/-13,612)","766,123","(+/-14,373)"
People,"Sex and Age",Male,"366,031","(+/-3,325)","383,141","(+/-6,916)","384,266","(+/-4,276)","364,474","(+/-1,825)","367,055","(+/-5,020)","359,627","(+/-4,336)","376,186","(+/-3,563)","375,332","(+/-4,992)","377,769","(+/-4,735)","384,096","(+/-3,968)","362,337","(+/-2,967)","374,813","(+/-8,534)","383,629","(+/-8,371)","371,036","(+/-8,777)"
People,"Sex and Age",Female,"387,505","(+/-3,349)","395,965","(+/-6,672)","372,582","(+/-4,281)","396,565","(+/-1,902)","387,457","(+/-5,597)","392,225","(+/-4,761)","398,388","(+/-3,009)","385,367","(+/-5,092)","391,489","(+/-5,131)","384,718","(+/-3,743)","393,714","(+/-3,733)","395,563","(+/-9,951)","392,556","(+/-7,870)","395,087","(+/-8,906)"
People,"Sex and Age","Under 5 years","38,424","(+/-1,756)","43,997","(+/-2,887)","46,065","(+/-1,578)","37,783",(+/-723),"38,908","(+/-1,695)","39,073","(+/-1,198)","39,058","(+/-1,808)","40,833","(+/-1,686)","51,122","(+/-2,697)","38,683","(+/-1,823)","32,048","(+/-1,592)","46,528","(+/-3,572)","43,270","(+/-3,336)","48,700","(+/-3,313)"
People,"Sex and Age","5 to 9 years","43,463","(+/-2,757)","49,757","(+/-3,969)","46,844","(+/-3,356)","36,358","(+/-3,089)","38,343","(+/-3,425)","42,810","(+/-3,437)","42,104","(+/-2,752)","44,059","(+/-3,410)","48,191","(+/-3,605)","48,359","(+/-3,457)","35,367","(+/-3,029)","52,253","(+/-4,447)","50,699","(+/-4,444)","42,659","(+/-4,010)"
People,"Sex and Age","10 to 14 years","48,205","(+/-2,772)","45,954","(+/-4,370)","45,952","(+/-2,719)","49,336","(+/-3,207)","47,502","(+/-4,201)","48,202","(+/-3,554)","49,157","(+/-2,853)","54,948","(+/-3,169)","51,824","(+/-3,266)","44,170","(+/-3,104)","41,084","(+/-2,956)","52,007","(+/-4,261)","54,234","(+/-4,351)","45,743","(+/-3,318)"
People,"Sex and Age","15 to 19 years","49,273","(+/-3,370)","53,319","(+/-3,048)","48,176","(+/-3,329)","57,128","(+/-2,747)","54,086","(+/-3,070)","59,251","(+/-2,351)","47,070","(+/-2,513)","52,549","(+/-2,510)","46,770","(+/-2,973)","44,058","(+/-2,578)","40,685","(+/-2,171)","54,327","(+/-4,389)","52,042","(+/-3,145)","45,312","(+/-3,545)"
People,"Sex and Age","20 to 24 years","55,689","(+/-3,845)","56,724","(+/-3,119)","65,209","(+/-3,767)","62,318","(+/-2,927)","53,715","(+/-3,800)","55,476","(+/-2,253)","51,792","(+/-2,499)","46,381","(+/-2,697)","55,723","(+/-2,957)","47,253","(+/-3,024)","42,823","(+/-2,541)","51,023","(+/-4,064)","44,014","(+/-3,774)","50,591","(+/-3,810)"
People,"Sex and Age","25 to 34 years","93,026","(+/-5,173)","116,679","(+/-5,028)","98,749","(+/-4,613)","108,941","(+/-2,710)","87,558","(+/-3,789)","94,359","(+/-2,875)","90,498","(+/-3,250)","90,108","(+/-3,437)","112,296","(+/-3,875)","92,782","(+/-3,392)","86,561","(+/-3,533)","118,348","(+/-6,186)","101,537","(+/-5,654)","128,987","(+/-6,126)"
People,"Sex and Age","35 to 44 years","89,243","(+/-4,791)","119,320","(+/-4,057)","90,770","(+/-3,580)","99,267","(+/-2,276)","86,063","(+/-2,889)","91,215","(+/-3,184)","95,374","(+/-3,701)","93,793","(+/-3,214)","96,117","(+/-4,025)","90,885","(+/-3,307)","93,197","(+/-2,658)","110,666","(+/-4,543)","109,071","(+/-5,056)","111,703","(+/-4,185)"
People,"Sex and Age","45 to 54 years","86,979","(+/-3,195)","105,743","(+/-4,568)","80,813","(+/-2,698)","93,301","(+/-2,391)","93,857","(+/-3,597)","94,534","(+/-2,948)","92,082","(+/-2,708)","106,728","(+/-2,946)","84,099","(+/-3,067)","106,469","(+/-3,227)","89,581","(+/-2,441)","101,745","(+/-4,076)","109,573","(+/-5,065)","100,390","(+/-3,378)"
People,"Sex and Age","55 to 59 years","47,813","(+/-2,873)","46,619","(+/-3,267)","43,559","(+/-2,954)","44,768","(+/-2,907)","48,765","(+/-3,048)","47,159","(+/-3,165)","47,949","(+/-2,855)","51,597","(+/-3,691)","42,337","(+/-2,876)","54,016","(+/-3,200)","49,513","(+/-3,176)","46,556","(+/-4,006)","48,994","(+/-3,369)","44,368","(+/-3,140)"
People,"Sex and Age","60 to 64 years","52,760","(+/-2,882)","41,949","(+/-3,242)","50,447","(+/-3,216)","47,737","(+/-3,109)","53,643","(+/-3,281)","51,361","(+/-3,237)","56,108","(+/-2,854)","50,100","(+/-3,435)","48,359","(+/-2,812)","53,800","(+/-3,200)","57,029","(+/-3,014)","42,028","(+/-3,469)","48,236","(+/-3,502)","44,929","(+/-3,022)"
People,"Sex and Age","65 to 74 years","90,410","(+/-1,917)","56,592","(+/-3,273)","84,724","(+/-2,251)","75,081","(+/-1,677)","89,269","(+/-2,155)","75,966","(+/-2,138)","100,891","(+/-1,632)","77,197","(+/-1,601)","76,407","(+/-2,054)","87,199","(+/-2,389)","108,417","(+/-1,579)","58,510","(+/-3,203)","74,069","(+/-3,367)","61,036","(+/-3,178)"
People,"Sex and Age","75 to 84 years","44,195","(+/-1,901)","32,469","(+/-2,422)","43,210","(+/-1,810)","37,316","(+/-1,540)","45,251","(+/-2,261)","40,441","(+/-1,960)","49,611","(+/-2,038)","40,149","(+/-2,016)","43,907","(+/-2,084)","47,899","(+/-2,010)","60,223","(+/-2,053)","28,550","(+/-2,086)","31,559","(+/-2,059)","31,982","(+/-1,941)"
