Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","779,261",(*****)
People,"Sex and Age",Male,"398,845","(+/-2,106)"
People,"Sex and Age",Female,"380,416","(+/-2,106)"
People,"Sex and Age","Under 5 years","47,844","(+/-1,371)"
People,"Sex and Age","5 to 9 years","52,217","(+/-3,426)"
People,"Sex and Age","10 to 14 years","51,533","(+/-3,345)"
People,"Sex and Age","15 to 19 years","55,008","(+/-2,447)"
People,"Sex and Age","20 to 24 years","57,873","(+/-2,507)"
People,"Sex and Age","25 to 34 years","112,725","(+/-3,077)"
People,"Sex and Age","35 to 44 years","106,486","(+/-3,191)"
People,"Sex and Age","45 to 54 years","75,736","(+/-2,146)"
People,"Sex and Age","55 to 59 years","42,226","(+/-2,266)"
People,"Sex and Age","60 to 64 years","47,320","(+/-2,212)"
People,"Sex and Age","65 to 74 years","75,806","(+/-1,021)"
People,"Sex and Age","75 to 84 years","37,296","(+/-1,584)"
People,"Sex and Age","85 years and over","17,191","(+/-1,640)"
People,"Sex and Age","Median age (years)",36.2,(+/-0.3)
People,"Sex and Age","18 years and over","598,296","(+/-1,101)"
People,"Sex and Age","65 years and over","130,293","(+/-1,093)"
People,Race,"Total population","779,261",(*****)
People,Race,"One race","738,441","(+/-4,654)"
People,Race,White,"648,124","(+/-3,298)"
People,Race,"Black or African American","25,514","(+/-2,555)"
People,Race,"American Indian and Alaska Native","34,458","(+/-2,590)"
People,Race,Asian,"12,314","(+/-1,363)"
People,Race,"Native Hawaiian and Other Pacific Islander","2,745","(+/-2,166)"
People,Race,"Some other race","15,286","(+/-3,346)"
People,Race,"Two or more races","40,820","(+/-4,654)"
People,"Hispanic or Latino and Race","Total population","779,261",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","34,233",(+/-782)
People,"Hispanic or Latino and Race",Mexican,"18,956","(+/-2,313)"
People,"Hispanic or Latino and Race","Puerto Rican","5,409","(+/-2,009)"
People,"Hispanic or Latino and Race",Cuban,512,(+/-334)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","9,356","(+/-2,205)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","745,028",(+/-782)
People,"Place of Birth","Total population","779,261",(*****)
People,"Place of Birth",Native,"740,906","(+/-3,952)"
People,"Place of Birth","Born in United States","729,210","(+/-4,610)"
People,"Place of Birth","State of residence","483,568","(+/-8,469)"
People,"Place of Birth","Different state","245,642","(+/-7,329)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","11,696","(+/-2,431)"
People,"Place of Birth","Foreign born","38,355","(+/-3,952)"
People,Ancestry,"Total population","779,261",(*****)
People,Ancestry,American,"24,686","(+/-4,238)"
People,Ancestry,Arab,"2,565","(+/-1,430)"
People,Ancestry,Czech,"9,620","(+/-1,664)"
People,Ancestry,Danish,"6,477","(+/-1,373)"
People,Ancestry,Dutch,"6,752","(+/-1,358)"
People,Ancestry,English,"35,747","(+/-4,071)"
People,Ancestry,"French (except Basque)","18,199","(+/-2,335)"
People,Ancestry,"French Canadian","3,965","(+/-1,245)"
People,Ancestry,German,"279,154","(+/-9,394)"
People,Ancestry,Greek,516,(+/-343)
People,Ancestry,Hungarian,"1,875",(+/-828)
People,Ancestry,Irish,"55,955","(+/-4,805)"
People,Ancestry,Italian,"11,308","(+/-2,498)"
People,Ancestry,Lithuanian,398,(+/-407)
People,Ancestry,Norwegian,"159,559","(+/-7,520)"
People,Ancestry,Polish,"15,033","(+/-2,166)"
People,Ancestry,Portuguese,674,(+/-421)
People,Ancestry,Russian,"16,152","(+/-2,724)"
People,Ancestry,Scotch-Irish,"3,591","(+/-1,063)"
People,Ancestry,Scottish,"8,705","(+/-1,821)"
People,Ancestry,Slovak,178,(+/-159)
People,Ancestry,"Subsaharan African","14,004","(+/-2,952)"
People,Ancestry,Swedish,"23,176","(+/-2,938)"
People,Ancestry,Swiss,"2,134",(+/-844)
People,Ancestry,Ukrainian,"3,532","(+/-1,188)"
People,Ancestry,Welsh,"2,563","(+/-1,061)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,442","(+/-1,856)"
People,"Veteran Status","Civilian population 18 years and over","591,739","(+/-1,645)"
People,"Veteran Status","Civilian veterans","38,774","(+/-2,982)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","762,522","(+/-1,221)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","92,708","(+/-5,081)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","180,778","(+/-1,102)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","8,181","(+/-1,663)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","457,955","(+/-1,812)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,627","(+/-3,908)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","123,789","(+/-1,172)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","37,900","(+/-2,252)"
People,"Residence 1 Year Ago","Population 1 year and over","770,498","(+/-1,506)"
People,"Residence 1 Year Ago","Same house","648,407","(+/-8,044)"
