Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,"Sex and Age","Total population","790,801","(+/-8,250)","786,489","(+/-2,460)","785,836","(+/-12,928)","799,350","(+/-4,118)","785,544","(+/-3,063)","778,876","(+/-5,699)","774,125","(+/-8,460)","781,678","(+/-8,564)","780,071","(+/-2,881)","782,035","(+/-2,829)","769,169","(+/-8,394)","793,038","(+/-6,156)","778,868","(+/-3,232)","784,361",(+/-854),"785,817","(+/-14,780)"
People,"Sex and Age",Male,"386,487","(+/-5,200)","393,908","(+/-2,266)","382,336","(+/-8,477)","403,466","(+/-2,840)","389,919","(+/-2,795)","388,650","(+/-3,593)","379,871","(+/-5,769)","387,494","(+/-5,934)","385,314","(+/-2,447)","382,124","(+/-2,040)","367,079","(+/-5,678)","397,157","(+/-3,595)","379,627","(+/-2,659)","391,720","(+/-1,831)","395,059","(+/-9,395)"
People,"Sex and Age",Female,"404,314","(+/-5,477)","392,581","(+/-2,607)","403,500","(+/-7,213)","395,884","(+/-2,687)","395,625","(+/-2,446)","390,226","(+/-3,960)","394,254","(+/-4,916)","394,184","(+/-5,003)","394,757","(+/-2,249)","399,911","(+/-2,123)","402,090","(+/-4,823)","395,881","(+/-3,743)","399,241","(+/-2,630)","392,641","(+/-1,743)","390,758","(+/-8,369)"
People,"Sex and Age","Under 5 years","43,320","(+/-3,199)","44,678","(+/-1,308)","45,885","(+/-2,718)","44,596","(+/-1,335)","44,323","(+/-1,267)","39,695","(+/-1,846)","39,138","(+/-2,342)","49,382","(+/-3,104)","43,288","(+/-1,494)","45,294","(+/-1,606)","43,434","(+/-2,269)","45,208","(+/-1,612)","41,200","(+/-1,435)","38,541","(+/-1,226)","53,214","(+/-3,362)"
People,"Sex and Age","5 to 9 years","47,847","(+/-3,930)","48,410","(+/-3,141)","49,277","(+/-4,024)","45,159","(+/-3,006)","48,480","(+/-3,153)","42,087","(+/-2,673)","43,844","(+/-3,309)","51,360","(+/-3,797)","41,674","(+/-2,817)","48,780","(+/-2,729)","42,262","(+/-3,716)","47,048","(+/-2,709)","46,641","(+/-3,244)","38,539","(+/-3,048)","50,078","(+/-3,470)"
People,"Sex and Age","10 to 14 years","53,733","(+/-4,042)","49,230","(+/-3,052)","52,188","(+/-3,669)","57,184","(+/-2,979)","48,048","(+/-2,833)","45,607","(+/-2,779)","47,968","(+/-3,610)","50,246","(+/-3,656)","54,004","(+/-2,829)","44,835","(+/-2,953)","45,282","(+/-3,333)","54,521","(+/-3,037)","46,217","(+/-3,061)","49,122","(+/-3,328)","49,685","(+/-4,965)"
People,"Sex and Age","15 to 19 years","57,375","(+/-2,603)","49,386","(+/-2,188)","56,243","(+/-2,565)","55,094","(+/-2,570)","54,039","(+/-2,040)","47,862","(+/-2,152)","48,708","(+/-2,273)","49,855","(+/-2,627)","50,293","(+/-2,049)","50,748","(+/-1,581)","42,792","(+/-2,131)","56,600","(+/-1,939)","44,839","(+/-1,834)","50,155","(+/-1,479)","43,948","(+/-2,992)"
People,"Sex and Age","20 to 24 years","55,368","(+/-2,628)","46,129","(+/-2,137)","63,019","(+/-3,461)","49,858","(+/-2,676)","55,263","(+/-2,148)","46,077","(+/-2,742)","40,370","(+/-2,879)","51,347","(+/-2,955)","46,412","(+/-2,059)","54,572","(+/-1,453)","55,467","(+/-2,685)","55,664","(+/-2,607)","47,964","(+/-2,240)","54,659","(+/-1,725)","44,471","(+/-3,748)"
People,"Sex and Age","25 to 34 years","111,207","(+/-4,335)","93,303","(+/-2,313)","133,171","(+/-5,268)","93,798","(+/-2,285)","90,399","(+/-2,225)","92,147","(+/-2,907)","88,780","(+/-3,733)","99,921","(+/-4,582)","99,954","(+/-1,919)","105,301","(+/-2,301)","122,107","(+/-3,476)","90,071","(+/-2,054)","100,361","(+/-2,717)","90,889","(+/-1,817)","127,662","(+/-5,809)"
People,"Sex and Age","35 to 44 years","106,772","(+/-4,025)","102,341","(+/-2,039)","112,958","(+/-4,557)","102,614","(+/-2,333)","93,544","(+/-2,181)","89,602","(+/-3,224)","99,258","(+/-3,730)","94,852","(+/-4,151)","94,011","(+/-2,278)","95,613","(+/-1,770)","91,674","(+/-3,548)","100,546","(+/-2,765)","94,722","(+/-2,795)","89,251","(+/-2,373)","107,670","(+/-4,876)"
People,"Sex and Age","45 to 54 years","93,944","(+/-3,400)","97,951","(+/-1,229)","86,835","(+/-4,046)","103,162","(+/-2,382)","95,544","(+/-1,969)","91,554","(+/-2,566)","96,162","(+/-3,295)","89,455","(+/-3,351)","93,469","(+/-2,046)","87,003","(+/-1,662)","84,340","(+/-3,233)","98,257","(+/-2,461)","95,008","(+/-2,238)","94,455","(+/-1,862)","95,300","(+/-4,144)"
People,"Sex and Age","55 to 59 years","44,037","(+/-3,162)","51,553","(+/-3,132)","40,141","(+/-3,228)","51,906","(+/-2,411)","49,109","(+/-2,360)","51,824","(+/-2,818)","49,383","(+/-2,877)","48,650","(+/-3,352)","46,998","(+/-2,579)","51,019","(+/-2,989)","48,333","(+/-2,995)","54,293","(+/-3,004)","50,869","(+/-3,269)","52,302","(+/-3,204)","49,750","(+/-3,629)"
People,"Sex and Age","60 to 64 years","53,085","(+/-3,187)","57,456","(+/-3,226)","41,003","(+/-3,005)","52,375","(+/-2,364)","55,050","(+/-2,693)","59,965","(+/-2,965)","59,775","(+/-2,852)","54,387","(+/-3,547)","58,306","(+/-2,809)","50,346","(+/-3,138)","52,041","(+/-3,041)","49,889","(+/-2,811)","53,973","(+/-2,985)","60,486","(+/-2,998)","47,022","(+/-3,268)"
People,"Sex and Age","65 to 74 years","75,169","(+/-2,639)","87,645","(+/-1,068)","61,851","(+/-2,825)","85,249","(+/-1,595)","89,289","(+/-1,480)","103,937","(+/-2,277)","92,958","(+/-3,323)","83,489","(+/-2,850)","91,369","(+/-1,305)","85,655","(+/-1,393)","83,286","(+/-3,387)","84,712","(+/-1,629)","91,240","(+/-2,041)","97,636",(+/-955),"73,601","(+/-3,129)"
People,"Sex and Age","75 to 84 years","34,943","(+/-2,229)","46,082","(+/-1,818)","31,269","(+/-2,276)","45,533","(+/-1,804)","44,672","(+/-2,182)","49,131","(+/-2,330)","48,990","(+/-3,074)","43,497","(+/-2,175)","45,260","(+/-1,736)","46,593","(+/-1,877)","40,964","(+/-2,635)","41,994","(+/-1,791)","47,462","(+/-2,332)","48,069","(+/-1,849)","32,782","(+/-2,504)"
People,"Sex and Age","85 years and over","14,001","(+/-1,863)","12,325","(+/-1,693)","11,996","(+/-1,515)","12,822","(+/-1,499)","17,784","(+/-1,612)","19,388","(+/-1,895)","18,791","(+/-1,863)","15,237","(+/-1,567)","15,033","(+/-1,751)","16,276","(+/-1,779)","17,187","(+/-2,088)","14,235","(+/-1,467)","18,372","(+/-2,094)","20,257","(+/-1,751)","10,634","(+/-1,744)"
People,"Sex and Age","Median age (years)",37.2,(+/-0.5),41.1,(+/-0.5),34.5,(+/-0.4),40.7,(+/-0.4),40.9,(+/-0.4),43.2,(+/-0.6),42.9,(+/-0.6),39.0,(+/-0.7),41.1,(+/-0.5),39.4,(+/-0.4),38.5,(+/-0.6),40.0,(+/-0.4),41.7,(+/-0.5),42.9,(+/-0.3),36.9,(+/-0.7)
People,"Sex and Age","18 years and over","612,855","(+/-5,581)","612,514","(+/-2,028)","609,882","(+/-9,874)","616,790","(+/-3,533)","613,836","(+/-2,400)","621,709","(+/-4,016)","611,775","(+/-6,834)","600,415","(+/-5,938)","610,594","(+/-2,484)","613,366","(+/-2,377)","611,992","(+/-6,642)","612,900","(+/-4,396)","616,568","(+/-3,115)","628,973",(+/-985),"603,733","(+/-10,370)"
People,"Sex and Age","65 years and over","124,113","(+/-3,004)","146,052","(+/-1,246)","105,116","(+/-3,788)","143,604","(+/-2,091)","151,745","(+/-1,408)","172,456","(+/-3,063)","160,739","(+/-4,264)","142,223","(+/-3,242)","151,662","(+/-1,368)","148,524","(+/-1,658)","141,437","(+/-4,163)","140,941","(+/-2,191)","157,074","(+/-2,367)","165,962",(+/-934),"117,017","(+/-4,256)"
