Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","807,958","(+/-3,573)","802,111","(+/-3,405)","796,469","(+/-11,515)","805,331","(+/-5,380)","807,931","(+/-11,992)"
People,"Sex and Age",Male,"397,598","(+/-2,194)","400,181","(+/-2,686)","405,235","(+/-7,501)","404,648","(+/-3,381)","396,533","(+/-7,410)"
People,"Sex and Age",Female,"410,360","(+/-2,165)","401,930","(+/-2,330)","391,234","(+/-6,485)","400,683","(+/-3,770)","411,398","(+/-6,555)"
People,"Sex and Age","Under 5 years","50,494",(+/-757),"45,826","(+/-1,166)","52,858","(+/-2,957)","44,521","(+/-1,359)","46,474","(+/-2,806)"
People,"Sex and Age","5 to 9 years","53,327","(+/-2,134)","51,038","(+/-2,147)","56,242","(+/-3,360)","47,372","(+/-2,368)","54,630","(+/-3,826)"
People,"Sex and Age","10 to 14 years","58,077","(+/-2,040)","55,589","(+/-1,963)","57,824","(+/-2,997)","56,361","(+/-2,618)","54,825","(+/-3,583)"
People,"Sex and Age","15 to 19 years","55,727",(+/-882),"52,583","(+/-1,746)","60,458","(+/-2,903)","61,768","(+/-2,620)","53,101","(+/-2,956)"
People,"Sex and Age","20 to 24 years","54,891","(+/-1,220)","51,381","(+/-1,910)","61,637","(+/-3,035)","68,736","(+/-2,472)","52,919","(+/-3,239)"
People,"Sex and Age","25 to 34 years","112,495","(+/-1,400)","96,970","(+/-2,249)","104,278","(+/-4,384)","107,779","(+/-2,621)","113,435","(+/-3,601)"
People,"Sex and Age","35 to 44 years","108,712","(+/-1,363)","97,228","(+/-1,879)","107,533","(+/-3,461)","106,263","(+/-2,255)","112,786","(+/-3,327)"
People,"Sex and Age","45 to 54 years","93,553","(+/-1,128)","94,218","(+/-1,712)","85,897","(+/-3,425)","89,370","(+/-2,367)","93,812","(+/-3,376)"
People,"Sex and Age","55 to 59 years","44,153","(+/-1,891)","47,188","(+/-1,838)","41,388","(+/-2,805)","45,272","(+/-2,714)","45,203","(+/-2,561)"
People,"Sex and Age","60 to 64 years","49,196","(+/-1,888)","56,136","(+/-1,979)","46,244","(+/-2,623)","50,336","(+/-2,597)","49,700","(+/-3,004)"
People,"Sex and Age","65 to 74 years","76,741","(+/-1,034)","86,823","(+/-1,077)","70,967","(+/-2,656)","76,600","(+/-1,787)","79,039","(+/-2,231)"
People,"Sex and Age","75 to 84 years","39,039","(+/-1,495)","52,243","(+/-1,503)","39,211","(+/-2,063)","38,627","(+/-1,594)","39,209","(+/-1,926)"
People,"Sex and Age","85 years and over","11,553","(+/-1,260)","14,888","(+/-1,400)","11,932","(+/-1,390)","12,326","(+/-1,367)","12,798","(+/-1,480)"
People,"Sex and Age","Median age (years)",36.7,(+/-0.2),39.7,(+/-0.3),35.5,(+/-0.5),36.3,(+/-0.4),37.6,(+/-0.6)
People,"Sex and Age","18 years and over","610,779","(+/-2,377)","617,171","(+/-2,548)","595,598","(+/-7,510)","623,511","(+/-3,714)","619,319","(+/-7,870)"
People,"Sex and Age","65 years and over","127,333","(+/-1,331)","153,954","(+/-1,383)","122,110","(+/-3,204)","127,553","(+/-2,243)","131,046","(+/-3,044)"
People,Race,"Total population","807,958","(+/-3,573)","802,111","(+/-3,405)","796,469","(+/-11,515)","805,331","(+/-5,380)","807,931","(+/-11,992)"
People,Race,"One race","690,763","(+/-6,577)","692,316","(+/-5,945)","673,906","(+/-12,710)","691,849","(+/-7,867)","693,004","(+/-13,482)"
People,Race,White,"507,497","(+/-4,625)","509,545","(+/-3,910)","515,960","(+/-7,923)","554,953","(+/-6,392)","531,729","(+/-9,968)"
People,Race,"Black or African American","71,832","(+/-2,991)","23,835","(+/-1,198)","44,415","(+/-5,601)","53,057","(+/-3,896)","81,109","(+/-6,597)"
People,Race,"American Indian and Alaska Native","46,103","(+/-3,081)","133,427","(+/-3,966)","47,417","(+/-6,304)","40,377","(+/-2,818)","33,289","(+/-2,752)"
People,Race,Asian,"27,909","(+/-1,491)","7,787",(+/-989),"12,554","(+/-2,352)","20,105","(+/-1,836)","25,428","(+/-2,832)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,246",(+/-150),"1,118",(+/-369),"2,984","(+/-1,935)","1,640","(+/-1,611)",966,(+/-664)
People,Race,"Some other race","36,176","(+/-3,695)","16,604","(+/-1,822)","50,576","(+/-6,291)","21,717","(+/-3,644)","20,483","(+/-3,725)"
People,Race,"Two or more races","117,195","(+/-6,016)","109,795","(+/-4,875)","122,563","(+/-8,601)","113,482","(+/-6,694)","114,927","(+/-6,897)"
People,"Hispanic or Latino and Race","Total population","807,958","(+/-3,573)","802,111","(+/-3,405)","796,469","(+/-11,515)","805,331","(+/-5,380)","807,931","(+/-11,992)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","106,483","(+/-1,055)","50,537","(+/-1,297)","160,908","(+/-6,799)","87,248","(+/-3,525)","81,516","(+/-6,411)"
People,"Hispanic or Latino and Race",Mexican,"78,178","(+/-3,154)","38,929","(+/-2,101)","133,170","(+/-7,187)","68,313","(+/-3,364)","58,527","(+/-5,986)"
People,"Hispanic or Latino and Race","Puerto Rican","4,584","(+/-1,232)","2,684","(+/-1,135)","2,367","(+/-1,040)","7,180","(+/-1,999)","2,955",(+/-940)
People,"Hispanic or Latino and Race",Cuban,821,(+/-384),390,(+/-296),699,(+/-411),"1,045",(+/-642),962,(+/-828)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,900","(+/-2,874)","8,534","(+/-1,683)","24,672","(+/-4,606)","10,710","(+/-1,579)","19,072","(+/-3,447)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","701,475","(+/-3,384)","751,574","(+/-3,494)","635,561","(+/-9,520)","718,083","(+/-5,452)","726,415","(+/-10,603)"
People,"Place of Birth","Total population","807,958","(+/-3,573)","802,111","(+/-3,405)","796,469","(+/-11,515)","805,331","(+/-5,380)","807,931","(+/-11,992)"
People,"Place of Birth",Native,"738,845","(+/-5,360)","783,561","(+/-3,535)","727,515","(+/-10,680)","770,102","(+/-5,853)","757,023","(+/-11,197)"
People,"Place of Birth","Born in United States","730,553","(+/-5,425)","778,705","(+/-3,558)","719,077","(+/-10,829)","756,196","(+/-6,302)","747,601","(+/-10,828)"
People,"Place of Birth","State of residence","465,003","(+/-7,339)","476,733","(+/-6,414)","487,906","(+/-9,102)","477,969","(+/-8,068)","488,232","(+/-11,951)"
People,"Place of Birth","Different state","265,550","(+/-6,787)","301,972","(+/-6,151)","231,171","(+/-7,785)","278,227","(+/-8,882)","259,369","(+/-9,175)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,292","(+/-1,513)","4,856",(+/-909),"8,438","(+/-1,620)","13,906","(+/-1,973)","9,422","(+/-1,772)"
People,"Place of Birth","Foreign born","69,113","(+/-3,355)","18,550","(+/-1,272)","68,954","(+/-4,749)","35,229","(+/-2,433)","50,908","(+/-4,090)"
People,Ancestry,"Total population","807,958","(+/-3,573)","802,111","(+/-3,405)","796,469","(+/-11,515)","805,331","(+/-5,380)","807,931","(+/-11,992)"
People,Ancestry,American,"60,511","(+/-4,033)","64,508","(+/-4,024)","41,271","(+/-3,714)","46,352","(+/-4,609)","42,076","(+/-3,775)"
People,Ancestry,Arab,"3,130","(+/-1,027)",702,(+/-551),767,(+/-561),"2,043",(+/-987),"5,164","(+/-1,701)"
People,Ancestry,Czech,"2,096",(+/-783),"1,365",(+/-616),"3,834","(+/-1,084)","2,481",(+/-757),"4,506","(+/-1,263)"
People,Ancestry,Danish,"1,862",(+/-860),"1,363",(+/-639),"1,235",(+/-623),997,(+/-782),"2,746","(+/-1,009)"
People,Ancestry,Dutch,"6,240","(+/-1,283)","5,911","(+/-1,043)","9,316","(+/-2,345)","7,062","(+/-1,619)","7,933","(+/-1,521)"
People,Ancestry,English,"105,123","(+/-5,385)","80,841","(+/-4,329)","77,741","(+/-4,748)","97,994","(+/-6,471)","107,070","(+/-6,898)"
People,Ancestry,"French (except Basque)","11,711","(+/-1,906)","9,919","(+/-1,756)","11,273","(+/-1,963)","11,707","(+/-2,274)","12,094","(+/-1,977)"
People,Ancestry,"French Canadian","1,430",(+/-544),742,(+/-372),"2,153","(+/-1,078)","1,255",(+/-528),"1,158",(+/-562)
People,Ancestry,German,"94,883","(+/-5,279)","78,453","(+/-4,335)","104,903","(+/-6,121)","96,378","(+/-5,490)","105,095","(+/-7,526)"
