Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","714,598","(+/-10,286)","700,774","(+/-4,385)","687,278","(+/-10,665)","715,450","(+/-3,700)","719,249","(+/-10,775)","702,788","(+/-8,325)"
People,"Sex and Age",Male,"356,437","(+/-6,643)","354,143","(+/-3,683)","346,165","(+/-6,470)","355,998","(+/-2,787)","358,618","(+/-6,157)","350,290","(+/-5,167)"
People,"Sex and Age",Female,"358,161","(+/-5,943)","346,631","(+/-3,485)","341,113","(+/-6,597)","359,452","(+/-2,406)","360,631","(+/-7,109)","352,498","(+/-5,273)"
People,"Sex and Age","Under 5 years","33,948","(+/-1,694)","33,857","(+/-1,512)","31,830","(+/-2,304)","28,713","(+/-1,130)","36,644","(+/-2,293)","34,592","(+/-1,926)"
People,"Sex and Age","5 to 9 years","35,085","(+/-3,084)","39,512","(+/-2,863)","36,931","(+/-3,257)","34,596","(+/-2,566)","42,561","(+/-3,434)","40,594","(+/-3,106)"
People,"Sex and Age","10 to 14 years","39,962","(+/-2,753)","45,097","(+/-2,849)","39,875","(+/-3,236)","35,071","(+/-3,007)","42,148","(+/-3,362)","47,987","(+/-3,062)"
People,"Sex and Age","15 to 19 years","38,399","(+/-2,358)","41,498","(+/-2,332)","39,673","(+/-2,396)","47,727","(+/-2,340)","40,763","(+/-2,208)","49,687","(+/-2,917)"
People,"Sex and Age","20 to 24 years","43,640","(+/-2,591)","35,048","(+/-2,417)","36,731","(+/-3,065)","61,479","(+/-1,789)","37,023","(+/-3,114)","45,536","(+/-2,935)"
People,"Sex and Age","25 to 34 years","126,894","(+/-4,617)","83,367","(+/-3,150)","108,106","(+/-4,160)","89,102","(+/-2,305)","92,015","(+/-3,307)","96,863","(+/-3,696)"
People,"Sex and Age","35 to 44 years","109,459","(+/-4,386)","88,630","(+/-2,943)","115,454","(+/-3,690)","84,381","(+/-1,863)","98,987","(+/-3,710)","96,938","(+/-3,864)"
People,"Sex and Age","45 to 54 years","91,942","(+/-3,899)","77,112","(+/-2,849)","95,083","(+/-2,909)","77,954","(+/-1,687)","92,107","(+/-3,307)","90,386","(+/-3,130)"
People,"Sex and Age","55 to 59 years","41,043","(+/-3,249)","43,071","(+/-2,972)","37,003","(+/-2,914)","37,684","(+/-3,086)","46,575","(+/-2,800)","37,323","(+/-3,107)"
People,"Sex and Age","60 to 64 years","40,310","(+/-3,204)","50,196","(+/-3,314)","41,861","(+/-2,887)","51,934","(+/-3,179)","46,919","(+/-3,389)","38,517","(+/-3,200)"
People,"Sex and Age","65 to 74 years","68,753","(+/-3,046)","97,647","(+/-2,367)","65,299","(+/-2,867)","98,565","(+/-1,828)","84,472","(+/-2,926)","73,209","(+/-2,993)"
People,"Sex and Age","75 to 84 years","34,411","(+/-2,104)","48,348","(+/-2,720)","28,645","(+/-2,358)","51,250","(+/-1,869)","44,608","(+/-2,753)","38,403","(+/-2,283)"
People,"Sex and Age","85 years and over","10,752","(+/-1,315)","17,391","(+/-2,011)","10,787","(+/-1,783)","16,994","(+/-1,602)","14,427","(+/-1,790)","12,753","(+/-1,642)"
People,"Sex and Age","Median age (years)",38.3,(+/-0.5),43.1,(+/-0.5),39.3,(+/-0.4),42.5,(+/-0.4),41.8,(+/-0.6),38.8,(+/-0.6)
People,"Sex and Age","18 years and over","581,896","(+/-8,481)","556,173","(+/-3,643)","554,466","(+/-8,137)","594,813","(+/-3,008)","572,068","(+/-8,350)","548,354","(+/-5,744)"
People,"Sex and Age","65 years and over","113,916","(+/-3,976)","163,386","(+/-2,994)","104,731","(+/-3,903)","166,809","(+/-2,472)","143,507","(+/-3,900)","124,365","(+/-3,700)"
