Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","Total population","760,257","(+/-6,296)","717,771","(+/-17,701)","772,128","(+/-18,505)","780,519","(+/-9,605)","768,063","(+/-8,081)","771,296","(+/-5,872)","774,340","(+/-3,598)","766,586","(+/-4,569)","760,960","(+/-6,276)","779,565","(+/-7,994)","768,350","(+/-7,221)","758,799","(+/-10,936)","764,692","(+/-3,748)","755,713","(+/-5,687)","759,208","(+/-3,613)","761,430","(+/-1,855)","752,331","(+/-9,953)"
People,"Sex and Age",Male,"377,650","(+/-3,903)","346,576","(+/-10,650)","363,449","(+/-10,935)","383,867","(+/-5,640)","368,804","(+/-4,779)","382,852","(+/-3,652)","384,295","(+/-2,572)","382,237","(+/-3,145)","380,648","(+/-3,564)","384,004","(+/-5,106)","380,413","(+/-4,348)","374,084","(+/-7,466)","382,152","(+/-2,288)","377,071","(+/-3,535)","388,900","(+/-2,407)","377,303","(+/-1,759)","365,525","(+/-7,251)"
People,"Sex and Age",Female,"382,607","(+/-3,880)","371,195","(+/-10,152)","408,679","(+/-10,417)","396,652","(+/-6,016)","399,259","(+/-5,387)","388,444","(+/-3,476)","390,045","(+/-2,048)","384,349","(+/-2,829)","380,312","(+/-3,821)","395,561","(+/-5,078)","387,937","(+/-4,174)","384,715","(+/-6,406)","382,540","(+/-2,626)","378,642","(+/-3,204)","370,308","(+/-2,452)","384,127","(+/-1,823)","386,806","(+/-5,597)"
People,"Sex and Age","Under 5 years","33,949","(+/-1,547)","47,869","(+/-4,267)","40,093","(+/-4,243)","41,593","(+/-2,187)","43,006","(+/-2,843)","41,669","(+/-1,415)","40,462",(+/-677),"36,713","(+/-1,035)","37,731","(+/-1,239)","44,639","(+/-1,598)","43,569","(+/-1,536)","37,657","(+/-2,650)","39,214","(+/-1,337)","32,897","(+/-1,265)","33,709","(+/-1,076)","37,137",(+/-762),"36,827","(+/-2,665)"
People,"Sex and Age","5 to 9 years","41,990","(+/-3,111)","45,192","(+/-4,422)","41,628","(+/-4,356)","42,056","(+/-3,309)","41,959","(+/-3,477)","45,912","(+/-2,969)","40,099","(+/-2,828)","41,089","(+/-2,768)","43,702","(+/-2,356)","49,528","(+/-3,930)","46,258","(+/-2,998)","36,124","(+/-3,604)","41,230","(+/-2,776)","39,071","(+/-2,399)","38,431","(+/-1,974)","42,448","(+/-2,364)","42,605","(+/-3,570)"
People,"Sex and Age","10 to 14 years","44,583","(+/-3,082)","43,137","(+/-4,566)","45,430","(+/-4,354)","48,617","(+/-3,648)","50,948","(+/-3,340)","52,008","(+/-3,056)","50,754","(+/-3,006)","43,471","(+/-3,141)","43,771","(+/-2,524)","46,013","(+/-3,691)","49,627","(+/-3,004)","35,035","(+/-3,118)","44,071","(+/-2,642)","40,848","(+/-2,667)","38,968","(+/-2,213)","42,416","(+/-2,362)","41,980","(+/-2,788)"
People,"Sex and Age","15 to 19 years","44,729","(+/-1,641)","49,681","(+/-3,493)","45,938","(+/-3,227)","48,708","(+/-2,705)","58,577","(+/-3,005)","53,390","(+/-1,632)","51,607","(+/-1,578)","48,797","(+/-2,028)","47,313","(+/-2,211)","50,312","(+/-2,198)","49,418","(+/-1,899)","47,084","(+/-2,750)","49,775","(+/-1,431)","44,451","(+/-1,602)","58,352","(+/-2,093)","50,663","(+/-1,252)","42,556","(+/-2,183)"
People,"Sex and Age","20 to 24 years","44,663","(+/-2,371)","40,672","(+/-5,379)","66,142","(+/-5,411)","44,895","(+/-2,769)","52,673","(+/-2,287)","48,775","(+/-2,383)","51,857","(+/-2,167)","46,697","(+/-2,174)","43,867","(+/-1,726)","47,905","(+/-3,419)","47,278","(+/-2,436)","55,557","(+/-2,965)","48,659","(+/-1,887)","47,473","(+/-1,476)","60,067","(+/-2,163)","48,453","(+/-1,429)","33,547","(+/-2,635)"
People,"Sex and Age","25 to 34 years","83,308","(+/-2,592)","112,152","(+/-6,801)","165,690","(+/-6,828)","90,291","(+/-3,763)","100,150","(+/-4,216)","92,029","(+/-3,241)","94,819","(+/-2,081)","91,834","(+/-2,216)","89,864","(+/-2,724)","101,013","(+/-4,162)","96,876","(+/-2,935)","122,247","(+/-4,702)","87,090","(+/-2,264)","82,913","(+/-2,529)","87,205","(+/-1,679)","89,116","(+/-2,023)","90,724","(+/-4,541)"
People,"Sex and Age","35 to 44 years","94,367","(+/-2,827)","99,473","(+/-5,619)","104,287","(+/-5,660)","102,196","(+/-3,749)","102,208","(+/-3,565)","101,684","(+/-2,596)","100,148","(+/-2,084)","91,160","(+/-2,304)","91,407","(+/-2,570)","101,001","(+/-2,963)","93,436","(+/-2,987)","95,565","(+/-4,784)","85,088","(+/-1,773)","88,889","(+/-2,012)","84,331","(+/-1,329)","89,075","(+/-1,391)","99,257","(+/-4,283)"
People,"Sex and Age","45 to 54 years","97,116","(+/-2,445)","82,318","(+/-4,231)","73,394","(+/-4,882)","98,083","(+/-3,037)","91,908","(+/-3,538)","98,348","(+/-2,530)","91,668","(+/-1,926)","96,090","(+/-1,923)","92,250","(+/-2,665)","96,757","(+/-2,971)","84,739","(+/-2,661)","79,769","(+/-4,317)","93,916","(+/-1,890)","92,381","(+/-2,094)","89,960","(+/-1,550)","90,470","(+/-1,327)","92,296","(+/-3,975)"
