Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","543,189","(+/-9,046)","550,545","(+/-9,046)"
People,"Sex and Age",Male,"264,035","(+/-5,592)","271,806","(+/-5,680)"
People,"Sex and Age",Female,"279,154","(+/-5,607)","278,739","(+/-5,394)"
People,"Sex and Age","Under 5 years","26,622","(+/-3,025)","25,333","(+/-2,993)"
People,"Sex and Age","5 to 9 years","27,785","(+/-2,725)","26,174","(+/-2,874)"
People,"Sex and Age","10 to 14 years","29,107","(+/-3,007)","30,657","(+/-2,970)"
People,"Sex and Age","15 to 19 years","35,111","(+/-2,977)","38,629","(+/-3,220)"
People,"Sex and Age","20 to 24 years","37,145","(+/-3,453)","38,980","(+/-3,503)"
People,"Sex and Age","25 to 34 years","77,145","(+/-4,283)","73,834","(+/-4,267)"
People,"Sex and Age","35 to 44 years","69,978","(+/-3,403)","67,944","(+/-3,519)"
People,"Sex and Age","45 to 54 years","64,371","(+/-3,190)","64,824","(+/-3,192)"
People,"Sex and Age","55 to 59 years","36,358","(+/-3,378)","37,170","(+/-3,604)"
People,"Sex and Age","60 to 64 years","37,971","(+/-2,884)","42,479","(+/-3,804)"
People,"Sex and Age","65 to 74 years","58,615","(+/-2,709)","61,780","(+/-2,681)"
People,"Sex and Age","75 to 84 years","30,155","(+/-2,352)","32,074","(+/-2,060)"
People,"Sex and Age","85 years and over","12,826","(+/-1,853)","10,667","(+/-1,653)"
People,"Sex and Age","Median age (years)",39.9,(+/-1.1),41.2,(+/-0.8)
People,"Sex and Age","18 years and over","442,212","(+/-7,284)","448,376","(+/-7,154)"
People,"Sex and Age","65 years and over","101,596","(+/-3,323)","104,521","(+/-3,543)"
People,Race,"Total population","543,189","(+/-9,046)","550,545","(+/-9,046)"
People,Race,"One race","471,473","(+/-10,378)","489,882","(+/-11,676)"
People,Race,White,"357,262","(+/-8,275)","413,616","(+/-10,040)"
People,Race,"Black or African American","38,011","(+/-5,895)","22,391","(+/-5,273)"
People,Race,"American Indian and Alaska Native","2,371","(+/-1,670)","2,086","(+/-1,360)"
People,Race,Asian,"18,823","(+/-3,378)","19,911","(+/-3,214)"
People,Race,"Native Hawaiian and Other Pacific Islander",140,(+/-146),0,(+/-242)
People,Race,"Some other race","54,866","(+/-9,000)","31,878","(+/-6,254)"
People,Race,"Two or more races","71,716","(+/-7,248)","60,663","(+/-8,212)"
People,"Hispanic or Latino and Race","Total population","543,189","(+/-9,046)","550,545","(+/-9,046)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","99,577","(+/-8,128)","92,402","(+/-8,128)"
People,"Hispanic or Latino and Race",Mexican,"7,733","(+/-2,662)","6,501","(+/-3,048)"
People,"Hispanic or Latino and Race","Puerto Rican","28,230","(+/-5,667)","17,349","(+/-5,096)"
People,"Hispanic or Latino and Race",Cuban,601,(+/-578),"1,393",(+/-798)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","63,013","(+/-8,338)","67,159","(+/-7,930)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","443,612","(+/-8,258)","458,143","(+/-8,258)"
People,"Place of Birth","Total population","543,189","(+/-9,046)","550,545","(+/-9,046)"
People,"Place of Birth",Native,"450,570","(+/-9,451)","485,570","(+/-8,821)"
People,"Place of Birth","Born in United States","434,402","(+/-9,345)","472,355","(+/-7,946)"
People,"Place of Birth","State of residence","249,823","(+/-8,286)","321,821","(+/-8,678)"
People,"Place of Birth","Different state","184,579","(+/-8,247)","150,534","(+/-7,424)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,168","(+/-3,094)","13,215","(+/-3,364)"
People,"Place of Birth","Foreign born","92,619","(+/-7,202)","64,975","(+/-5,459)"
People,Ancestry,"Total population","543,189","(+/-9,046)","550,545","(+/-9,046)"
People,Ancestry,American,"21,405","(+/-3,701)","21,979","(+/-3,351)"
People,Ancestry,Arab,"5,252","(+/-2,236)","4,235","(+/-1,772)"
People,Ancestry,Czech,666,(+/-403),"1,138",(+/-611)
People,Ancestry,Danish,"1,213",(+/-706),851,(+/-611)
People,Ancestry,Dutch,"1,626",(+/-774),"1,808",(+/-906)
People,Ancestry,English,"50,907","(+/-5,397)","72,306","(+/-6,098)"
People,Ancestry,"French (except Basque)","39,913","(+/-4,453)","38,127","(+/-4,865)"
People,Ancestry,"French Canadian","23,057","(+/-3,843)","21,120","(+/-3,684)"
People,Ancestry,German,"26,996","(+/-3,651)","32,637","(+/-4,317)"
People,Ancestry,Greek,"3,224","(+/-1,339)","3,189","(+/-1,276)"
People,Ancestry,Hungarian,830,(+/-517),"1,245","(+/-1,045)"
People,Ancestry,Irish,"77,996","(+/-5,981)","99,220","(+/-7,406)"
People,Ancestry,Italian,"62,631","(+/-6,210)","99,996","(+/-7,585)"
People,Ancestry,Lithuanian,"2,321",(+/-768),"1,475",(+/-724)
