Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population","762,713","(+/-9,166)","750,640","(+/-9,938)","752,641","(+/-7,718)","754,482","(+/-10,918)","758,549","(+/-7,959)","741,110","(+/-14,295)","762,499","(+/-2,499)"
People,"Sex and Age",Male,"375,981","(+/-5,900)","364,626","(+/-5,459)","371,649","(+/-5,032)","367,361","(+/-6,051)","369,557","(+/-4,873)","355,265","(+/-7,853)","365,470","(+/-2,518)"
People,"Sex and Age",Female,"386,732","(+/-4,683)","386,014","(+/-6,660)","380,992","(+/-4,978)","387,121","(+/-5,876)","388,992","(+/-4,997)","385,845","(+/-8,922)","397,029","(+/-3,038)"
People,"Sex and Age","Under 5 years","40,409","(+/-1,885)","41,064","(+/-2,265)","35,823","(+/-2,263)","43,338","(+/-2,283)","43,160","(+/-2,109)","40,812","(+/-3,014)","36,820","(+/-1,489)"
People,"Sex and Age","5 to 9 years","43,831","(+/-3,609)","47,888","(+/-3,191)","44,315","(+/-2,943)","46,687","(+/-3,183)","49,364","(+/-3,494)","35,875","(+/-3,376)","41,641","(+/-3,367)"
People,"Sex and Age","10 to 14 years","46,428","(+/-3,942)","49,147","(+/-2,876)","50,652","(+/-3,117)","46,609","(+/-3,305)","49,206","(+/-3,678)","42,470","(+/-3,816)","42,645","(+/-3,472)"
People,"Sex and Age","15 to 19 years","45,974","(+/-2,814)","46,803","(+/-2,724)","56,461","(+/-2,553)","48,283","(+/-2,442)","49,636","(+/-2,636)","53,991","(+/-3,733)","46,497","(+/-2,302)"
People,"Sex and Age","20 to 24 years","50,620","(+/-3,212)","48,172","(+/-3,186)","48,827","(+/-2,866)","52,187","(+/-1,883)","42,264","(+/-2,939)","64,949","(+/-4,943)","44,864","(+/-2,583)"
People,"Sex and Age","25 to 34 years","88,021","(+/-4,027)","95,599","(+/-3,734)","87,566","(+/-4,391)","106,860","(+/-3,836)","91,844","(+/-3,902)","111,304","(+/-5,291)","82,468","(+/-3,264)"
People,"Sex and Age","35 to 44 years","100,727","(+/-3,392)","97,879","(+/-2,936)","87,897","(+/-3,722)","96,889","(+/-3,635)","105,069","(+/-4,539)","92,922","(+/-4,704)","86,537","(+/-2,703)"
People,"Sex and Age","45 to 54 years","86,590","(+/-3,150)","95,339","(+/-3,031)","91,254","(+/-3,204)","93,587","(+/-3,187)","94,174","(+/-3,227)","80,734","(+/-4,089)","88,667","(+/-1,966)"
People,"Sex and Age","55 to 59 years","49,817","(+/-3,594)","42,683","(+/-2,745)","48,828","(+/-2,932)","45,856","(+/-2,780)","47,502","(+/-3,057)","40,635","(+/-3,438)","51,651","(+/-3,172)"
People,"Sex and Age","60 to 64 years","53,720","(+/-3,578)","53,295","(+/-2,760)","53,336","(+/-3,094)","46,944","(+/-2,785)","50,264","(+/-2,762)","49,780","(+/-3,421)","60,066","(+/-3,314)"
