Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","909,824",(*****)
People,"Sex and Age",Male,"462,457","(+/-3,041)"
People,"Sex and Age",Female,"447,367","(+/-3,041)"
People,"Sex and Age","Under 5 years","57,246","(+/-1,781)"
People,"Sex and Age","5 to 9 years","59,977","(+/-2,949)"
People,"Sex and Age","10 to 14 years","63,989","(+/-2,919)"
People,"Sex and Age","15 to 19 years","62,422","(+/-2,093)"
People,"Sex and Age","20 to 24 years","60,455","(+/-2,554)"
People,"Sex and Age","25 to 34 years","111,152","(+/-2,596)"
People,"Sex and Age","35 to 44 years","116,031","(+/-2,536)"
People,"Sex and Age","45 to 54 years","97,020","(+/-1,939)"
People,"Sex and Age","55 to 59 years","51,885","(+/-2,753)"
People,"Sex and Age","60 to 64 years","63,738","(+/-2,480)"
People,"Sex and Age","65 to 74 years","101,562","(+/-1,426)"
People,"Sex and Age","75 to 84 years","45,076","(+/-1,951)"
People,"Sex and Age","85 years and over","19,271","(+/-1,861)"
People,"Sex and Age","Median age (years)",38.5,(+/-0.4)
People,"Sex and Age","18 years and over","690,843","(+/-1,686)"
People,"Sex and Age","65 years and over","165,909","(+/-1,533)"
People,Race,"Total population","909,824",(*****)
People,Race,"One race","852,179","(+/-5,480)"
People,Race,White,"735,501","(+/-3,744)"
People,Race,"Black or African American","18,098","(+/-2,326)"
People,Race,"American Indian and Alaska Native","68,481","(+/-3,133)"
People,Race,Asian,"12,931","(+/-1,543)"
People,Race,"Native Hawaiian and Other Pacific Islander",796,(+/-703)
People,Race,"Some other race","16,372","(+/-2,624)"
People,Race,"Two or more races","57,645","(+/-5,480)"
People,"Hispanic or Latino and Race","Total population","909,824",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","42,430","(+/-1,015)"
People,"Hispanic or Latino and Race",Mexican,"23,621","(+/-3,240)"
People,"Hispanic or Latino and Race","Puerto Rican","4,987","(+/-1,531)"
People,"Hispanic or Latino and Race",Cuban,954,(+/-799)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","12,868","(+/-2,942)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","867,394","(+/-1,015)"
People,"Place of Birth","Total population","909,824",(*****)
People,"Place of Birth",Native,"878,167","(+/-3,487)"
People,"Place of Birth","Born in United States","871,035","(+/-3,561)"
People,"Place of Birth","State of residence","563,921","(+/-8,705)"
People,"Place of Birth","Different state","307,114","(+/-8,717)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,132","(+/-1,538)"
People,"Place of Birth","Foreign born","31,657","(+/-3,487)"
People,Ancestry,"Total population","909,824",(*****)
People,Ancestry,American,"36,547","(+/-4,224)"
People,Ancestry,Arab,"2,794","(+/-1,475)"
People,Ancestry,Czech,"15,426","(+/-2,625)"
People,Ancestry,Danish,"14,312","(+/-2,031)"
People,Ancestry,Dutch,"31,063","(+/-3,834)"
People,Ancestry,English,"68,784","(+/-5,261)"
People,Ancestry,"French (except Basque)","17,244","(+/-3,244)"
People,Ancestry,"French Canadian","2,479",(+/-703)
People,Ancestry,German,"295,317","(+/-10,515)"
People,Ancestry,Greek,"1,144",(+/-915)
People,Ancestry,Hungarian,955,(+/-540)
People,Ancestry,Irish,"86,387","(+/-5,928)"
People,Ancestry,Italian,"13,264","(+/-2,486)"
People,Ancestry,Lithuanian,"1,073",(+/-907)
People,Ancestry,Norwegian,"96,740","(+/-6,495)"
People,Ancestry,Polish,"11,828","(+/-2,272)"
People,Ancestry,Portuguese,"1,276",(+/-814)
People,Ancestry,Russian,"8,337","(+/-1,719)"
People,Ancestry,Scotch-Irish,"3,941","(+/-1,198)"
People,Ancestry,Scottish,"9,954","(+/-1,764)"
People,Ancestry,Slovak,688,(+/-473)
People,Ancestry,"Subsaharan African","5,837","(+/-3,058)"
People,Ancestry,Swedish,"23,263","(+/-2,797)"
People,Ancestry,Swiss,"2,279",(+/-805)
People,Ancestry,Ukrainian,"3,389","(+/-1,196)"
People,Ancestry,Welsh,"3,398","(+/-1,122)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",552,(+/-586)
People,"Veteran Status","Civilian population 18 years and over","685,391","(+/-2,050)"
People,"Veteran Status","Civilian veterans","56,590","(+/-3,478)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","888,485","(+/-1,357)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","116,972","(+/-6,497)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","218,488","(+/-1,703)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,702","(+/-2,471)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","511,736","(+/-2,413)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","56,388","(+/-4,636)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","158,261","(+/-1,581)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,882","(+/-2,990)"
People,"Residence 1 Year Ago","Population 1 year and over","898,505","(+/-1,391)"
People,"Residence 1 Year Ago","Same house","778,044","(+/-9,288)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","120,461","(+/-9,324)"
People,"Residence 1 Year Ago","Different house in the U.S.","116,902","(+/-9,207)"
People,"Residence 1 Year Ago","Same county","54,490","(+/-6,364)"
People,"Residence 1 Year Ago","Different county","62,412","(+/-6,312)"
People,"Residence 1 Year Ago","Same state","31,112","(+/-3,556)"
People,"Residence 1 Year Ago","Different state","31,300","(+/-5,079)"
People,"Residence 1 Year Ago",Abroad,"3,559","(+/-1,403)"
Workers,"Employment Status","Population 16 years and over","716,965","(+/-2,218)"
Workers,"Employment Status","In labor force","479,744","(+/-4,509)"
Workers,"Employment Status","Civilian labor force","474,292","(+/-4,751)"
Workers,"Employment Status",Employed,"460,983","(+/-4,726)"
Workers,"Employment Status",Unemployed,"13,309","(+/-1,977)"
Workers,"Employment Status","Armed Forces","5,452","(+/-1,358)"
Workers,"Employment Status","Not in labor force","237,221","(+/-4,210)"
Workers,"Employment Status","Civilian labor force","474,292","(+/-4,751)"
Workers,"Employment Status","Unemployment Rate",2.8,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","459,739","(+/-4,508)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","361,111","(+/-6,365)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","32,824","(+/-3,179)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","2,276",(+/-854)
Workers,"Commuting to Work",Walked,"11,668","(+/-1,582)"
Workers,"Commuting to Work","Other means","6,370","(+/-1,434)"
Workers,"Commuting to Work","Worked from home","45,490","(+/-3,630)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",18.2,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over","460,983","(+/-4,726)"
Workers,Occupation,"Management, business, science, and arts occupations","186,086","(+/-5,885)"
Workers,Occupation,"Service occupations","73,241","(+/-4,615)"
Workers,Occupation,"Sales and office occupations","91,692","(+/-4,666)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","47,928","(+/-3,604)"
Workers,Occupation,"Production, transportation, and material moving occupations","62,036","(+/-3,621)"
Workers,Industry,"Civilian employed population 16 years and over","460,983","(+/-4,726)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","29,549","(+/-2,535)"
Workers,Industry,Construction,"33,992","(+/-2,612)"
Workers,Industry,Manufacturing,"45,709","(+/-3,631)"
Workers,Industry,"Wholesale trade","9,692","(+/-1,661)"
Workers,Industry,"Retail trade","52,733","(+/-3,776)"
Workers,Industry,"Transportation and warehousing, and utilities","20,313","(+/-2,007)"
Workers,Industry,Information,"6,686","(+/-1,318)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","27,514","(+/-2,581)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","31,058","(+/-2,805)"
Workers,Industry,"Educational services, and health care and social assistance","121,289","(+/-5,320)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","40,464","(+/-3,109)"
Workers,Industry,"Other services, except public administration","19,684","(+/-2,235)"
Workers,Industry,"Public administration","22,300","(+/-2,364)"
Workers,"Class of Worker","Civilian employed population 16 years and over","460,983","(+/-4,726)"
Workers,"Class of Worker","Private wage and salary workers","352,506","(+/-5,816)"
Workers,"Class of Worker","Government workers","71,627","(+/-4,273)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","35,785","(+/-2,858)"
Workers,"Class of Worker","Unpaid family workers","1,065",(+/-434)
Housing,"Housing Occupancy","Total housing units","408,009",(+/-479)
Housing,"Housing Occupancy","Occupied housing units","368,300","(+/-3,163)"
Housing,"Housing Occupancy","Vacant housing units","39,709","(+/-3,352)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.4,(+/-0.2)
Housing,"Housing Occupancy","Rental vacancy rate",5.8,(+/-1.3)
Housing,"Housing Tenure","Occupied housing units","368,300","(+/-3,163)"
Housing,"Housing Tenure",Owner-occupied,"256,326","(+/-4,473)"
Housing,"Housing Tenure",Renter-occupied,"111,974","(+/-4,424)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.53,(+/-0.03)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.05,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","368,300","(+/-3,163)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","65,840","(+/-4,792)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","81,948","(+/-4,418)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","93,905","(+/-4,473)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","59,495","(+/-3,054)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","34,268","(+/-2,263)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","32,844","(+/-2,209)"
Housing,Value,"Owner-occupied units","256,326","(+/-4,473)"
Housing,Value,"Less than $50,000","22,281","(+/-2,196)"
Housing,Value,"$50,000 to $99,999","21,124","(+/-1,930)"
Housing,Value,"$100,000 to $149,999","21,807","(+/-1,978)"
Housing,Value,"$150,000 to $199,999","32,301","(+/-2,691)"
Housing,Value,"$200,000 to $299,999","63,733","(+/-3,301)"
Housing,Value,"$300,000 to $499,999","62,801","(+/-3,667)"
Housing,Value,"$500,000 to $999,999","27,822","(+/-2,176)"
Housing,Value,"$1,000,000 or more","4,457",(+/-902)
Housing,Value,"Median (dollars)","245,000","(+/-5,101)"
Housing,"Mortgage Status","Owner-occupied units","256,326","(+/-4,473)"
Housing,"Mortgage Status","Housing units with a mortgage","138,389","(+/-4,940)"
Housing,"Mortgage Status","Housing units without a mortgage","117,937","(+/-3,533)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","138,389","(+/-4,940)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,144",(+/-498)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","20,403","(+/-2,409)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","45,496","(+/-3,169)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","34,791","(+/-3,037)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","18,552","(+/-2,032)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","8,793","(+/-1,596)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","9,210","(+/-1,543)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,526",(+/-35)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","117,937","(+/-3,533)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","7,128","(+/-1,146)"
