Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","781,128","(+/-2,487)","790,362","(+/-3,427)","788,228","(+/-4,210)","796,991","(+/-3,643)","784,695","(+/-13,619)","783,125","(+/-12,583)","801,730","(+/-11,388)","768,105","(+/-9,119)","756,975","(+/-9,099)"
People,"Sex and Age",Male,"386,965","(+/-2,737)","388,697","(+/-2,301)","387,135","(+/-2,959)","396,958","(+/-3,177)","384,576","(+/-7,929)","391,972","(+/-6,952)","394,344","(+/-6,584)","372,351","(+/-5,553)","359,620","(+/-4,989)"
People,"Sex and Age",Female,"394,163","(+/-2,823)","401,665","(+/-2,629)","401,093","(+/-2,861)","400,033","(+/-3,284)","400,119","(+/-8,071)","391,153","(+/-7,839)","407,386","(+/-7,837)","395,754","(+/-6,085)","397,355","(+/-5,799)"
People,"Sex and Age","Under 5 years","36,727","(+/-1,105)","41,419","(+/-1,146)","41,982","(+/-1,167)","47,270","(+/-1,345)","47,883","(+/-3,080)","46,513","(+/-3,222)","45,772","(+/-2,868)","42,668","(+/-2,231)","51,981","(+/-2,180)"
People,"Sex and Age","5 to 9 years","44,010","(+/-2,807)","40,865","(+/-3,001)","44,649","(+/-2,965)","46,519","(+/-2,883)","52,094","(+/-3,596)","45,777","(+/-4,156)","46,265","(+/-3,526)","50,649","(+/-2,961)","51,294","(+/-4,564)"
People,"Sex and Age","10 to 14 years","40,398","(+/-2,710)","45,902","(+/-3,001)","47,770","(+/-3,172)","54,879","(+/-2,865)","50,566","(+/-4,100)","46,513","(+/-4,361)","52,362","(+/-4,431)","48,437","(+/-3,090)","52,986","(+/-4,522)"
People,"Sex and Age","15 to 19 years","48,694","(+/-2,362)","50,641","(+/-2,089)","48,531","(+/-2,020)","55,953","(+/-2,908)","42,975","(+/-3,620)","45,045","(+/-3,122)","55,037","(+/-3,390)","53,366","(+/-3,030)","46,706","(+/-1,700)"
People,"Sex and Age","20 to 24 years","48,046","(+/-2,817)","60,590","(+/-1,830)","47,554","(+/-2,310)","59,318","(+/-2,579)","46,771","(+/-3,821)","47,647","(+/-2,798)","60,195","(+/-3,706)","46,345","(+/-3,052)","55,665","(+/-1,725)"
People,"Sex and Age","25 to 34 years","93,934","(+/-2,297)","102,207","(+/-2,067)","104,771","(+/-2,260)","102,533","(+/-2,895)","107,694","(+/-6,195)","114,834","(+/-4,920)","134,326","(+/-5,037)","81,306","(+/-4,369)","122,583","(+/-3,342)"
People,"Sex and Age","35 to 44 years","89,613","(+/-2,123)","97,546","(+/-2,363)","96,081","(+/-1,696)","106,228","(+/-2,954)","115,989","(+/-4,813)","100,613","(+/-3,562)","108,149","(+/-4,259)","101,372","(+/-4,137)","93,424","(+/-2,954)"
