Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","850,432","(+/-7,630)","849,661","(+/-9,975)","806,633","(+/-9,267)","874,074","(+/-10,173)"
People,"Sex and Age",Male,"429,341","(+/-5,292)","434,417","(+/-7,003)","404,656","(+/-6,096)","447,703","(+/-6,669)"
People,"Sex and Age",Female,"421,091","(+/-5,098)","415,244","(+/-6,178)","401,977","(+/-6,456)","426,371","(+/-7,444)"
People,"Sex and Age","Under 5 years","53,590","(+/-2,102)","53,393","(+/-3,571)","54,020","(+/-3,237)","67,461","(+/-3,342)"
People,"Sex and Age","5 to 9 years","62,760","(+/-3,772)","59,893","(+/-3,632)","58,082","(+/-3,775)","73,098","(+/-4,242)"
People,"Sex and Age","10 to 14 years","68,153","(+/-3,246)","69,029","(+/-3,859)","61,168","(+/-3,483)","79,770","(+/-4,050)"
People,"Sex and Age","15 to 19 years","72,734","(+/-2,136)","63,782","(+/-3,339)","66,833","(+/-3,480)","74,607","(+/-4,178)"
People,"Sex and Age","20 to 24 years","80,139","(+/-3,056)","70,234","(+/-3,268)","92,542","(+/-3,903)","56,600","(+/-3,912)"
People,"Sex and Age","25 to 34 years","124,869","(+/-3,539)","123,756","(+/-5,106)","113,865","(+/-4,305)","132,286","(+/-6,120)"
People,"Sex and Age","35 to 44 years","116,423","(+/-3,645)","118,298","(+/-4,001)","94,779","(+/-4,193)","131,717","(+/-4,459)"
People,"Sex and Age","45 to 54 years","93,574","(+/-2,714)","89,785","(+/-4,707)","89,663","(+/-3,984)","100,173","(+/-5,129)"
People,"Sex and Age","55 to 59 years","39,707","(+/-2,881)","39,030","(+/-2,677)","34,022","(+/-2,478)","36,671","(+/-3,316)"
People,"Sex and Age","60 to 64 years","41,801","(+/-2,753)","44,057","(+/-2,912)","39,528","(+/-3,392)","35,209","(+/-3,567)"
People,"Sex and Age","65 to 74 years","60,082","(+/-2,055)","69,199","(+/-2,201)","62,063","(+/-2,987)","54,272","(+/-3,046)"
People,"Sex and Age","75 to 84 years","27,570","(+/-1,830)","38,684","(+/-2,372)","28,727","(+/-1,765)","25,159","(+/-2,347)"
People,"Sex and Age","85 years and over","9,030","(+/-1,245)","10,521","(+/-1,506)","11,341","(+/-1,435)","7,051","(+/-1,208)"
People,"Sex and Age","Median age (years)",32.0,(+/-0.4),33.7,(+/-0.5),30.8,(+/-0.6),31.5,(+/-0.5)
People,"Sex and Age","18 years and over","623,997","(+/-5,242)","626,709","(+/-7,154)","594,218","(+/-7,008)","605,283","(+/-8,791)"
People,"Sex and Age","65 years and over","96,682","(+/-2,582)","118,404","(+/-2,893)","102,131","(+/-3,894)","86,482","(+/-4,049)"
People,Race,"Total population","850,432","(+/-7,630)","849,661","(+/-9,975)","806,633","(+/-9,267)","874,074","(+/-10,173)"
People,Race,"One race","783,831","(+/-9,813)","769,672","(+/-12,633)","730,693","(+/-10,659)","798,533","(+/-13,198)"
People,Race,White,"713,495","(+/-10,303)","627,095","(+/-10,927)","651,162","(+/-10,557)","686,758","(+/-12,076)"
People,Race,"Black or African American","8,053","(+/-1,401)","15,449","(+/-5,801)","6,964","(+/-2,308)","7,147","(+/-2,209)"
People,Race,"American Indian and Alaska Native","4,174",(+/-962),"9,703","(+/-2,419)","14,286","(+/-1,764)","6,271","(+/-2,874)"
People,Race,Asian,"17,424","(+/-2,083)","25,899","(+/-4,396)","14,725","(+/-2,713)","26,276","(+/-4,126)"
People,Race,"Native Hawaiian and Other Pacific Islander","5,054","(+/-1,562)","16,136","(+/-3,134)","7,090","(+/-2,385)","9,060","(+/-3,310)"
People,Race,"Some other race","35,631","(+/-6,565)","75,390","(+/-9,303)","36,466","(+/-5,862)","63,021","(+/-8,866)"
People,Race,"Two or more races","66,601","(+/-6,210)","79,989","(+/-7,356)","75,940","(+/-7,222)","75,541","(+/-8,917)"
People,"Hispanic or Latino and Race","Total population","850,432","(+/-7,630)","849,661","(+/-9,975)","806,633","(+/-9,267)","874,074","(+/-10,173)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","113,282","(+/-3,102)","162,526","(+/-8,705)","97,920","(+/-7,103)","138,358","(+/-9,072)"
People,"Hispanic or Latino and Race",Mexican,"85,495","(+/-4,730)","123,148","(+/-9,449)","65,126","(+/-5,706)","83,366","(+/-8,369)"
People,"Hispanic or Latino and Race","Puerto Rican","4,069","(+/-1,838)","2,425","(+/-1,091)","2,549","(+/-1,100)","4,862","(+/-2,763)"
People,"Hispanic or Latino and Race",Cuban,562,(+/-503),"1,107",(+/-801),143,(+/-135),"1,154",(+/-802)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","23,156","(+/-3,886)","35,846","(+/-6,115)","30,102","(+/-4,669)","48,976","(+/-6,827)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","737,150","(+/-7,876)","687,135","(+/-10,545)","708,713","(+/-9,660)","735,716","(+/-11,080)"
People,"Place of Birth","Total population","850,432","(+/-7,630)","849,661","(+/-9,975)","806,633","(+/-9,267)","874,074","(+/-10,173)"
People,"Place of Birth",Native,"797,663","(+/-8,454)","759,886","(+/-9,819)","743,542","(+/-10,058)","787,410","(+/-11,140)"
People,"Place of Birth","Born in United States","786,456","(+/-8,293)","752,329","(+/-9,718)","735,894","(+/-10,189)","779,956","(+/-11,275)"
People,"Place of Birth","State of residence","530,489","(+/-11,252)","487,086","(+/-10,197)","472,624","(+/-11,474)","565,076","(+/-11,629)"
People,"Place of Birth","Different state","255,967","(+/-9,420)","265,243","(+/-9,231)","263,270","(+/-9,415)","214,880","(+/-7,931)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","11,207","(+/-2,355)","7,557","(+/-1,762)","7,648","(+/-1,469)","7,454","(+/-2,022)"
People,"Place of Birth","Foreign born","52,769","(+/-4,512)","89,775","(+/-6,265)","63,091","(+/-5,227)","86,664","(+/-7,801)"
People,Ancestry,"Total population","850,432","(+/-7,630)","849,661","(+/-9,975)","806,633","(+/-9,267)","874,074","(+/-10,173)"
People,Ancestry,American,"36,146","(+/-6,922)","32,619","(+/-5,032)","28,930","(+/-3,612)","35,939","(+/-5,862)"
People,Ancestry,Arab,"1,394",(+/-884),"2,175","(+/-1,323)","1,928",(+/-973),"1,679","(+/-1,165)"
People,Ancestry,Czech,"1,608",(+/-988),"1,068",(+/-578),823,(+/-448),330,(+/-211)
People,Ancestry,Danish,"27,193","(+/-3,146)","27,551","(+/-4,019)","31,670","(+/-3,279)","38,180","(+/-4,609)"
People,Ancestry,Dutch,"17,150","(+/-2,745)","11,875","(+/-2,598)","13,419","(+/-2,342)","15,713","(+/-4,103)"
People,Ancestry,English,"234,624","(+/-11,262)","212,393","(+/-12,195)","240,882","(+/-11,916)","251,649","(+/-10,381)"
People,Ancestry,"French (except Basque)","11,468","(+/-2,084)","11,441","(+/-2,246)","10,490","(+/-1,951)","12,613","(+/-2,986)"
People,Ancestry,"French Canadian","1,103",(+/-556),"2,211",(+/-984),"1,181",(+/-518),"1,386",(+/-833)
People,Ancestry,German,"82,939","(+/-6,025)","81,236","(+/-7,441)","87,946","(+/-6,780)","82,289","(+/-6,529)"
People,Ancestry,Greek,"2,839","(+/-1,274)","2,293","(+/-1,140)","3,335",(+/-908),"4,139","(+/-1,204)"
People,Ancestry,Hungarian,"1,148",(+/-615),"1,332",(+/-905),"1,291",(+/-551),843,(+/-604)
People,Ancestry,Irish,"49,410","(+/-4,951)","46,554","(+/-4,456)","44,443","(+/-3,993)","50,373","(+/-6,293)"
People,Ancestry,Italian,"20,534","(+/-2,628)","21,551","(+/-3,037)","22,096","(+/-2,848)","23,361","(+/-5,025)"
People,Ancestry,Lithuanian,427,(+/-306),"1,027",(+/-674),"1,305",(+/-871),400,(+/-359)
People,Ancestry,Norwegian,"18,427","(+/-3,596)","12,681","(+/-2,493)","15,390","(+/-2,431)","18,187","(+/-4,185)"
