Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","876,813","(+/-2,126)","898,343","(+/-2,126)"
People,"Sex and Age",Male,"430,866","(+/-2,792)","451,235","(+/-2,503)"
People,"Sex and Age",Female,"445,947","(+/-2,800)","447,108","(+/-2,578)"
People,"Sex and Age","Under 5 years","42,719","(+/-1,537)","44,750",(+/-965)
People,"Sex and Age","5 to 9 years","49,626","(+/-3,255)","46,591","(+/-2,727)"
People,"Sex and Age","10 to 14 years","50,353","(+/-3,360)","52,466","(+/-2,595)"
People,"Sex and Age","15 to 19 years","53,184","(+/-2,468)","58,576","(+/-2,212)"
People,"Sex and Age","20 to 24 years","53,188","(+/-2,624)","61,137","(+/-2,631)"
People,"Sex and Age","25 to 34 years","95,268","(+/-2,985)","111,824","(+/-2,332)"
People,"Sex and Age","35 to 44 years","106,873","(+/-2,387)","109,793","(+/-1,781)"
People,"Sex and Age","45 to 54 years","111,522","(+/-2,067)","110,473","(+/-1,589)"
People,"Sex and Age","55 to 59 years","56,392","(+/-3,164)","57,903","(+/-2,749)"
People,"Sex and Age","60 to 64 years","62,224","(+/-3,079)","64,132","(+/-3,055)"
People,"Sex and Age","65 to 74 years","116,496","(+/-1,223)","108,178","(+/-1,321)"
People,"Sex and Age","75 to 84 years","59,988","(+/-2,187)","55,036","(+/-1,848)"
People,"Sex and Age","85 years and over","18,980","(+/-1,944)","17,484","(+/-1,591)"
People,"Sex and Age","Median age (years)",43.8,(+/-0.3),42.0,(+/-0.3)
People,"Sex and Age","18 years and over","701,046","(+/-1,973)","722,567","(+/-1,947)"
People,"Sex and Age","65 years and over","195,464","(+/-1,549)","180,698","(+/-1,458)"
People,Race,"Total population","876,813","(+/-2,126)","898,343","(+/-2,126)"
People,Race,"One race","843,160","(+/-4,118)","848,475","(+/-5,081)"
People,Race,White,"797,516","(+/-3,572)","805,846","(+/-3,838)"
People,Race,"Black or African American","35,887","(+/-2,368)","24,910","(+/-2,649)"
