Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","729,535","(+/-4,381)","743,974","(+/-2,360)","741,433","(+/-4,355)","719,451","(+/-5,253)","741,842","(+/-4,395)","733,889","(+/-3,371)","740,385","(+/-4,519)","742,030","(+/-1,136)"
People,"Sex and Age",Male,"364,187","(+/-3,898)","373,906","(+/-1,862)","377,607","(+/-2,973)","349,403","(+/-4,269)","371,882","(+/-2,864)","372,092","(+/-2,473)","375,799","(+/-2,547)","373,895","(+/-1,748)"
People,"Sex and Age",Female,"365,348","(+/-4,186)","370,068","(+/-1,860)","363,826","(+/-2,652)","370,048","(+/-3,807)","369,960","(+/-3,658)","361,797","(+/-2,695)","364,586","(+/-2,828)","368,135","(+/-1,783)"
People,"Sex and Age","Under 5 years","40,224","(+/-2,624)","37,762",(+/-779),"37,616","(+/-1,174)","45,388","(+/-2,697)","36,810","(+/-1,792)","35,384","(+/-1,298)","36,782","(+/-1,182)","39,278",(+/-758)
People,"Sex and Age","5 to 9 years","41,377","(+/-3,512)","39,956","(+/-2,190)","41,514","(+/-2,274)","43,633","(+/-2,794)","40,692","(+/-2,607)","41,227","(+/-2,254)","42,019","(+/-1,872)","43,268","(+/-2,285)"
People,"Sex and Age","10 to 14 years","47,664","(+/-3,362)","43,656","(+/-2,100)","44,411","(+/-2,136)","52,237","(+/-3,306)","46,950","(+/-2,859)","43,033","(+/-2,325)","43,382","(+/-2,012)","47,768","(+/-2,421)"
People,"Sex and Age","15 to 19 years","47,186","(+/-2,069)","50,894","(+/-1,602)","53,638","(+/-1,364)","52,005","(+/-1,377)","46,514","(+/-1,426)","44,587","(+/-1,336)","43,116","(+/-1,541)","47,062","(+/-1,411)"
People,"Sex and Age","20 to 24 years","50,237","(+/-2,179)","68,021","(+/-1,703)","67,656","(+/-1,586)","55,358","(+/-1,826)","40,643","(+/-1,995)","46,511","(+/-1,398)","36,427","(+/-1,126)","42,153","(+/-1,464)"
People,"Sex and Age","25 to 34 years","88,332","(+/-3,586)","106,321","(+/-1,833)","85,991","(+/-2,091)","118,195","(+/-3,196)","81,433","(+/-2,452)","85,043","(+/-2,138)","77,552","(+/-1,754)","90,862","(+/-2,129)"
People,"Sex and Age","35 to 44 years","92,400","(+/-3,135)","100,659","(+/-1,874)","87,124","(+/-1,888)","95,772","(+/-2,284)","95,965","(+/-2,174)","90,588","(+/-1,771)","87,069","(+/-1,498)","93,416","(+/-1,713)"
People,"Sex and Age","45 to 54 years","88,728","(+/-3,391)","83,428","(+/-1,561)","80,039","(+/-1,477)","78,242","(+/-2,496)","94,790","(+/-2,103)","88,234","(+/-1,475)","89,130","(+/-1,665)","89,917","(+/-1,701)"
People,"Sex and Age","55 to 59 years","51,013","(+/-3,125)","43,510","(+/-2,272)","46,075","(+/-2,204)","38,614","(+/-2,580)","52,359","(+/-2,457)","50,344","(+/-2,583)","55,370","(+/-1,912)","55,096","(+/-2,897)"
People,"Sex and Age","60 to 64 years","52,050","(+/-2,812)","46,627","(+/-2,383)","53,442","(+/-2,247)","40,230","(+/-2,564)","58,098","(+/-2,514)","58,070","(+/-2,489)","62,415","(+/-2,102)","53,571","(+/-2,978)"
People,"Sex and Age","65 to 74 years","77,013","(+/-2,016)","72,911","(+/-1,116)","84,996","(+/-1,041)","62,176","(+/-2,198)","87,808","(+/-1,480)","88,295","(+/-1,139)","100,388","(+/-1,050)","84,879",(+/-949)
People,"Sex and Age","75 to 84 years","37,600","(+/-2,192)","36,309","(+/-1,874)","43,939","(+/-1,543)","27,601","(+/-1,769)","43,079","(+/-1,981)","45,704","(+/-2,021)","50,313","(+/-1,633)","40,158","(+/-1,319)"
People,"Sex and Age","85 years and over","15,711","(+/-1,849)","13,920","(+/-1,809)","14,992","(+/-1,655)","10,000","(+/-1,430)","16,701","(+/-1,779)","16,869","(+/-1,881)","16,422","(+/-1,387)","14,602","(+/-1,321)"
People,"Sex and Age","Median age (years)",40.5,(+/-0.6),37.7,(+/-0.3),39.5,(+/-0.4),34.3,(+/-0.4),42.9,(+/-0.4),42.7,(+/-0.3),45.4,(+/-0.2),41.3,(+/-0.3)
People,"Sex and Age","18 years and over","571,456","(+/-4,052)","596,092","(+/-1,829)","590,557","(+/-3,031)","548,353","(+/-4,891)","588,627","(+/-3,696)","586,020","(+/-2,424)","588,216","(+/-3,242)","581,438","(+/-1,015)"
People,"Sex and Age","65 years and over","130,324","(+/-2,969)","123,140","(+/-1,465)","143,927","(+/-1,523)","99,777","(+/-2,831)","147,588","(+/-1,934)","150,868","(+/-1,494)","167,123","(+/-1,659)","139,639","(+/-1,046)"
People,Race,"Total population","729,535","(+/-4,381)","743,974","(+/-2,360)","741,433","(+/-4,355)","719,451","(+/-5,253)","741,842","(+/-4,395)","733,889","(+/-3,371)","740,385","(+/-4,519)","742,030","(+/-1,136)"
People,Race,"One race","638,967","(+/-7,032)","682,761","(+/-5,534)","709,722","(+/-5,701)","606,130","(+/-9,041)","697,925","(+/-5,943)","690,083","(+/-4,296)","705,633","(+/-4,703)","693,960","(+/-4,543)"
People,Race,White,"559,722","(+/-7,565)","603,246","(+/-4,266)","669,208","(+/-5,005)","314,045","(+/-7,639)","647,284","(+/-6,467)","644,941","(+/-4,354)","666,999","(+/-4,743)","631,982","(+/-3,477)"
People,Race,"Black or African American","42,998","(+/-3,830)","31,048","(+/-2,889)","9,065","(+/-1,055)","221,783","(+/-5,857)","14,391","(+/-2,709)","14,268","(+/-1,393)","7,030","(+/-1,411)","11,439","(+/-1,144)"
People,Race,"American Indian and Alaska Native","1,588",(+/-814),"1,954",(+/-978),"3,612",(+/-939),"5,377","(+/-1,814)","1,505",(+/-802),"2,492",(+/-690),"11,569","(+/-1,034)","16,297","(+/-1,514)"
People,Race,Asian,"13,796","(+/-2,745)","34,742","(+/-2,101)","16,625","(+/-1,303)","36,961","(+/-3,277)","22,424","(+/-2,576)","18,680","(+/-1,530)","12,032","(+/-1,183)","18,050","(+/-1,438)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,213","(+/-1,766)",136,(+/-166),320,(+/-397),124,(+/-111),190,(+/-214),244,(+/-222),240,(+/-184),265,(+/-337)
People,Race,"Some other race","19,650","(+/-3,900)","11,635","(+/-2,616)","10,892","(+/-1,737)","27,840","(+/-4,210)","12,131","(+/-2,511)","9,458","(+/-2,355)","7,763","(+/-1,426)","15,927","(+/-3,114)"
People,Race,"Two or more races","90,568","(+/-6,043)","61,213","(+/-5,000)","31,711","(+/-3,179)","113,321","(+/-8,153)","43,917","(+/-5,117)","43,806","(+/-3,158)","34,752","(+/-2,350)","48,070","(+/-4,467)"
People,"Hispanic or Latino and Race","Total population","729,535","(+/-4,381)","743,974","(+/-2,360)","741,433","(+/-4,355)","719,451","(+/-5,253)","741,842","(+/-4,395)","733,889","(+/-3,371)","740,385","(+/-4,519)","742,030","(+/-1,136)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","92,945","(+/-2,801)","47,474",(+/-750),"24,442",(+/-915),"130,970","(+/-3,775)","45,502","(+/-3,107)","39,865",(+/-901),"19,534","(+/-1,011)","46,290",(+/-134)
People,"Hispanic or Latino and Race",Mexican,"69,496","(+/-4,296)","28,137","(+/-3,655)","15,831","(+/-1,562)","85,826","(+/-6,256)","29,243","(+/-3,410)","26,361","(+/-2,192)","11,669","(+/-1,684)","33,792","(+/-2,699)"
People,"Hispanic or Latino and Race","Puerto Rican","10,179","(+/-2,619)","6,101","(+/-2,270)","1,889",(+/-683),"31,010","(+/-5,599)","7,102","(+/-2,304)","4,331","(+/-1,699)","1,586",(+/-808),"5,511","(+/-2,111)"
People,"Hispanic or Latino and Race",Cuban,540,(+/-369),711,(+/-339),638,(+/-371),"1,113",(+/-862),760,(+/-511),467,(+/-268),706,(+/-311),516,(+/-297)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","12,730","(+/-3,209)","12,525","(+/-2,671)","6,084","(+/-1,744)","13,021","(+/-3,305)","8,397","(+/-1,960)","8,706","(+/-1,829)","5,573","(+/-1,415)","6,471","(+/-1,827)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","636,590","(+/-4,926)","696,500","(+/-2,356)","716,991","(+/-4,197)","588,481","(+/-5,921)","696,340","(+/-4,534)","694,024","(+/-3,138)","720,851","(+/-4,305)","695,740","(+/-1,121)"
People,"Place of Birth","Total population","729,535","(+/-4,381)","743,974","(+/-2,360)","741,433","(+/-4,355)","719,451","(+/-5,253)","741,842","(+/-4,395)","733,889","(+/-3,371)","740,385","(+/-4,519)","742,030","(+/-1,136)"
People,"Place of Birth",Native,"682,909","(+/-6,050)","693,033","(+/-4,383)","722,024","(+/-4,570)","645,976","(+/-7,650)","708,152","(+/-5,002)","706,510","(+/-4,370)","722,685","(+/-4,922)","716,509","(+/-2,892)"
People,"Place of Birth","Born in United States","675,973","(+/-6,201)","684,995","(+/-4,805)","717,818","(+/-4,485)","630,096","(+/-7,807)","702,953","(+/-4,769)","701,659","(+/-4,587)","718,652","(+/-5,135)","711,308","(+/-3,236)"
People,"Place of Birth","State of residence","471,912","(+/-10,579)","472,548","(+/-8,771)","535,099","(+/-6,563)","466,883","(+/-9,373)","569,546","(+/-7,576)","569,797","(+/-6,019)","481,872","(+/-7,076)","574,652","(+/-6,097)"
People,"Place of Birth","Different state","204,061","(+/-8,300)","212,447","(+/-8,585)","182,719","(+/-5,592)","163,213","(+/-6,795)","133,407","(+/-6,213)","131,862","(+/-5,383)","236,780","(+/-5,423)","136,656","(+/-5,364)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,936","(+/-1,725)","8,038","(+/-1,807)","4,206",(+/-807),"15,880","(+/-2,938)","5,199","(+/-1,054)","4,851","(+/-1,155)","4,033",(+/-883),"5,201","(+/-1,957)"
People,"Place of Birth","Foreign born","46,626","(+/-4,701)","50,941","(+/-3,708)","19,409","(+/-1,926)","73,475","(+/-5,884)","33,690","(+/-3,852)","27,379","(+/-2,449)","17,700","(+/-1,716)","25,521","(+/-2,786)"
People,Ancestry,"Total population","729,535","(+/-4,381)","743,974","(+/-2,360)","741,433","(+/-4,355)","719,451","(+/-5,253)","741,842","(+/-4,395)","733,889","(+/-3,371)","740,385","(+/-4,519)","742,030","(+/-1,136)"
People,Ancestry,American,"20,275","(+/-2,723)","19,458","(+/-2,489)","27,665","(+/-3,551)","11,352","(+/-2,726)","22,356","(+/-2,823)","29,515","(+/-3,479)","25,575","(+/-2,724)","29,088","(+/-3,028)"
People,Ancestry,Arab,"5,666","(+/-4,381)","2,053",(+/-917),890,(+/-635),"1,941","(+/-1,186)","1,568","(+/-1,017)",648,(+/-399),378,(+/-145),"1,425",(+/-940)
People,Ancestry,Czech,"6,674","(+/-2,025)","8,075","(+/-1,749)","10,757","(+/-1,592)","5,001","(+/-1,320)","8,658","(+/-1,696)","8,954","(+/-1,233)","12,613","(+/-1,714)","10,807","(+/-1,871)"
People,Ancestry,Danish,"12,077","(+/-2,474)","6,455","(+/-1,579)","4,484","(+/-1,022)","2,351",(+/-659),"5,401","(+/-1,752)","4,099",(+/-914),"6,946","(+/-1,020)","5,097","(+/-1,013)"
People,Ancestry,Dutch,"10,079","(+/-1,956)","10,963","(+/-1,739)","9,369","(+/-1,737)","5,592","(+/-1,961)","10,367","(+/-2,278)","23,923","(+/-2,899)","12,090","(+/-1,765)","31,304","(+/-3,605)"
People,Ancestry,English,"55,177","(+/-4,088)","72,971","(+/-4,817)","52,949","(+/-4,289)","27,788","(+/-2,529)","49,449","(+/-3,972)","48,625","(+/-4,170)","50,959","(+/-3,378)","38,981","(+/-3,318)"
People,Ancestry,"French (except Basque)","13,057","(+/-2,310)","16,200","(+/-2,652)","16,212","(+/-1,805)","9,732","(+/-1,677)","18,807","(+/-2,481)","18,649","(+/-3,079)","22,641","(+/-2,067)","23,983","(+/-2,590)"
People,Ancestry,"French Canadian","3,653","(+/-1,109)","3,486",(+/-881),"3,714",(+/-870),"2,178",(+/-752),"3,827","(+/-1,055)","5,191","(+/-1,544)","8,656","(+/-1,691)","8,622","(+/-1,338)"
People,Ancestry,German,"226,680","(+/-10,253)","256,994","(+/-9,059)","280,910","(+/-7,228)","144,849","(+/-6,710)","331,371","(+/-8,495)","319,932","(+/-8,536)","285,729","(+/-7,292)","278,550","(+/-8,975)"
People,Ancestry,Greek,"3,801","(+/-1,276)","2,748","(+/-1,069)","1,448",(+/-637),"1,574",(+/-693),"3,442",(+/-958),"1,870",(+/-936),"1,056",(+/-470),"1,205",(+/-555)
People,Ancestry,Hungarian,"3,403",(+/-959),"3,077","(+/-1,027)","1,422",(+/-565),"2,626",(+/-743),"3,855","(+/-1,108)","2,393",(+/-901),"1,945",(+/-511),"1,788","(+/-1,034)"
People,Ancestry,Irish,"81,661","(+/-6,764)","96,835","(+/-5,584)","75,157","(+/-4,761)","52,849","(+/-4,368)","84,026","(+/-5,345)","73,456","(+/-4,080)","71,500","(+/-4,876)","66,266","(+/-4,128)"
People,Ancestry,Italian,"43,843","(+/-4,388)","26,653","(+/-2,951)","17,534","(+/-2,839)","19,719","(+/-3,011)","36,345","(+/-4,234)","17,986","(+/-2,522)","17,264","(+/-1,895)","17,639","(+/-2,538)"
People,Ancestry,Lithuanian,"2,600",(+/-837),"2,590","(+/-1,652)","1,324",(+/-992),"1,014",(+/-467),"1,465",(+/-593),"2,314",(+/-864),876,(+/-250),927,(+/-403)
