Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","581,381",(*****)
People,"Sex and Age",Male,"297,855","(+/-2,038)"
People,"Sex and Age",Female,"283,526","(+/-2,038)"
People,"Sex and Age","Under 5 years","30,444","(+/-1,228)"
People,"Sex and Age","5 to 9 years","37,271","(+/-2,476)"
People,"Sex and Age","10 to 14 years","38,701","(+/-2,596)"
People,"Sex and Age","15 to 19 years","38,287","(+/-2,069)"
People,"Sex and Age","20 to 24 years","36,882","(+/-2,425)"
People,"Sex and Age","25 to 34 years","72,434","(+/-2,721)"
People,"Sex and Age","35 to 44 years","81,607","(+/-2,489)"
People,"Sex and Age","45 to 54 years","64,361","(+/-2,442)"
People,"Sex and Age","55 to 59 years","35,054","(+/-2,514)"
People,"Sex and Age","60 to 64 years","38,352","(+/-2,618)"
People,"Sex and Age","65 to 74 years","68,377","(+/-1,283)"
People,"Sex and Age","75 to 84 years","31,530","(+/-1,278)"
People,"Sex and Age","85 years and over","8,081","(+/-1,098)"
People,"Sex and Age","Median age (years)",39.1,(+/-0.5)
People,"Sex and Age","18 years and over","451,778","(+/-1,371)"
People,"Sex and Age","65 years and over","107,988","(+/-1,097)"
People,Race,"Total population","581,381",(*****)
People,Race,"One race","533,121","(+/-4,164)"
People,Race,White,"491,697","(+/-3,988)"
People,Race,"Black or African American","4,097",(+/-902)
People,Race,"American Indian and Alaska Native","11,118","(+/-1,179)"
People,Race,Asian,"3,847","(+/-1,076)"
People,Race,"Native Hawaiian and Other Pacific Islander",849,(+/-738)
People,Race,"Some other race","21,513","(+/-3,999)"
People,Race,"Two or more races","48,260","(+/-4,164)"
People,"Hispanic or Latino and Race","Total population","581,381",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","62,803",(*****)
People,"Hispanic or Latino and Race",Mexican,"47,162","(+/-2,396)"
People,"Hispanic or Latino and Race","Puerto Rican","1,691",(+/-845)
People,"Hispanic or Latino and Race",Cuban,692,(+/-608)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,258","(+/-2,575)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","518,578",(*****)
People,"Place of Birth","Total population","581,381",(*****)
People,"Place of Birth",Native,"563,519","(+/-2,355)"
People,"Place of Birth","Born in United States","558,695","(+/-2,411)"
People,"Place of Birth","State of residence","252,055","(+/-6,822)"
People,"Place of Birth","Different state","306,640","(+/-6,823)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,824","(+/-1,130)"
People,"Place of Birth","Foreign born","17,862","(+/-2,355)"
People,Ancestry,"Total population","581,381",(*****)
People,Ancestry,American,"32,778","(+/-5,680)"
People,Ancestry,Arab,91,(+/-125)
People,Ancestry,Czech,"2,585","(+/-1,096)"
People,Ancestry,Danish,"5,647","(+/-1,876)"
People,Ancestry,Dutch,"7,116","(+/-1,367)"
People,Ancestry,English,"90,476","(+/-6,591)"
People,Ancestry,"French (except Basque)","14,143","(+/-3,027)"
People,Ancestry,"French Canadian","2,766",(+/-877)
People,Ancestry,German,"126,666","(+/-7,785)"
